
==== 0x180013c20 .. 0x180014300 (.text)
  0x180013c20: mov      rax, rsp
  0x180013c23: push     rbp
  0x180013c24: push     rdi
  0x180013c25: push     r13
  0x180013c27: push     r14
  0x180013c29: sub      rsp, 0x58
  0x180013c2d: xor      ebp, ebp
  0x180013c2f: mov      r13d, r9d
  0x180013c32: mov      rdi, rdx
  0x180013c35: mov      r14, rcx
  0x180013c38: test     r8d, r8d
  0x180013c3b: je       0x180013ea9
  0x180013c41: mov      qword ptr [rax + 8], rbx
  0x180013c45: mov      qword ptr [rax + 0x10], rsi
  0x180013c49: lea      esi, [rbp + 0x20]
  0x180013c4c: mov      qword ptr [rax + 0x18], r12
  0x180013c50: mov      r12d, dword ptr [rsp + 0xa0]
  0x180013c58: mov      qword ptr [rax - 0x28], r15
  0x180013c5c: movaps   xmmword ptr [rax - 0x38], xmm6
  0x180013c60: movaps   xmmword ptr [rax - 0x48], xmm7
  0x180013c64: movaps   xmmword ptr [rax - 0x58], xmm8
  0x180013c69: movsd    xmm8, qword ptr [rip + 0x573a6]  ; 0x18006b018
  0x180013c72: mov      r15d, r8d
  0x180013c75: mov      rax, qword ptr [r14]
  0x180013c78: cmp      dword ptr [rax], 0
  0x180013c7b: je       0x180013ca1
  0x180013c7d: mov      rax, qword ptr [r14 + 8]
  0x180013c81: movss    xmm0, dword ptr [rax]
  0x180013c85: addss    xmm0, dword ptr [rdi]
  0x180013c89: movss    dword ptr [rdi], xmm0
  0x180013c8d: mov      rax, qword ptr [r14 + 0x10]
  0x180013c91: movss    xmm7, dword ptr [rax]
  0x180013c95: addss    xmm7, dword ptr [rdi + 8]
  0x180013c9a: movss    dword ptr [rdi + 8], xmm7
  0x180013c9f: jmp      0x180013caa
  0x180013ca1: movss    xmm0, dword ptr [rdi]
  0x180013ca5: movss    xmm7, dword ptr [rdi + 8]
  0x180013caa: mov      rax, qword ptr [r14 + 0x18]
  0x180013cae: movss    xmm6, dword ptr [rax]
  0x180013cb2: mov      rax, qword ptr [r14 + 8]
  0x180013cb6: subss    xmm0, dword ptr [rax]
  0x180013cba: divss    xmm0, xmm6
  0x180013cbe: call     0x18005e9a5
  0x180013cc3: mov      rax, qword ptr [r14 + 0x10]
  0x180013cc7: cvttss2si ebx, xmm0
  0x180013ccb: subss    xmm7, dword ptr [rax]
  0x180013ccf: divss    xmm7, xmm6
  0x180013cd3: movaps   xmm0, xmm7
  0x180013cd6: call     0x18005e9a5
  0x180013cdb: mov      r10, qword ptr [r14 + 0x20]
  0x180013cdf: xor      ecx, ecx
  0x180013ce1: test     ebx, ebx
  0x180013ce3: cvttss2si eax, xmm0
  0x180013ce7: cmovns   ecx, ebx
  0x180013cea: xor      r8d, r8d
  0x180013ced: mov      edx, dword ptr [r10 + 0x1c]
  0x180013cf1: lea      r11d, [rdx - 1]
  0x180013cf5: test     eax, eax
  0x180013cf7: cmovns   r8d, eax
  0x180013cfb: mov      eax, dword ptr [r10 + 0x20]
  0x180013cff: cmp      ecx, edx
  0x180013d01: cmovl    r11d, ecx
  0x180013d05: cmp      r8d, eax
  0x180013d08: jl       0x180013d0e
  0x180013d0a: lea      r8d, [rax - 1]
  0x180013d0e: mov      rax, qword ptr [r14 + 0x28]
  0x180013d12: mov      ecx, dword ptr [rdi + 0x34]
  0x180013d15: and      ecx, 0x7fff
  0x180013d1b: mov      r9, qword ptr [rax]
  0x180013d1e: mov      rax, qword ptr [rax + 8]
  0x180013d22: sub      rax, r9
  0x180013d25: sar      rax, 2
  0x180013d29: cmp      rcx, rax
  0x180013d2c: jb       0x180013d45
  0x180013d2e: lea      rdx, [rip + 0x4e1c3]  ; "Foliage Instance Data PatternId Error"
  0x180013d35: mov      ecx, 4
  0x180013d3a: call     qword ptr [rip + 0x4c428]  ; KGCommonX64.dll!KG_PrintfLog
  0x180013d40: jmp      0x180013e6e
  0x180013d45: imul     edx, r8d
  0x180013d49: lea      eax, [r11 + rdx]
  0x180013d4d: imul     r8, rax, 0xc8
  0x180013d54: mov      eax, dword ptr [r9 + rcx*4]
  0x180013d58: add      r8, qword ptr [r10 + 0x68]
  0x180013d5c: lea      rdx, [rax + rax*2]
  0x180013d60: mov      rax, qword ptr [r14 + 0x30]
  0x180013d64: shl      rdx, 5
  0x180013d68: mov      rcx, qword ptr [rax]
  0x180013d6b: mov      eax, dword ptr [rdx + rcx + 0x58]
  0x180013d6f: test     r13d, r13d
  0x180013d72: je       0x180013d7d
  0x180013d74: cmp      eax, r12d
  0x180013d77: jne      0x180013e6e
  0x180013d7d: cmp      eax, 2
  0x180013d80: jb       0x180013d99
  0x180013d82: lea      rdx, [rip + 0x4e197]  ; "Foliage Instance Data FoliageType Error"
  0x180013d89: mov      ecx, 4
  0x180013d8e: call     qword ptr [rip + 0x4c3d4]  ; KGCommonX64.dll!KG_PrintfLog
  0x180013d94: jmp      0x180013e6e
  0x180013d99: lea      rbx, [rax + rax*4]
  0x180013d9d: shl      rbx, 4
  0x180013da1: add      rbx, r8
  0x180013da4: mov      eax, dword ptr [rbx + 0x30]
  0x180013da7: mov      ecx, eax
  0x180013da9: test     eax, eax
  0x180013dab: jne      0x180013de6
  0x180013dad: mov      edx, dword ptr [rbx + 0x34]
  0x180013db0: xor      r8d, r8d
  0x180013db3: cmp      edx, 0x20
  0x180013db6: jae      0x180013de3
  0x180013db8: xorps    xmm0, xmm0
  0x180013dbb: lea      rcx, [rbx + 0x28]
  0x180013dbf: cvtsi2sd xmm0, rdx
  0x180013dc4: mulsd    xmm0, xmm8
  0x180013dc9: cvttsd2si rax, xmm0
  0x180013dce: add      eax, edx
  0x180013dd0: cmp      eax, 0x20
  0x180013dd3: cmovb    eax, esi
  0x180013dd6: mov      edx, eax
  0x180013dd8: call     0x180014480
  0x180013ddd: mov      ecx, dword ptr [rbx + 0x30]
  0x180013de0: mov      r8d, ecx
  0x180013de3: mov      eax, r8d
  0x180013de6: mov      edx, dword ptr [rbx + 0x34]
  0x180013de9: lea      esi, [rax + 1]
  0x180013dec: cmp      esi, edx
  0x180013dee: jbe      0x180013e1b
  0x180013df0: xorps    xmm0, xmm0
  0x180013df3: cvtsi2sd xmm0, rdx
  0x180013df8: mulsd    xmm0, xmm8
  0x180013dfd: cvttsd2si rcx, xmm0
  0x180013e02: add      ecx, edx
  0x180013e04: mov      edx, esi
  0x180013e06: cmp      ecx, esi
  0x180013e08: cmovae   edx, ecx
  0x180013e0b: lea      rcx, [rbx + 0x28]
  0x180013e0f: call     0x180014480
  0x180013e14: test     eax, eax
  0x180013e16: je       0x180013e4c
  0x180013e18: mov      ecx, dword ptr [rbx + 0x30]
  0x180013e1b: mov      eax, ecx
  0x180013e1d: imul     rcx, rax, 0x38
  0x180013e21: mov      dword ptr [rbx + 0x30], esi
  0x180013e24: add      rcx, qword ptr [rbx + 0x28]
  0x180013e28: je       0x180013e4c
  0x180013e2a: movups   xmm0, xmmword ptr [rdi]
  0x180013e2d: movups   xmmword ptr [rcx], xmm0
  0x180013e30: movups   xmm1, xmmword ptr [rdi + 0x10]
  0x180013e34: movups   xmmword ptr [rcx + 0x10], xmm1
  0x180013e38: movups   xmm0, xmmword ptr [rdi + 0x20]
  0x180013e3c: movups   xmmword ptr [rcx + 0x20], xmm0
  0x180013e40: movsd    xmm1, qword ptr [rdi + 0x30]
  0x180013e45: movsd    qword ptr [rcx + 0x30], xmm1
  0x180013e4a: jmp      0x180013e69
  0x180013e4c: test     ebp, ebp
  0x180013e4e: jne      0x180013e69
  0x180013e50: mov      r8d, dword ptr [rbx + 0x30]
  0x180013e54: lea      rdx, [rip + 0x4e0ed]  ; "push_back failed, size:%u"
  0x180013e5b: lea      ecx, [rbp + 3]
  0x180013e5e: call     qword ptr [rip + 0x4c304]  ; KGCommonX64.dll!KG_PrintfLog
  0x180013e64: mov      ebp, 1
  0x180013e69: mov      esi, 0x20
  0x180013e6e: add      rdi, 0x38
  0x180013e72: sub      r15, 1
  0x180013e76: jne      0x180013c75
  0x180013e7c: movaps   xmm8, xmmword ptr [rsp + 0x20]
  0x180013e82: movaps   xmm7, xmmword ptr [rsp + 0x30]
  0x180013e87: movaps   xmm6, xmmword ptr [rsp + 0x40]
  0x180013e8c: mov      r15, qword ptr [rsp + 0x50]
  0x180013e91: mov      r12, qword ptr [rsp + 0x90]
  0x180013e99: mov      rsi, qword ptr [rsp + 0x88]
  0x180013ea1: mov      rbx, qword ptr [rsp + 0x80]
  0x180013ea9: mov      eax, 1
  0x180013eae: add      rsp, 0x58
  0x180013eb2: pop      r14
  0x180013eb4: pop      r13
  0x180013eb6: pop      rdi
  0x180013eb7: pop      rbp
  0x180013eb8: ret      
  0x180013eb9: int3     
  0x180013eba: int3     
  0x180013ebb: int3     
  0x180013ebc: int3     
  0x180013ebd: int3     
  0x180013ebe: int3     
  0x180013ebf: int3     
  0x180013ec0: mov      qword ptr [rsp + 8], rbx
  0x180013ec5: mov      qword ptr [rsp + 0x10], rbp
  0x180013eca: mov      qword ptr [rsp + 0x18], rsi
  0x180013ecf: push     rdi
  0x180013ed0: push     r12
  0x180013ed2: push     r13
  0x180013ed4: push     r14
  0x180013ed6: push     r15
  0x180013ed8: sub      rsp, 0x20
  0x180013edc: xor      r12d, r12d
  0x180013edf: lea      r14, [rcx + 8]
  0x180013ee3: mov      r13, rcx
  0x180013ee6: mov      ebp, r12d
  0x180013ee9: lea      r15d, [r12 + 2]
  0x180013eee: nop      
  0x180013ef0: cmp      dword ptr [r14], 3
  0x180013ef4: jne      0x180013f79
  0x180013efa: mov      rsi, qword ptr [r13 + 0x70]
  0x180013efe: mov      rdi, qword ptr [r13 + 0x68]
  0x180013f02: cmp      rdi, rsi
  0x180013f05: je       0x180013f6c
  0x180013f07: lea      rbx, [rdi + 0x28]
  0x180013f0b: add      rbx, rbp
  0x180013f0e: nop      
  0x180013f10: lea      rcx, [rbx + 0x14]
  0x180013f14: mov      dword ptr [rbx + 8], r12d
  0x180013f18: mov      eax, dword ptr [rcx - 8]
  0x180013f1b: test     eax, eax
  0x180013f1d: je       0x180013f59
  0x180013f1f: cmp      eax, 1
  0x180013f22: je       0x180013f59
  0x180013f24: mov      rdx, qword ptr [rbx]
  0x180013f27: cmp      rdx, rcx
  0x180013f2a: je       0x180013f52
  0x180013f2c: test     rdx, rdx
  0x180013f2f: je       0x180013f4b
  0x180013f31: mov      rcx, qword ptr [rip + 0x61330]  ; 0x180075268
  0x180013f38: xor      r9d, r9d
  0x180013f3b: add      rcx, 0x90
  0x180013f42: xor      r8d, r8d
  0x180013f45: mov      rax, qword ptr [rcx]
  0x180013f48: call     qword ptr [rax + 0x10]
  0x180013f4b: lea      rax, [rbx + 0x14]
  0x180013f4f: mov      qword ptr [rbx], rax
  0x180013f52: mov      dword ptr [rbx + 0xc], 1
  0x180013f59: add      rdi, 0xc8
  0x180013f60: add      rbx, 0xc8
  0x180013f67: cmp      rdi, rsi
  0x180013f6a: jne      0x180013f10
  0x180013f6c: dec      dword ptr [rip + 0x6117a]  ; 0x1800750ec
  0x180013f72: mov      dword ptr [r14], r12d
  0x180013f75: mov      dword ptr [r14 + 0x1c], r12d
  0x180013f79: add      r14, 4
  0x180013f7d: add      rbp, 0x50
