id	name	middlemap	backgroundmusic	type	x	y	z	show	fullscreensfx
0		0		0	0	0	0	1	0
12	莲花峰	0	data\sound\背景音乐\马嵬坡\B05036b.mp3	0	66944	87424	0		0
24	苍山洱海	0	data\sound\背景音乐\苍山洱海\Knuckles-南邵皇宫.mp3	0	65408	65664	0		0
36	大理山城	0	data\sound\背景音乐\世界通用场景\B04026.mp3	0	20480	87936	0		0
48	千岩关	0	data\sound\背景音乐\世界通用场景\B04026.mp3	0	12800	40064	0		0
60	云弄峰	0	data\sound\背景音乐\马嵬坡\B05036b.mp3	0	98176	116992	0		0
72	洱月村	0	data\sound\背景音乐\成都\B01001a 成都.mp3	0	71936	109184	0		0
84	沧浪峰	0	data\sound\背景音乐\马嵬坡\B05036b.mp3	0	85632	90496	0		0
96	蝴蝶泉	0	data\sound\背景音乐\情感音乐\B07001.mp3	0	71808	45824	0		0
108	飞熊营	0	data\sound\背景音乐\情感音乐\B06001.mp3	0	70400	58496	0		0
120	应乐峰	0	data\sound\背景音乐\马嵬坡\B05036b.mp3	0	67072	61440	0		0
132	玉局峰	0	data\sound\背景音乐\马嵬坡\B05036b.mp3	0	99968	67200	0		0
144	南诏皇宫	0	data\sound\背景音乐\南诏宫廷\B05032 南诏宫廷 全长.mp3	0	110336	80896	0		0
156	崇圣寺	0	data\sound\背景音乐\少林\B02001a.mp3	0	113920	45312	0		0
168	飞豹营	0	data\sound\背景音乐\情感音乐\B06001.mp3	0	87296	52480	0		0
180	飞虎营	0	data\sound\背景音乐\情感音乐\B06001.mp3	0	96640	36224	0		0
192	风城	0	data\sound\背景音乐\南诏宫廷\B05033 南诏宫廷 全长.mp3	0	73728	23296	0		0
204	段氏赛马场	0	data\sound\背景音乐\世界通用场景\B05028_擂台比武_全长.mp3	0	104320	21120	0		0
216	飞象营	0	data\sound\背景音乐\情感音乐\B06001.mp3	0	54016	13184	0		0
228	小普陀岛	0	data\sound\背景音乐\世界通用场景\B04002.mp3	0	51584	89856	0		0
240	山巅牧场	0	data\sound\背景音乐\世界通用场景\B04005a 大草原 全长.mp3	0	26624	19200	0		0
