id	name	middlemap	backgroundmusic	type	x	y	z	show	fullscreensfx
0		0		0	0	0	0	1	0
13	响马营地	0	data\sound\背景音乐\黑戈壁\火焰山－A.mp3	0	21632	110208	0		0
26	飞沙山	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	30208	87808	0		0
39	玉门关	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	10752	87296	0		0
52	孔雀海	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	53760	88448	0		0
65	鸣沙山	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	56320	61312	0		0
78	银沙石林	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	15872	50944	0		0
91	楼兰古城	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	16896	16768	0		0
104	龙门客栈	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	44416	36992	0		0
117	南戈壁	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	63104	23296	0		0
130	扬沙裂谷	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	100224	6272	0		0
143	月氏遗迹	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	104960	23040	0		0
156	龙门峡谷	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	104192	34176	0		0
169	碎风岩壁	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	109824	50688	0		0
182	清澜湖畔	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	114944	65408	0		0
195	血衣魔鬼城	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	84736	78208	0		0
208	古祭坛	0	data\sound\背景音乐\黑戈壁\火焰山－B.mp3	0	108544	114432	0		0
221	乌孙旧都	0	data\sound\背景音乐\黑戈壁\火焰山－B.mp3	0	77824	113920	0		0
234	龙门绝境	0	data\sound\背景音乐\世界通用场景\戈壁吃鸡版（无损）.mp3	0	65408	65664	0		0
