ParkourMoveID	TotalFrame	PointCount	PointFrame1	PointFrame2	PointFrame3	PointFrame4	Frame0	VelocityXY0	VelocityZ0	DirectionXY0	Frame1	VelocityXY1	VelocityZ1	DirectionXY1	Frame2	VelocityXY2	VelocityZ2	DirectionXY2	Frame3	VelocityXY3	VelocityZ3	DirectionXY3	Frame4	VelocityXY4	VelocityZ4	DirectionXY4	Frame5	VelocityXY5	VelocityZ5	DirectionXY5	Frame6	VelocityXY6	VelocityZ6	DirectionXY6	Frame7	VelocityXY7	VelocityZ7	DirectionXY7	Frame8	VelocityXY8	VelocityZ8	DirectionXY8	Frame9	VelocityXY9	VelocityZ9	DirectionXY9	Frame10	VelocityXY10	VelocityZ10	DirectionXY10	Frame11	VelocityXY11	VelocityZ11	DirectionXY11	Frame12	VelocityXY12	VelocityZ12	DirectionXY12	Frame13	VelocityXY13	VelocityZ13	DirectionXY13	Frame14	VelocityXY14	VelocityZ14	DirectionXY14	Frame15	VelocityXY15	VelocityZ15	DirectionXY15	Frame16	VelocityXY16	VelocityZ16	DirectionXY16	Frame17	VelocityXY17	VelocityZ17	DirectionXY17	Frame18	VelocityXY18	VelocityZ18	DirectionXY18	Frame19	VelocityXY19	VelocityZ19	DirectionXY19	Frame20	VelocityXY20	VelocityZ20	DirectionXY20	Frame21	VelocityXY21	VelocityZ21	DirectionXY21	Frame22	VelocityXY22	VelocityZ22	DirectionXY22	Frame23	VelocityXY23	VelocityZ23	DirectionXY23	Frame24	VelocityXY24	VelocityZ24	DirectionXY24	Frame25	VelocityXY25	VelocityZ25	DirectionXY25	Frame26	VelocityXY26	VelocityZ26	DirectionXY26	Frame27	VelocityXY27	VelocityZ27	DirectionXY27	Frame28	VelocityXY28	VelocityZ28	DirectionXY28	Frame29	VelocityXY29	VelocityZ29	DirectionXY29	Frame30	VelocityXY30	VelocityZ30	DirectionXY30	Frame31	VelocityXY31	VelocityZ31	DirectionXY31	Frame32	VelocityXY32	VelocityZ32	DirectionXY32	Frame33	VelocityXY33	VelocityZ33	DirectionXY33	Frame34	VelocityXY34	VelocityZ34	DirectionXY34	Frame35	VelocityXY35	VelocityZ35	DirectionXY35	Frame36	VelocityXY36	VelocityZ36	DirectionXY36	Frame37	VelocityXY37	VelocityZ37	DirectionXY37	Frame38	VelocityXY38	VelocityZ38	DirectionXY38	Frame39	VelocityXY39	VelocityZ39	DirectionXY39	Frame40	VelocityXY40	VelocityZ40	DirectionXY40	Frame41	VelocityXY41	VelocityZ41	DirectionXY41	Frame42	VelocityXY42	VelocityZ42	DirectionXY42	Frame43	VelocityXY43	VelocityZ43	DirectionXY43	Frame44	VelocityXY44	VelocityZ44	DirectionXY44	Frame45	VelocityXY45	VelocityZ45	DirectionXY45	Frame46	VelocityXY46	VelocityZ46	DirectionXY46	Frame47	VelocityXY47	VelocityZ47	DirectionXY47	Frame48	VelocityXY48	VelocityZ48	DirectionXY48	Frame49	VelocityXY49	VelocityZ49	DirectionXY49	Frame50	VelocityXY50	VelocityZ50	DirectionXY50	Frame51	VelocityXY51	VelocityZ51	DirectionXY51	Frame52	VelocityXY52	VelocityZ52	DirectionXY52	Frame53	VelocityXY53	VelocityZ53	DirectionXY53	Frame54	VelocityXY54	VelocityZ54	DirectionXY54	Frame55	VelocityXY55	VelocityZ55	DirectionXY55	Frame56	VelocityXY56	VelocityZ56	DirectionXY56	Frame57	VelocityXY57	VelocityZ57	DirectionXY57	Frame58	VelocityXY58	VelocityZ58	DirectionXY58	Frame59	VelocityXY59	VelocityZ59	DirectionXY59	Frame60	VelocityXY60	VelocityZ60	DirectionXY60	Frame61	VelocityXY61	VelocityZ61	DirectionXY61	Frame62	VelocityXY62	VelocityZ62	DirectionXY62	Frame63	VelocityXY63	VelocityZ63	DirectionXY63	Frame64	VelocityXY64	VelocityZ64	DirectionXY64	Frame65	VelocityXY65	VelocityZ65	DirectionXY65	Frame66	VelocityXY66	VelocityZ66	DirectionXY66	Frame67	VelocityXY67	VelocityZ67	DirectionXY67	Frame68	VelocityXY68	VelocityZ68	DirectionXY68	Frame69	VelocityXY69	VelocityZ69	DirectionXY69	Frame70	VelocityXY70	VelocityZ70	DirectionXY70	Frame71	VelocityXY71	VelocityZ71	DirectionXY71	Frame72	VelocityXY72	VelocityZ72	DirectionXY72	Frame73	VelocityXY73	VelocityZ73	DirectionXY73	Frame74	VelocityXY74	VelocityZ74	DirectionXY74	Frame75	VelocityXY75	VelocityZ75	DirectionXY75	Frame76	VelocityXY76	VelocityZ76	DirectionXY76	Frame77	VelocityXY77	VelocityZ77	DirectionXY77	Frame78	VelocityXY78	VelocityZ78	DirectionXY78	Frame79	VelocityXY79	VelocityZ79	DirectionXY79	Frame80	VelocityXY80	VelocityZ80	DirectionXY80	Frame81	VelocityXY81	VelocityZ81	DirectionXY81	Frame82	VelocityXY82	VelocityZ82	DirectionXY82	Frame83	VelocityXY83	VelocityZ83	DirectionXY83	Frame84	VelocityXY84	VelocityZ84	DirectionXY84	Frame85	VelocityXY85	VelocityZ85	DirectionXY85	Frame86	VelocityXY86	VelocityZ86	DirectionXY86	Frame87	VelocityXY87	VelocityZ87	DirectionXY87	Frame88	VelocityXY88	VelocityZ88	DirectionXY88	Frame89	VelocityXY89	VelocityZ89	DirectionXY89	Frame90	VelocityXY90	VelocityZ90	DirectionXY90	Frame91	VelocityXY91	VelocityZ91	DirectionXY91	Frame92	VelocityXY92	VelocityZ92	DirectionXY92	Frame93	VelocityXY93	VelocityZ93	DirectionXY93	Frame94	VelocityXY94	VelocityZ94	DirectionXY94	Frame95	VelocityXY95	VelocityZ95	DirectionXY95	Frame96	VelocityXY96	VelocityZ96	DirectionXY96	Frame97	VelocityXY97	VelocityZ97	DirectionXY97	Frame98	VelocityXY98	VelocityZ98	DirectionXY98	Frame99	VelocityXY99	VelocityZ99	DirectionXY99	Frame100	VelocityXY100	VelocityZ100	DirectionXY100	Frame101	VelocityXY101	VelocityZ101	DirectionXY101	Frame102	VelocityXY102	VelocityZ102	DirectionXY102	Frame103	VelocityXY103	VelocityZ103	DirectionXY103	Frame104	VelocityXY104	VelocityZ104	DirectionXY104	Frame105	VelocityXY105	VelocityZ105	DirectionXY105	Frame106	VelocityXY106	VelocityZ106	DirectionXY106	Frame107	VelocityXY107	VelocityZ107	DirectionXY107	Frame108	VelocityXY108	VelocityZ108	DirectionXY108	Frame109	VelocityXY109	VelocityZ109	DirectionXY109	Frame110	VelocityXY110	VelocityZ110	DirectionXY110	Frame111	VelocityXY111	VelocityZ111	DirectionXY111	Frame112	VelocityXY112	VelocityZ112	DirectionXY112	Frame113	VelocityXY113	VelocityZ113	DirectionXY113	Frame114	VelocityXY114	VelocityZ114	DirectionXY114	Frame115	VelocityXY115	VelocityZ115	DirectionXY115	Frame116	VelocityXY116	VelocityZ116	DirectionXY116	Frame117	VelocityXY117	VelocityZ117	DirectionXY117	Frame118	VelocityXY118	VelocityZ118	DirectionXY118	Frame119	VelocityXY119	VelocityZ119	DirectionXY119	Frame120	VelocityXY120	VelocityZ120	DirectionXY120	Frame121	VelocityXY121	VelocityZ121	DirectionXY121	Frame122	VelocityXY122	VelocityZ122	DirectionXY122	Frame123	VelocityXY123	VelocityZ123	DirectionXY123	Frame124	VelocityXY124	VelocityZ124	DirectionXY124	Frame125	VelocityXY125	VelocityZ125	DirectionXY125	Frame126	VelocityXY126	VelocityZ126	DirectionXY126	Frame127	VelocityXY127	VelocityZ127	DirectionXY127	Frame128	VelocityXY128	VelocityZ128	DirectionXY128	Frame129	VelocityXY129	VelocityZ129	DirectionXY129	Frame130	VelocityXY130	VelocityZ130	DirectionXY130	Frame131	VelocityXY131	VelocityZ131	DirectionXY131	Frame132	VelocityXY132	VelocityZ132	DirectionXY132	Frame133	VelocityXY133	VelocityZ133	DirectionXY133	Frame134	VelocityXY134	VelocityZ134	DirectionXY134	Frame135	VelocityXY135	VelocityZ135	DirectionXY135	Frame136	VelocityXY136	VelocityZ136	DirectionXY136	Frame137	VelocityXY137	VelocityZ137	DirectionXY137	Frame138	VelocityXY138	VelocityZ138	DirectionXY138	Frame139	VelocityXY139	VelocityZ139	DirectionXY139	Frame140	VelocityXY140	VelocityZ140	DirectionXY140	Frame141	VelocityXY141	VelocityZ141	DirectionXY141	Frame142	VelocityXY142	VelocityZ142	DirectionXY142	Frame143	VelocityXY143	VelocityZ143	DirectionXY143	Frame144	VelocityXY144	VelocityZ144	DirectionXY144	Frame145	VelocityXY145	VelocityZ145	DirectionXY145	Frame146	VelocityXY146	VelocityZ146	DirectionXY146	Frame147	VelocityXY147	VelocityZ147	DirectionXY147	Frame148	VelocityXY148	VelocityZ148	DirectionXY148	Frame149	VelocityXY149	VelocityZ149	DirectionXY149	Frame150	VelocityXY150	VelocityZ150	DirectionXY150	Frame151	VelocityXY151	VelocityZ151	DirectionXY151	Frame152	VelocityXY152	VelocityZ152	DirectionXY152	Frame153	VelocityXY153	VelocityZ153	DirectionXY153	Frame154	VelocityXY154	VelocityZ154	DirectionXY154	Frame155	VelocityXY155	VelocityZ155	DirectionXY155	Frame156	VelocityXY156	VelocityZ156	DirectionXY156	Frame157	VelocityXY157	VelocityZ157	DirectionXY157	Frame158	VelocityXY158	VelocityZ158	DirectionXY158	Frame159	VelocityXY159	VelocityZ159	DirectionXY159
1	10	4	0	2	6	9	0	0	0	64	1	7	58	-64	2	14	106	0	3	12	61	0	4	11	19	0	5	12	-1	0	6	13	-23	0	7	12	-61	0	8	13	-103	0	9	6	-56	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
2	11	4	0	3	7	10	0	0	0	64	1	4	43	-64	2	10	91	0	3	12	81	0	4	14	47	0	5	17	19	0	6	21	-24	0	7	18	-52	0	8	11	-78	0	9	8	-86	0	10	3	-41	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
3	11	4	0	2	7	10	0	0	0	64	1	8	59	-64	2	16	106	0	3	15	57	0	4	15	20	0	5	15	4	0	6	16	-5	0	7	16	-22	0	8	15	-57	0	9	15	-103	0	10	7	-58	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
4	13	4	0	4	8	12	0	0	0	64	1	2	24	-64	2	6	57	0	3	10	67	0	4	12	55	0	5	21	31	0	6	27	11	0	7	27	-14	0	8	22	-34	0	9	12	-54	0	10	10	-65	0	11	6	-55	0	12	2	-23	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
5	14	4	0	2	10	13	0	0	0	64	1	6	64	-64	2	13	108	0	3	14	45	0	4	14	18	0	5	15	8	0	6	15	2	0	7	16	0	0	8	17	-2	0	9	17	-9	0	10	16	-21	0	11	15	-48	0	12	14	-104	0	13	6	-61	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
6	12	4	0	1	9	11	0	0	0	64	1	20	140	-64	2	21	85	0	3	17	28	0	4	16	13	0	5	16	3	0	6	18	0	0	7	19	-5	0	8	20	-17	0	9	19	-37	0	10	20	-117	0	11	11	-93	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
7	14	4	0	2	11	13	0	0	0	64	1	11	93	-64	2	20	110	0	3	17	27	0	4	17	15	0	5	17	7	0	6	17	2	0	7	18	0	0	8	18	-2	0	9	18	-6	0	10	18	-14	0	11	17	-25	0	12	18	-111	0	13	10	-95	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
8	14	4	0	2	10	13	0	0	0	64	1	5	60	-64	2	13	107	0	3	18	58	0	4	22	36	0	5	24	24	0	6	24	13	0	7	23	0	0	8	24	-14	0	9	23	-27	0	10	22	-37	0	11	19	-57	0	12	14	-103	0	13	6	-58	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
9	11	4	0	3	7	10	0	0	0	64	1	4	74	-64	2	10	155	0	3	11	133	0	4	11	60	0	5	12	17	0	6	13	-17	0	7	12	-60	0	8	11	-133	0	9	10	-155	0	10	4	-74	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
10	11	4	0	3	7	10	0	0	0	64	1	4	76	-64	2	10	159	0	3	12	138	0	4	14	71	0	5	17	24	0	6	18	-28	0	7	16	-75	0	8	12	-136	0	9	10	-155	0	10	4	-74	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
11	12	4	0	3	8	11	0	0	0	64	1	6	76	-64	2	13	157	0	3	14	134	0	4	14	71	0	5	15	37	0	6	16	0	0	7	17	-39	0	8	15	-72	0	9	13	-133	0	10	11	-156	0	11	5	-75	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
12	12	4	0	3	8	11	0	0	0	64	1	4	78	-64	2	11	161	0	3	14	135	0	4	18	63	0	5	21	27	0	6	21	-1	0	7	23	-31	0	8	19	-66	0	9	13	-133	0	10	10	-158	0	11	4	-76	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
13	13	4	0	3	10	12	0	0	0	64	1	3	58	-64	2	7	130	0	3	11	135	0	4	14	82	0	5	19	51	0	6	21	26	0	7	19	3	0	8	19	-10	0	9	19	-32	0	10	18	-67	0	11	18	-209	0	12	10	-165	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
14	13	4	0	2	9	12	0	0	0	64	1	9	156	-64	2	20	207	0	3	28	69	0	4	31	22	0	5	22	1	0	6	18	-3	0	7	16	-12	0	8	15	-27	0	9	14	-48	0	10	12	-121	0	11	9	-163	0	12	4	-81	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
15	13	4	0	2	9	12	0	0	0	64	1	11	162	-64	2	20	207	0	3	21	68	0	4	22	35	0	5	22	12	0	6	21	0	0	7	21	-10	0	8	21	-26	0	9	19	-47	0	10	17	-96	0	11	14	-193	0	12	6	-111	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
16	14	4	0	2	10	13	0	0	0	64	1	9	166	-64	2	19	207	0	3	21	63	0	4	22	34	0	5	23	14	0	6	23	2	0	7	24	-6	0	8	24	-21	0	9	23	-38	0	10	20	-58	0	11	15	-125	0	12	10	-159	0	13	4	-79	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
17	12	4	0	3	8	11	0	0	0	64	1	4	80	-64	2	8	180	0	3	10	187	0	4	9	115	0	5	9	60	0	6	9	19	0	7	10	-13	0	8	10	-58	0	9	11	-149	0	10	13	-270	0	11	6	-151	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
18	13	4	0	3	8	12	0	0	0	64	1	3	83	-64	2	8	185	0	3	10	192	0	4	10	117	0	5	12	58	0	6	13	17	0	7	14	-20	0	8	14	-63	0	9	11	-117	0	10	10	-189	0	11	8	-181	0	12	3	-81	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
19	14	4	0	3	9	13	0	0	0	64	1	4	83	-64	2	9	183	0	3	11	187	0	4	11	106	0	5	13	51	0	6	14	19	0	7	14	0	0	8	14	-17	0	9	13	-49	0	10	11	-106	0	11	11	-188	0	12	9	-185	0	13	4	-84	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
20	14	4	0	3	9	13	0	0	0	64	1	4	112	-64	2	10	229	0	3	13	183	0	4	16	77	0	5	19	32	0	6	18	6	0	7	16	-4	0	8	16	-21	0	9	14	-50	0	10	12	-102	0	11	10	-188	0	12	8	-188	0	13	3	-85	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
21	14	4	0	4	10	13	0	0	0	64	1	2	63	-64	2	5	148	0	3	8	173	0	4	11	138	0	5	20	82	0	6	26	43	0	7	22	5	0	8	20	-10	0	9	19	-35	0	10	16	-75	0	11	14	-183	0	12	10	-234	0	13	4	-116	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
22	14	4	0	3	10	13	0	0	0	64	1	3	85	-64	2	7	187	0	3	11	189	0	4	15	105	0	5	19	56	0	6	22	27	0	7	22	7	0	8	22	-6	0	9	23	-27	0	10	20	-59	0	11	15	-118	0	12	11	-224	0	13	6	-190	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
23	15	4	0	3	11	14	0	0	0	64	1	4	114	-64	2	11	229	0	3	14	176	0	4	17	74	0	5	20	41	0	6	21	17	0	7	21	4	0	8	21	-4	0	9	22	-18	0	10	21	-41	0	11	18	-74	0	12	14	-176	0	13	10	-228	0	14	4	-113	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
24	15	4	0	2	11	14	0	0	0	64	1	7	159	-64	2	15	273	0	3	17	125	0	4	19	56	0	5	20	29	0	6	21	11	0	7	21	2	0	8	22	-3	0	9	24	-15	0	10	23	-38	0	11	19	-73	0	12	15	-178	0	13	11	-233	0	14	4	-116	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
25	13	4	0	4	8	12	0	0	0	64	1	3	88	-64	2	8	204	0	3	10	227	0	4	9	158	0	5	10	55	0	6	11	8	0	7	12	-8	0	8	11	-55	0	9	9	-158	0	10	8	-227	0	11	6	-204	0	12	2	-88	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
26	14	4	0	4	9	13	0	0	0	64	1	2	82	-64	2	6	193	0	3	8	224	0	4	9	174	0	5	11	88	0	6	14	34	0	7	14	0	0	8	15	-35	0	9	12	-89	0	10	9	-174	0	11	8	-223	0	12	6	-192	0	13	2	-82	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
27	14	4	0	3	9	13	0	0	0	64	1	5	147	-64	2	11	299	0	3	12	241	0	4	12	106	0	5	14	48	0	6	14	11	0	7	15	-19	0	8	16	-59	0	9	12	-101	0	10	10	-174	0	11	8	-224	0	12	6	-194	0	13	2	-83	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
28	14	4	0	3	10	13	0	0	0	64	1	3	109	-64	2	7	242	0	3	11	246	0	4	13	139	0	5	17	64	0	6	19	21	0	7	17	1	0	8	17	-13	0	9	16	-44	0	10	14	-95	0	11	12	-230	0	12	9	-295	0	13	4	-146	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
