SchoolID	MinVelocityXY	MaxVelocityXY	MinVelocityZ	MaxVelocityZ	AniFrame	SearchDirection
0	10	120	8	900	40	32
1	10	120	8	900	56	32
2	10	120	8	900	30	32
3	10	120	8	900	53	32
4	10	120	8	900	65	32
5	10	120	8	900	69	32
6	10	120	8	900	69	32
7	10	120	8	900	69	32
8	10	120	8	900	50	32
9	10	120	8	900	64	32
10	10	120	8	900	50	32
11	10	120	8	900	65	32
12	10	120	8	900	72	32
13	10	120	8	900	48	32
14	10	120	8	900	48	32
15	10	120	8	900	48	32
16	10	120	8	900	72	32
17	1	127	1	1000	105	32
18	1	127	1	1000	65	32
19	1	127	1	1000	75	32
20	1	127	1	1000	75	32
21	1	127	1	1000	75	32
