位移技能ID	角色类型	融合	是否使用残影	残影类型	残影时间	残影个数	Once（高）	Loop（高）	离地高度	Once(低）	Loop（低）	离地高度	离地修正动作(Oce)	离地修正动作(loop)	离水高度	离水修正动作(Oce)	离水修正动作(Loop)
0	0	0	0	2	800	5			0			0			0		
70	1	0	1	2	800	0	data\source\player\m2\动作\M2bqg丐帮一段冲a_01.tani	data\source\player\m2\动作\M2bqg丐帮一段冲b.ani	2850	data\source\player\m2\动作\M2bqg丐帮一段冲a01_01.tani	data\source\player\m2\动作\M2bqg丐帮一段冲b.ani						
70	2	0	1	2	800	0	data\source\player\f2\动作\f2bqg丐帮一段冲a_01.tani	data\source\player\f2\动作\f2bqg丐帮一段冲b.ani	2850	data\source\player\f2\动作\f2bqg丐帮一段冲a01_01.tani	data\source\player\f2\动作\f2bqg丐帮一段冲b.ani						
70	5	0	1	2	800	0	data\source\player\M1\动作\M1bqg丐帮一段冲a_01.tani	data\source\player\M1\动作\M1bqg丐帮一段冲b.ani	2850	data\source\player\M1\动作\M1bqg丐帮一段冲a01_01.tani	data\source\player\M1\动作\M1bqg丐帮一段冲b.ani						
70	6	0	1	2	800	0	data\source\player\f1\动作\f1bqg丐帮一段冲a_01.tani	data\source\player\f1\动作\f1bqg丐帮一段冲b.ani	2850	data\source\player\f1\动作\f1bqg丐帮一段冲a01_01.tani	data\source\player\f1\动作\f1bqg丐帮一段冲b.ani						
72	1	0	1	2	800	0	data\source\player\m2\动作\m2bqg丐帮二段冲a_k.tani	data\source\player\m2\动作\M2bqg丐帮二段冲b.ani				1000	Data\source\player\M2\动作\M2bqg明教翻滚01a.tani		2500	Data\source\player\M2\动作\M2bqg丐帮零段跳01c.ani	
72	2	0	1	2	800	0	data\source\player\F2\动作\F2bqg丐帮二段冲a_k.tani	data\source\player\f2\动作\f2bqg丐帮二段冲b.ani				1000	Data\source\player\f2\动作\f2bqg明教翻滚01a.tani		2500	Data\source\player\f2\动作\f2bqg丐帮零段跳01c.ani	
72	5	0	1	2	800	0	data\source\player\M1\动作\M1bqg丐帮二段冲a_k.tani	data\source\player\M1\动作\M1bqg丐帮二段冲b.ani				1000	Data\source\player\M1\动作\M1bqg明教翻滚01a.tani		2500	Data\source\player\M1\动作\M1bqg丐帮零段跳01c.ani	
72	6	0	1	2	800	0	data\source\player\F1\动作\F1bqg丐帮二段冲a_k.tani	data\source\player\f1\动作\f1bqg丐帮二段冲b.ani				1000	Data\source\player\f1\动作\f1bqg明教翻滚01a.tani		2500	Data\source\player\f1\动作\f1bqg丐帮零段跳01c.ani	
73	1	0	1	2	800	0	data\source\player\m2\动作\M2bqg丐帮三段冲a下降.tani	data\source\player\m2\动作\M2bqg丐帮三段冲b.ani				1000	Data\source\player\M2\动作\M2bqg明教翻滚01a.tani		2500	Data\source\player\M2\动作\M2bqg丐帮零段跳01c.ani	
