ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	MaxFarmerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	MiniMapResourcePath	ScriptFile	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	BanTradeItemMask	CanTradeMoney	BanEquipItemMask	CanExistItemMask	IsBattlefield	IsDungeonRoleProgressMap	MapCostVigor	SyncTempData	IsTongLeagueMap	OperationMask	EnableNav	EnableNavAutoFly	AutoSelectIndex	LackMapPakBitIndex	NavWaterG
1	稻香村	稻香村	100	1	2	0	0	0	1		1	1000			10	0	0	0	15	1	0	0	0	0	0	0	data\source\maps\稻香村\稻香村.jsonmap			20	0	0	375	1	0	0	0	0	0	16	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0		0	0	1	1	1	0							1	1			10
2	万花	万花	100	1	2	0	1	0	2		1	1500	1200		10	0	0	0	10	1	0	0	0	0	0	0	data\source\maps\万花\万花.jsonmap			0	0	0	378	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1	1		10
3	1024_蓝天白云	1024_蓝天白云	100	2	4	1	1	0	1		1	1200			10	1	0	0		1	1	5	0	0	0	0	data\source\maps\1024_蓝天白云\1024_蓝天白云.jsonmap			0	0	0		4	0	0		0	0	16	0	0	0	0		0	0	0	1			1	0	0	0	0	1	0				1	1	1	0							0	0			10
5	少林	少林	100	2	2	0	1	0	2		1	1500	1200		10	0	0	0	7	1	0	0	0	0	0	0	data\source\maps\少林\少林.jsonmap			0	0	0	376	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1	1		10
6	扬州	扬州	100	1	2	0	1	0	1		1	1200	1150		10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\扬州\扬州.jsonmap			0	0	0	384	1	0	0		0	1	16	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0				1			1	1		1	10
7	纯阳	纯阳	100	2	2	0	1	0	2		1	1500	1200		10	0	0	0	5	1	0	0	0	0	0	0	data\source\maps\纯阳\纯阳.jsonmap			0	0	0	377	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0				1			1	1	1		10
8	洛阳	洛阳	100	1	2	0	1	0	1		1	1500			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\洛阳\洛阳.jsonmap			0	0	0	786	1	0	0		0	1	16	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1		2	10
9	洛道	洛道	100	1	2	1	1	0	1		1	1000			10	0	0	0	21	1	0	0	0	0	0	0	data\source\maps\洛道\洛道.jsonmap			0	0	0	386	4	0	0		1	1	16	1	0	1	0		0	0	0	1			1	1	100	450	450	2	0				1	1	1	0							1	1			10
10	寇岛	寇岛	100	1	4	1	1	0	1		1	1024			10	0	0	0	12	1	0	0	0	0	0	0	data\source\maps\寇岛\寇岛.jsonmap			0	0	0	387	4	0	0		1	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1			10
11	天策	天策	100	2	2	0	1	0	2		1	1500	1200		10	0	0	0	9	1	0	0	0	0	0	0	data\source\maps\天策\天策.jsonmap			0	0	0	380	1	0	0		0	1	16	1	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0							1	1	1		10
