SubMapID	MainMapID	MainPosX	MainPosY	SubRegionWidth	SubRegionHeight
788	30	2048	94208	6	8
799	108	47104	69632	4	4
727	713	204800	206848	3	5
728	713	200704	204800	3	4
729	713	40960	147456	2	2
730	713	47104	137216	5	6
731	713	43008	98304	5	5
780	713	194560	202752	4	5
781	713	194560	215040	6	8
732	713	16384	135168	6	6
733	713	26624	149504	3	3
734	713	49152	114688	2	2
735	713	94208	139264	4	4
736	713	59392	151552	2	3
737	713	124928	45056	5	9
738	713	133120	30720	3	3
739	713	135168	49152	3	3
740	713	135168	59392	6	3
741	713	110592	110592	4	5
742	713	120832	94208	5	5
743	713	137216	75776	5	8
744	713	161792	45056	2	3
745	713	169984	32768	3	3
746	713	169984	43008	3	3
747	713	176128	26624	5	4
748	713	184320	83968	5	5
749	713	190464	110592	3	3
750	713	219136	102400	3	3
751	713	215040	88064	5	5
752	713	231424	114688	2	3
753	713	243712	114688	3	3
754	713	243712	92160	4	6
755	713	75776	131072	3	3
756	713	57344	165888	3	4
757	713	47104	194560	7	7
758	713	43008	223232	2	2
759	713	30720	186368	6	4
760	713	73728	202752	3	4
761	713	86016	204800	5	4
762	713	118784	188416	2	3
763	713	110592	163840	6	5
764	713	100352	151552	2	2
765	713	124928	159744	6	5
766	713	133120	172032	7	6
767	713	135168	210944	3	3
768	713	147456	192512	2	2
769	713	161792	208896	5	5
770	713	172032	221184	5	5
771	713	243712	124928	2	2
772	713	202752	124928	2	2
773	713	155648	129024	3	3
774	713	145408	112640	2	2
775	713	122880	129024	4	6
776	713	186368	251904	6	5
777	713	73728	86016	6	8
778	713	63488	61440	6	10
779	713	75776	73728	3	3
784	713	12288	30720	8	9
785	713	172032	141312	5	6
782	713	176128	67584	6	4
783	713	169984	61440	8	6
787	713	69632	165888	15	16
716	718	20480	28672	8	8
717	718	53248	30720	3	5
817	793	28672	4096	4	10
