call_addr	protocol_id	size	function	source
0x1801695ba	0x0016	?		JX3LogicEditOperationX64.dll
0x18016a130	0x01E1	0x20	KPlayerClient::DoAbortMapAppointmentRequest	JX3LogicEditOperationX64.dll
0x18016a1bc	0x01C8	0xF	KPlayerClient::DoAbortMapAppointmentRequest	JX3LogicEditOperationX64.dll
0x18016a253	0x0033	?	KPlayerClient::DoAbortMapAppointmentRequest	JX3LogicEditOperationX64.dll
0x18016a2d9	0x0087	?	KPlayerClient::DoAbortMapAppointmentRequest	JX3LogicEditOperationX64.dll
0x18016a34e	0x007F	?	KPlayerClient::DoAbortMapAppointmentRequest	JX3LogicEditOperationX64.dll
0x18016a3c3	0x0083	?	KPlayerClient::DoAbortMapAppointmentRequest	JX3LogicEditOperationX64.dll
0x18016a4c6	0x0083	0x14	KPlayerClient::DoAcceptQuest	JX3LogicEditOperationX64.dll
0x18016a585	0x0157	0x18	KPlayerClient::DoAccountSharedPackageExchangeItemRequest	JX3LogicEditOperationX64.dll
0x18016a64b	0x0156	?	KPlayerClient::DoAccountSharedPackagePutItemRequest	JX3LogicEditOperationX64.dll
0x18016a717	0x0155	?	KPlayerClient::DoAccountSharedPackageTakeItemRequest	JX3LogicEditOperationX64.dll
0x18016a7ac	0x015B	0xF	KPlayerClient::DoAddAttractionReached	JX3LogicEditOperationX64.dll
0x18016a8b3	0x0179	0x57	KPlayerClient::DoAddBiddingPenaltyRecord	JX3LogicEditOperationX64.dll
0x18016aa72	0x0147	0x20	KPlayerClient::DoAddCoinShopCartInfo	JX3LogicEditOperationX64.dll
0x18016ab9e	0x0144	0x20	KPlayerClient::DoAddCoinShopPresetInfo	JX3LogicEditOperationX64.dll
0x18016ac3c	0x0189	0xF	KPlayerClient::DoAddEmotionToFavorites	JX3LogicEditOperationX64.dll
0x18016ad06	0x005A	0x2C	KPlayerClient::DoAddFellowshipRequest	JX3LogicEditOperationX64.dll
0x18016adb6	0x00E6	?	KPlayerClient::DoAddFellowshipRequest	JX3LogicEditOperationX64.dll
0x18016ae16	0x0102	?	KPlayerClient::DoAddTrainToSkill	JX3LogicEditOperationX64.dll
0x18016ae99	0x01E2	?	KPlayerClient::DoApplyAIAgentChatRecordInfo	JX3LogicEditOperationX64.dll
0x18016af0c	0x00BB	0xF	KPlayerClient::DoApplyAchievementDataRequest	JX3LogicEditOperationX64.dll
0x18016af98	0x0158	?	KPlayerClient::DoApplyAddSelfToAccountShared	JX3LogicEditOperationX64.dll
0x18016b02c	0x00E5	0xF	KPlayerClient::DoApplyAllGlobalCounter	JX3LogicEditOperationX64.dll
0x18016b0b8	0x013C	?	KPlayerClient::DoApplyAllHorseEquipPresetData	JX3LogicEditOperationX64.dll
0x18016b148	0x013E	?	KPlayerClient::DoApplyAllSceneSfxSimpleInfo	JX3LogicEditOperationX64.dll
0x18016b1da	0x0093	?	KPlayerClient::DoApplyAllSceneSfxSimpleInfo	JX3LogicEditOperationX64.dll
0x18016b228	0x0160	?	KPlayerClient::DoApplyBFPlayerTeamGroupIDInfo	JX3LogicEditOperationX64.dll
0x18016b2c6	0x0153	?	KPlayerClient::DoApplyBFRoleData	JX3LogicEditOperationX64.dll
0x18016b366	0x015D	?	KPlayerClient::DoApplyBFRoleWeekData	JX3LogicEditOperationX64.dll
0x18016b3f8	0x0186	?	KPlayerClient::DoApplyBFTongLeagueJoinInfo	JX3LogicEditOperationX64.dll
0x18016b488	0x018E	?	KPlayerClient::DoApplyBFTongOnlineMemberCount	JX3LogicEditOperationX64.dll
