id,template,x,z,y,region_x,region_z,kind,state,link_id,npc_template,count,bit58,bit59,bit60
1048576,6816,142652,47235,5404,69,23,14,0,4294967295,0,0,1,0,0
1048577,6818,140593,50389,5096,68,24,14,0,4294967295,0,0,1,0,0
1048578,6817,144774,46475,5519,70,22,14,0,4294967295,0,0,1,0,0
1048579,6822,140307,46704,5444,68,22,14,0,4294967295,0,0,1,0,0
1048580,6822,140572,47971,5092,68,23,14,0,4294967295,0,0,1,0,0
1048581,6817,140484,50632,5126,68,24,14,0,4294967295,0,0,1,0,0
1048582,6816,145166,51139,5596,70,24,14,0,4294967295,0,0,1,0,0
1048583,6816,144727,50796,5406,70,24,14,0,4294967295,0,0,1,0,0
1048584,6817,141811,46381,5570,69,22,14,0,4294967295,0,0,1,0,0
1048585,6816,142372,49433,5147,69,24,14,0,4294967295,0,0,1,0,0
1048586,6817,144676,48527,5573,70,23,14,0,4294967295,0,0,1,0,0
1048587,6817,140844,50764,5584,68,24,14,0,4294967295,0,0,1,0,0
1048588,6816,143050,46798,5560,69,22,14,0,4294967295,0,0,1,0,0
1048589,6817,144623,46488,5633,70,22,14,0,4294967295,0,0,1,0,0
1048590,6822,144066,51573,5544,70,25,14,0,4294967295,0,0,1,0,0
1048591,6822,146367,48573,5476,71,23,14,0,4294967295,0,0,1,0,0
1048592,6817,142962,48455,5254,69,23,14,0,4294967295,0,0,1,0,0
1048593,6818,145726,47999,5083,71,23,14,0,4294967295,0,0,1,0,0
1048594,6818,144302,50055,5896,70,24,14,0,4294967295,0,0,1,0,0
1048595,6816,145975,49676,5294,71,24,14,0,4294967295,0,0,1,0,0
1048596,6817,140967,50193,5428,68,24,14,0,4294967295,0,0,1,0,0
1048597,6822,146202,48802,5155,71,23,14,0,4294967295,0,0,1,0,0
1048598,6816,143454,46321,5684,70,22,14,0,4294967295,0,0,1,0,0
1048599,6818,146263,50571,5586,71,24,14,0,4294967295,0,0,1,0,0
1048600,6822,142786,51695,5358,69,25,14,0,4294967295,0,0,1,0,0
1048601,6816,144750,49737,5070,70,24,14,0,4294967295,0,0,1,0,0
1048602,6816,142211,49883,5713,69,24,14,0,4294967295,0,0,1,0,0
1048603,6818,140497,51989,5718,68,25,14,0,4294967295,0,0,1,0,0
1048604,6822,145301,50734,5697,70,24,14,0,4294967295,0,0,1,0,0
1048605,6818,142331,51870,5395,69,25,14,0,4294967295,0,0,1,0,0
1048606,6817,140184,49782,5363,68,24,14,0,4294967295,0,0,1,0,0
1048607,6816,145004,46959,5505,70,22,14,0,4294967295,0,0,1,0,0
1048608,6817,141787,48354,5132,69,23,14,0,4294967295,0,0,1,0,0
