## skills (41435 rows)
-- 绝境: 182
   SkillName=天原绝境_滑翔翼 ; SkillID=29021 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境_滑翔翼.lua ; MaxLevel=1
   SkillName=天原绝境_照明火把释放 ; SkillID=29043 ; KindType=None ; FunctionType=Damage ; CastMode=PointArea ; ScriptFile=沙漠风暴/天原绝境_照明火把释放.lua ; MaxLevel=1
   SkillName=天原绝境_照明火把实际效果 ; SkillID=29044 ; KindType=None ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=沙漠风暴/照明火把实际效果.lua ; MaxLevel=2
   SkillName=天原绝境_燧石单体 ; SkillID=29051 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_燧石点燃技能.lua ; MaxLevel=1
   SkillName=天原绝境_冰雹aoe ; SkillID=29055 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=沙漠风暴/天原绝境_冰雹aoe.lua ; MaxLevel=1
   SkillName=天原绝境_剑宗深寒 ; SkillID=29056 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_剑宗深寒.lua ; MaxLevel=1
   SkillName=天原绝境_武家炽血 ; SkillID=29061 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_剑宗炽血.lua ; MaxLevel=1
   SkillName=天原绝境_橙色下装被击降攻击 ; SkillID=29068 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_橙胖次降攻击.lua ; MaxLevel=1
   SkillName=天原绝境_战象践踏 ; SkillID=29146 ; KindType=None ; FunctionType=Damage ; CastMode=CasterArea ; ScriptFile=沙漠风暴/天原绝境战象践踏.lua ; MaxLevel=5
   SkillName=天原绝境_战象冲锋 ; SkillID=29264 ; KindType=None ; FunctionType=Damage ; CastMode=Rectangle ; ScriptFile=沙漠风暴/天原绝境战象冲刺.lua ; MaxLevel=1
   SkillName=天原绝境_战象下车 ; SkillID=29267 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境战象下车.lua ; MaxLevel=1
   SkillName=天原绝境_战象践踏母技能 ; SkillID=29283 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境战象践踏母技能.lua ; MaxLevel=1
   SkillName=天原绝境_极寒掉血 ; SkillID=29342 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=Default.lua ; MaxLevel=1
   SkillName=天原绝境_战象推人母技能 ; SkillID=29476 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原绝境战象推人母技能.lua ; MaxLevel=1
   SkillName=天原绝境_天玄冰 ; SkillID=29637 ; KindType=Physics ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=沙漠风暴/天原绝境_天玄冰.lua ; MaxLevel=1
   SkillName=天原绝境_冰封复活 ; SkillID=31507 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=沙漠风暴/天原主动复活.lua ; MaxLevel=1
   SkillName=春泥护花_绝境战场 ; SkillID=33285 ; KindType=NeutralMagic ; FunctionType=Normal ; CastMode=CasterSingle ; ScriptFile=万花\万花_养心决_春泥护花.lua ; MaxLevel=7
   SkillName=洱海绝境_脱战附近aoe ; SkillID=35149 ; KindType=Physics ; FunctionType=Normal ; CastMode=CasterArea ; ScriptFile=沙漠风暴/洱海绝境脱战烫人.lua ; MaxLevel=1
   SkillName=绝境·扶摇直上 ; SkillID=37681 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖/江湖轻功_扶摇直上.lua ; MaxLevel=11
   SkillName=绝境·蹑云逐月 ; SkillID=37682 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖\江湖轻功_蹑云逐月.lua ; MaxLevel=4
   SkillName=绝境·凌霄揽胜 ; SkillID=37683 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖\江湖轻功_凌霄揽胜.lua ; MaxLevel=1
   SkillName=绝境·瑶台枕鹤 ; SkillID=37684 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖\江湖轻功_瑶台枕鹤.lua ; MaxLevel=1
   SkillName=绝境·迎风回浪 ; SkillID=37685 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖\江湖轻功_迎风回浪.lua ; MaxLevel=1
   SkillName=绝境·后撤 ; SkillID=37686 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖\后撤.lua ; MaxLevel=1
   SkillName=绝境·回风扫叶 ; SkillID=37687 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境_回风扫叶.lua ; MaxLevel=5
   SkillName=绝境渊被击 ; SkillID=37717 ; KindType=Physics ; FunctionType=Damage ; CastMode=CasterSingle ; ScriptFile=绝境战场/绝境_渊触发技能事件.lua ; MaxLevel=6
   SkillName=绝境·骑乘 ; SkillID=37746 ; KindType=None ; FunctionType=Damage ; CastMode=CasterSingle ; ScriptFile=江湖\骑乘.lua ; MaxLevel=1 ; MapBanMask=1
   SkillName=绝境·扶摇直上·悟 ; SkillID=38381 ; KindType=Leap ; FunctionType=Fly ; CastMode=CasterSingle ; ScriptFile=江湖/绝境战场_移动端_扶摇.lua ; MaxLevel=11
   SkillName=绝境·蹑云逐月·悟 ; SkillID=38382 ; KindType=Leap ; FunctionType=Fly ; CastMode=PointRectangle ; ScriptFile=江湖/绝境战场_移动端_蹑云逐月.lua ; MaxLevel=1
   SkillName=绝境·雾暗迷云 ; SkillID=39483 ; KindType=Adaptive ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境_雾暗迷云.lua ; MaxLevel=1
   SkillName=绝境·截阳 ; SkillID=39492 ; KindType=Adaptive ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境·截阳.lua ; MaxLevel=1
   SkillName=绝境·引窍 ; SkillID=39493 ; KindType=Adaptive ; FunctionType=Normal ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境·引窍.lua ; MaxLevel=1
   SkillName=绝境·风流云散 ; SkillID=39494 ; KindType=Leap ; FunctionType=Normal ; CastMode=PointArea ; ScriptFile=绝境战场/绝境·风流云散.lua ; MaxLevel=1
   SkillName=绝境截阳实际伤害子技能 ; SkillID=39526 ; KindType=Adaptive ; FunctionType=Damage ; CastMode=TargetSingle ; ScriptFile=绝境战场/绝境截阳伤害子技能.lua ; MaxLevel=1
