SkillMoveID	AnimationID	bAllowSkillMoveDst
0	0	0
1	3001	
3	2114	
5	2115	
7	2122	
9	2116	
11	2117	
12	70500	
13	2123	
14	70501	
15	2124	
16	70502	
17	2125	
18	70503	
19	2126	
20	70504	
21	2127	
23	2128	
25	2134	
27	2149	
29	2135	
31	2066	
37	2148	
39	2133	
41	2152	
42	2153	
43	2150	
44	2151	
45	2136	
47	2138	
49	2140	
51	2141	
53	2142	
56	2143	
58		
59		
60		
61		
62	2137	
64	2158	
66	62	
78	2216	
98	2649	
99	2650	
100	2651	
101	2652	
102	2653	
105	-1	
108	3253	
109	3254	
110	3255	
111	3256	
112	50517	
123	14083	
124	14084	
175	3318	
198	5053	
207	5054	
245	5055	
264	5129	
265	5130	
266	5126	
280	5056	
281	5123	
282	5124	
283	5037	
284	5042	
303	60604	
304	60604	
306	70316	
308	5200	
309	85030	
311	85034	
312	85040	
313	85052	
321	85114	
322	85113	
323	85108	
324	85218	
325		
326		
327		
328	84991	
329	84992	
330	84993	
331		
332		
333		
334	85116	
335	85117	
336	85118	
337	85119	
338	85120	
339	85121	
340	85169	
341	85178	
342	85124	
343	85125	
344	71644	
345	85127	
346	85131	
347	85130	
348	85139	
349	85138	
350	85144	
351	85148	
352	85147	
353	85156	
354	85155	
355	85164	
356	85163	
357	85173	
358	85172	
359	85182	
360	85181	
361	85190	
362	85189	
363	71635	
364	71626	
374	71630	
375	71629	
376	71639	
377	71638	
378	71648	
379	71647	
385	71656	
386	71655	
387	71664	
388	71663	
389	72094	
390	72093	
391	84988	
392	72215	
393	72216	
402	85052	
403	85052	
404	85052	
405	85052	
406	85542	
407	91028	
408	91068	
415	2143	
417	2149	
419	2135	
420	12040	
421	12041	
422	12042	
423	12043	
426	85251	
427	85261	
428	85260	
429	12032	
438	2118	
439	2148	
440	2216	
441	2133	
442	70316	
447	9874	
448	3651	
449	3652	
450	91111	
464	91122	
472	39999	
473	39998	
474	39997	
531	91118	
547	3653	
558	91126	
569	100095	
579	100097	
580	74094	
581	74092	
582	74093	
592	75000	
593	75001	
594	75002	
595	75003	
596	75004	
597	75009	
599	75007	
600	75008	
601	74182	
604	74182	
605	75070	
606	75068	
607	75069	
608	85030	
609	75000	
610	75000	
611	75001	
612	75002	
613	75003	
614	75004	
615	75009	
616	75009	
617	75076	
618	75077	
619	75082	
620	75092	
621	75125	
622	75126	
623	75127	
624	75128	
628	75133	
629	75129	
630	75130	
631	75131	
632	75132	
633	75133	
635	75115	
636	75116	
637	75117	
638	75121	
639	75122	
640	75123	
641	75124	
643	75136	
644	75137	
645	75138	
646	75139	
647	75143	
648	75144	
649	75145	
650	75146	
652	75141	
653	75109	
654	75110	
655	75111	
656	75112	
657	75105	
658	75106	
659	75107	
660	75108	
661	75142	
662	75118	
663	75119	
664	75134	
665	75120	
666	75114	
669	74222	
671	74224	
672	75104	
673	75330	
674	75331	
675	75332	
676	75333	
677	75334	
678	75335	
679	75336	
680	75337	
681	75338	
682	75339	
683	75340	
684	75341	
688	75096	
689	75094	
690	75342	
691	75343	
692	75344	
693	75346	
694	75348	
695	75353	
696	75349	
697	75350	
698	75351	
699	75352	
700	75355	
701	75356	
702	75357	
703	75358	
704	75354	
705	75372	
706	75373	
707	75374	
708	127770	
709	127771	
713	75375	
714	75376	
715	75377	
716	75378	
717	75379	
718	75380	
719	75381	
720	127772	
721	75500	
722	75501	
723	75502	
724	75504	
725	75518	
726	75520	
727	75519	
728	75517	
729	75503	
730	75505	
732	678	
733	690	
734	691	
735	692	
736	394	
743	1055	
744	1075	
745	1048	
746	1053	
747	1250	
748	1251	
749	1252	
750	1253	
751	1254	
752	1255	
753	1256	
754	1257	
755	1258	
756	1259	
757	1264	
758	56	
759	1075	
760	75406	
761	1701	1
762	1657	
768	1763	
769	1764	
770	1779	
771	1782	
772	1786	1
773	1787	1
774	1804	
775	75386	
776	75387	
777	75388	
778	75403	
779	75402	
780	75404	
781	75405	
782	75389	
783	75390	
784	75392	
785	75383	
786	75391	
787	70506	
788	70500	
789	70501	
790	70502	
791	70517	
792	70516	
793	70518	
794	70519	
795	70504	
796	70505	
797	70503	
798	2118	
799	56	
800	57	
801	58	
802	75407	
803	75408	
804	75409	
805	75423	
806	75424	
807	75425	
808	75426	
809	75427	
810	75428	
811	75429	
812	75443	
813	75444	
814	75445	
815	75446	
816	75411	
817	75412	
818	75413	
819	75431	
820	75432	
821	75433	
822	2046	
824	1205	
826	2081	
827	90	
828	51	
829	51	
830	52	
831	93	
832	89	
833	91	
834	90	
835	93	
840	2263	
841	2264	
842	2268	
843	2149	
844	2135	
845	2136	
846	2137	
847	2284	
848	2285	
849	2286	
850		
851		
852		
853		
854		
855		
856		
857	75447	
858	75448	
859	75449	
860	75450	
861	75451	
862	75452	
863	75462	
864	75463	
865	75464	
866	75465	
867	56	
868	2790	
919	71	1
920	70	1
921	71	1
922	67	1
923	56	1
924	68	1
925	71	1
926	70	1
927	69	1
929	69	1
931	68	1
932	51	
933	52	
934	53	
935	54	
936	55	
937	72	1
938	62	
939	73	
940		
