SkillID	AnimationID
228	347
424	478
1577	700
1578	702
1580	70037
1591	737
1596	712
2235	2789
2930	487
3795	726
6872	2496
15196	2558
18769	70032
19561	71502
19577	71540
20050	85097
20051	85098
20053	85100
20067	85200
20601	84990
21130	72233
21292	700
21294	85514
21295	85309
21296	85517
21297	85313
21298	85516
21299	85312
21300	85515
21301	85310
21772	85526
21776	85529
22344	91056
22613	91018
22615	91069
22889	91076
26376	12050
27031	9590
27537	75038
27538	75036
28033	91076
28329	74177
28530	22006
28593	74171
28595	74172
28596	74173
28680	115005
28885	72097
28908	91197
29059	74163
29070	74164
30533	75086
32140	74218
32141	74219
32166	74209
32466	74208
32654	75215
32940	75216
36045	688
36150	766
36810	1074
37332	74264
38011	-1
40127	2931
40129	2931
41479	75036
41764	2440
43597	2678
43615	2682
43637	2691
44363	74160
44593	-1
44944	2896
44975	2899
102622	2896
102623	2899
