script	school	min_range_chi	max_range_chi	area_radius_chi	angle_deg	rect_width_chi	protect_radius_chi	targets
Carrier\神机台_扫射低伤.lua	Carrier	0	35	35	90	0	0	20(raw)
Carrier\神机台_扫射低火伤.lua	Carrier	0	35	35	90	0	0	20(raw)
Carrier\神机台_扫射高伤.lua	Carrier	0	35	35	90	0	0	20(raw)
Carrier\神机台_扫射高火伤.lua	Carrier	0	35	35	90	0	0	20(raw)
Carrier\神机台_穿心弩.lua	Carrier	0	30	35	90	0	0	1(raw)
Default.lua		0	0	0	360	0	0	2(raw)
item\橙武_易筋经_韦陀献杵回豆.lua	item	0	25	0	360			2(raw)
item\橙武_花间游_重置花语酥心.lua	item	0	10	0	360			2(raw)
Map\洛道_李渡城\毒雾.lua	Map	0	100	8 * dwSkillLevel * LENGTH_BASE	360	0		50(raw)
npc\NPC_伤害\NPC_伤害_远程_一般攻击_10.lua	npc		60		180			
npc\体验战场机器人\万花_商阳指.lua	npc	0	20	0	360	0	0	2(raw)
npc\体验战场机器人\唐门_孔雀翎.lua	npc	0	25	10	360	0	0	10(raw)
npc\体验战场机器人\轻功_聂云.lua	npc	0	0	0	360	0	0	2(raw)
npc\副本BOSS\25人谢云流\万剑归宗.lua	npc	0	30	10	360			30(raw)
npc\副本BOSS\25人谢云流\凌太虚·霄风.lua	npc	0	30	10	360			10(raw)
npc\副本BOSS\25人谢云流\凌太虚·霄风·人剑合一.lua	npc	0	30	10	360			10(raw)
npc\副本BOSS\25人谢云流\坐忘无我.lua	npc	0	30	10	180			10(raw)
npc\副本BOSS\25人谢云流\生太极.lua	npc	0	30	10	360			10(raw)
npc\副本BOSS\一之窟\1号_骆耀阳\1号_骆耀阳_破风.lua	npc		100		360			
npc\副本BOSS\冰火岛\拿云\赤阳爆裂阵.lua	npc	0	6	120	360	0	0	25(raw)
npc\副本BOSS\冰火岛_青莲狱\6号_伊玛目\断首斩.lua	npc	0	40	8	180	7	0	-1(raw)
