SkillID	Level	IconID	Show	CombatShow	Formation	FormationCaster	PracticeID	SortOrder	CommonUse	Remark	Name	Desc	ShortDesc	SpecialDesc	KungfuDesc	HelpDesc	IsShowInNewSkill	CanDrag	SkillRelyOnShow	SkillRelyOnNotShow	IsShowNotLearn	IsHotkeyExitWhenForget	Buff	Debuff	BlackList	SimpleDesc	AutoSelectTarget	Decoration	nInterruptIcon	nOTActionShowType	bShowLevel
228	1	1515	1	1	0	0	0	6		(228) 太阴指	太阴指	门派轻功，恢复5点墨意。解除自身控制效果并向后疾退，移动速度提高30%，持续8秒，并对周围8尺内的目标造成<SUB 497 0>混元性内功伤害并锁足3秒，若这些目标处于骑乘状态，则将其击落马下。<TALENT 16857 1 受到伤害导致自身气血值低于40%，立刻重置“太阴指”“星楼月影”调息时间，该效果最多60秒触发一次><TALENT 18268 1 变为2层充能技能，充能时间17秒，但无法被“春泥护花”重置调息时间><TALENT 6684 1 调息时间降低5秒，解除自身减速、锁足效果并使命中目标锁足3秒><TALENT 5763 1 锁足范围内目标3秒><TALENT 6685 1 受到的伤害降低30%，持续8秒><TALENT 13982 1 使自身免疫控制效果，持续4秒><TALENT 34331 1 “太阴指”变为2层充能技能，充能时间17秒，但无法被“春泥护花”重置调息时间。施展“太阴指”后，受到的伤害降低40%，持续8秒>	混元性内功伤害：提高到<SUB 497 0>。	内舍于胃，外在肌肉，其气主体重。		生存技，在需要避开近战敌人的攻击时使用效果最佳。	1	1			1					生存技，提供位移及减伤，控制路径上目标。	0				
497	0	13	1	1	0	0	0	1		(497) 玉石俱焚_效果	太阴指	<SKILL NeutralDamage>点(+<SKILLEx {D0} {SkillNeutralAP}>)					1	1			1						0				
1645	0	2375	1	1	0	0	0	6		(1645) 风来吴山	风来吴山	消耗50点剑气，发动旋风般的重剑攻击，5秒内对周围10尺内的最多10个目标造成8次<SUB 1905 0>外功伤害附加200%武器伤害。在此过程中获得“不工”效果：<BUFF 1856 1 desc>。<TALENT 5956 1 变为2层透支招式，透支充能时间1分20秒，持续时间降低1.5秒，只能攻击3个目标，攻击频率提高33%><TALENT 5963 1 连续命中目标5次后则会将目标武器卷飞，使目标无法使用武器，持续2秒><TALENT 5957 1 伤害提高10%><TALENT 14600 1 会心几率提高10%，会心效果提高10%><TALENT 6542 1 在地面施展“风来吴山”时，每命中一个目标减少5秒调息时间并恢复自身3%气血最大值，该效果最多作用6次。若施展时周围20尺内敌对侠士目标少于等于5人，该效果可额外作用4次><TALENT 6548 1 不再消耗剑气，每命中一个目标回复5点剑气并使目标移动速度降低30%，持续5秒。该效果每累计回复10点剑气，可使下一次施展其余“灵峰剑式”伤害提高30%，该效果最多叠加4层，持续9秒><TALENT 2756 1 使周围目标多承受2次伤害><TALENT 2756 2 使周围目标多承受4次伤害><TALENT 18683 1 每施展招式成功定身、眩晕目标，“风来吴山”调息时间降低3秒><TALENT 2756 2 使周围目标多承受4次伤害><EnchantID 10104 “风来吴山”若命中单一目标则使下一跳伤害提高5%>	外功伤害：提高到<SUB 1905 0>。	瑞云深处碧玲珑，吴山斜出锦屏风。		攻击技，在与多名近战敌人进行战斗时使用效果最佳。	1	1			1	1				攻击技，消耗剑气，连续对自身周围敌对目标造成大量伤害。	0				
1905	0	13	1	1	0	0	0	1		(1905) 藏剑_风吴来山_伤害	风来吴山	<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)					1	1			1						0				
2285	0	13	1	1	0	0	0	1		(2285) 法王窟_智慧王_藏剑·风来巫山	风来吴山	风来吴山					1										0				
2368	0	13	1	1	0	0	0	1		(2368) 寂灭厅_1号BOSS_藏·剑邪鸠_风来吴山	风来吴山	测试技能					1										0				
3685	1	13	1	1	0	0	0	1		(3685) 烛龙殿_藏剑_风来吴山	风来吴山	测试技能					1										0				
4337	1	13	1	1	0	0	0	1		(4337) 小橙武BOSS_藏剑_风来	风来吴山	测试技能					1										0				
7635	1	13	1	1	0	0	0	1		(7635) 帮会约战_藏剑_风来吴山	风来吴山	测试技能					1	1			1						0				
7788	1	3320	1	1	0	0	0	1		(7788) 大战郭萌萌_蹑云	蹑云逐月	向前突进一段距离。					1	1			1						0				
7956	1	1490	1	1	0	0	0	1		(7956) 安史之乱_大战令狐伤_蹑云逐月	蹑云逐月	向前冲刺一段距离					1	1			1						0				
8952	1	4235	1	1	0	0	0	1		(8952) 墨家密殿_三号_前冲母	蹑云逐月	蹑云逐月					1	1			1						0				
9003	0	1490	1	1	0	0	0	9		(9003) 蹑云逐月	蹑云逐月	江湖轻功，解除被击僵直，向前冲刺一段距离。冲刺过程中不受招式控制。<KUNGFU 10080 1 施展后自身免疫被击僵直效果，持续4秒><KUNGFU 10448 1 施展后自身免疫被击僵直效果，持续4秒><KUNGFU 10028 1 施展后自身免疫被击僵直效果，持续4秒><KUNGFU 10176 1 施展后自身免疫被击僵直效果，持续4秒>					1	1			1						0				
9003	1	1490	1	1	0	0	0	9		(9003) 蹑云逐月	蹑云逐月	江湖轻功，解除被击僵直，向前冲刺一段距离，持续4秒。冲刺过程中不受招式控制。<KUNGFU 10080 1 施展后自身免疫被击僵直效果，持续4秒><KUNGFU 10448 1 施展后自身免疫被击僵直效果，持续4秒><KUNGFU 10028 1 施展后自身免疫被击僵直效果，持续4秒><KUNGFU 10176 1 施展后自身免疫被击僵直效果，持续4秒>					1	1			1						0				
9433	1	2186	1	1	0	0	0	1		(9433) 小步高冲刺	真·蹑云逐月	成功施展后将短暂领悟真·降龙十八掌		真·蹑云逐月			1	1			1						0				
13574	1	1490	0	0	0	0	0	1		(13574) 蹑云逐月	蹑云逐月	向前冲刺一段距离。冲刺过程中不受招式控制。					0	0			0						0				
14618	0	13	1	1	0	0	0	1		(14618) 风来吴山有奇穴站立1.3倍伤害	风来吴山	测试技能					1	1			1						0				
14619	0	13	1	1	0	0	0	1		(14619) 风来吴山有奇穴非站立正常伤害	风来吴山	测试技能					1	1			1						0				
18333	0	2375	1	1	0	0	0	6		(18333) 原地风来吴山	风来吴山	消耗50点剑气，挥舞重剑使原地产生剑芒，剑芒持续期间每0.5秒对周围10尺内的最多10个目标造成<SUB 18991 0>外功伤害，伤害每跳递增10%，最多递增5次。同时命中多个玩家时则伤害递减，最多递减50%，共造成16次伤害。<TALENT 5963 1 连续命中目标5次后则会将目标武器卷飞，使目标无法使用武器，持续2秒><TALENT 14600 1 会心几率提高10%，会心效果提高10%><TALENT 6542 1 在地面施展“风来吴山”时，每命中一个目标减少5秒调息时间并恢复自身3%气血最大值，该效果最多作用6次。若施展时周围20尺内敌对侠士目标少于等于5人，该效果可额外作用4次><TALENT 6548 1 不再消耗剑气，每命中一个目标回复5点剑气并使目标移动速度降低30%，持续5秒。该效果每累计回复10点剑气，可使下一次施展其余“灵峰剑式”伤害提高30%，该效果最多叠加4层，持续9秒><TALENT 2756 1 使周围目标多承受2次伤害><TALENT 2756 2 使周围目标多承受4次伤害><EnchantID 10104 “风来吴山”若命中单一目标则使下一跳伤害提高5%><TALENT 5957 1 伤害提高10%><TALENT 18683 1 每施展招式成功定身、眩晕目标，“风来吴山”调息时间降低3秒>	外功伤害：提高到<SUB 1905 0>。	瑞云深处碧玲珑，吴山斜出锦屏风。		攻击技，在与多名近战敌人进行战斗时使用效果最佳。	1	1			1	1			0	攻击技，消耗剑气在原地产生剑芒，剑芒持续期间对周围多个地方目标造成大量伤害。	0				
18334	0	13	1	1	0	0	0	1		(18334) 原地风来吴山AOE实际伤害	风来吴山	<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)					1	1			1				0		0				
18411	0	13	1	1	0	0	0	1		(18411) 原地风车伤害增强	风来吴山	测试技能					1	1			1				0		0				
18991	0	13	1	1	0	0	0	1		(18991) 原地风来吴山究极普通伤害	风来吴山	<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)					1	1			1				0		0				
18992	0	13	1	1	0	0	0	1		(18992) 原地风来吴山究极加成伤害	风来吴山	测试技能					1	1			1				0		0				
20788	0	1490	1	1	0	0	0	1		(20788) 通用空中冲刺	蹑云逐月	按下按键进入高速冲刺，冲刺期间持续扣除气力值。					0	1			0				0		0				
20789	0	1490	1	1	0	0	0	1		(20789) 通用空中冲刺二段	蹑云逐月·滞	停止冲刺状态。					0	0			1				0		0				
23109	0	13	1	1	0	0	0	1		(23109) 杨程_风来吴山	风来吴山	测试技能					1	1			1				0						
24927	1	0	1	1	0	0	0	1		(24927) 藏剑弟子_风来吴山	风来吴山	风来吴山					1	1			1				0						
25402	1	0	1	1	0	0	0	1		(25402) 藏剑弟子范围AOE	风来吴山	测试技能					1	1			1				0						
25479	1	0	1	1	0	0	0	1		(25479) 风来吴山	风来吴山·麒麟	测试技能					1	1			1				0						
25583	1	2375	1	1	0	0	0	1		(25583) 叶蒙释放技能01	风来吴山·麒麟	风来吴山，麒麟之力。					1	1			1				0						
27849	0	2375	1	1	0	0	0	1		(27849) 风来吴山	伪传·风来吴山	发动旋风般的重剑攻击，5秒内对周围10尺内的最多10个目标造成共计8次伤害。\n在此过程中你无法跳跃，不受控制招式影响（被拉除外）。					1	1			1				0						
27849	1	0	1	1	0	0	0	1		(27849) 风来吴山	伪传·风来吴山	测试技能					1	1			1				0						
27967	1	2375	1	1	0	0	0	1		(27967) 道具_风来吴山	伪传·风来吴山	发动旋风般的重剑攻击，5秒内对周围10尺内的最多10个目标造成共计8次伤害。\n在此过程中你无法跳跃，不受控制招式影响（被拉除外）。					1	1			1				0	群体伤害技。					
28038	1	0	1	1	0	0	0	1		(28038) 叶镜池风来吴山	风来吴山	测试技能					1	1			1				0						
34269	1	0	1	1	0	0	0	1		(34269) 凤妞_风来吴山	风来吴山	测试技能					1	1			1				0						
34660	1	0	1	1	0	0	0	1		(34660) 凤妞_风来吴山释放技能	风来吴山	测试技能					1	1			1				0						
37378	0	0	1	1	0	0	0	1		(37378) 蓄力小风车	乘风·风来吴山	测试技能					1	1			1				0						
37379	0	0	1	1	0	0	0	1		(37379) 山岳小风车伤害	乘风·风来吴山	乘风·风来吴山					1	1			1				0						
37682	0	1490	1	1	0	0	0	1		(37682) 绝境·蹑云逐月	绝境·蹑云逐月	江湖轻功，解除被击僵直，向前冲刺一段距离。冲刺过程中不受招式控制。					1	1			1				0						
