attribute	chinese_label	in_Attribute_txt	in_Buff_tab	in_engine_enum	GeneratedBase	GeneratedMagic	PreviewBase	PreviewMagic	HorseBase	HorseMagic	buff_ui_context	buff_tab_refs
atInvalid		Y		Y								0
atActiveThreatCoefficient	招式产生威胁	Y	Y	Y		招式产生威胁{D1<0?降低~D1/(-1024)*100#1:提高~D1/1024*100#1}%		招式产生威胁{D3>0?提高~D3/1024*100#1:降低~D3/(-1024)*100#1}%	招式产生威胁{D1>0?提高~D1/1024*100#1:降低~D1/(-1024)*100#1}%	招式产生威胁{D3>0?提高~D3/1024*100#1:降低~D3/(-1024)*100#1}%		414
atAddHorseSprintPowerCost	马术气力值每秒消耗速度降低	Y	Y	Y		马术气力值每秒消耗速度降低{-D0/19*3}点		马术气力值每秒消耗速度降低{D0=D1?-D0/19*3:-D0/19*3~\-~-D1/19*3}点		马术气力值每秒消耗速度降低{-D0/19*3}点		9
atAddHorseSprintPowerMax	马术气力值上限提高	Y	Y	Y		马术气力值上限提高{D0/100}点		马术气力值上限提高{D0=D1?D0/100:D0/100~\-~D1/100}点		马术气力值上限提高{D0/100}点		2
atAddHorseSprintPowerRevive	马术气力值每秒恢复速度提高	Y	Y	Y		马术气力值每秒恢复速度提高{D0/20*3}点		马术气力值每秒恢复速度提高{D0=D1?D0/20*3:D0/20*3~\-~D1/20*3}点		马术气力值每秒恢复速度提高{D0/20*3}点		19
atAddSprintPowerCost	气力值每秒消耗速度降低	Y	Y	Y		气力值每秒消耗速度降低{-D0/19*3}点		气力值每秒消耗速度降低{D0=D1?-D0/19*3:-D0/19*3~\-~-D1/19*3}点		气力值每秒消耗速度降低{-D0/19*3}点		35
atAddSprintPowerMax	气力值上限提高	Y	Y	Y		气力值上限提高{D0/100}点		气力值上限提高{D0=D1?D0/100:D0/100~\-~D1/100}点		气力值上限提高{D0/100}点		8
atAddSprintPowerRevive	气力值每秒恢复速度提高	Y	Y	Y		气力值每秒恢复速度提高{D0/20*3}点		气力值每秒恢复速度提高{D0=D1?D0/20*3:D0/20*3~\-~D1/20*3}点		气力值每秒恢复速度提高{D0/20*3}点		60
atAdjustProfessionLevel	烹饪技艺等级提高	Y		Y		烹饪技艺等级提高{D1}级		烹饪技艺等级提高{D1=D2?D1:D1~\-~D2}级				0
atAgilityBase	身法提高	Y	Y	Y		身法提高{D0}		身法提高{D0=D1?D0:D0~\-~D1}			身法提高	226
atAgilityBasePercentAdd	身法提高	Y	Y	Y		身法提高{D0/1024*100}%		身法提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%				42
atAllTypeCriticalDamagePowerBase	全会心效果等级提高	Y	Y	Y	全会心效果等级提高{D0}	全会心效果等级提高{D0}	全会心效果等级提高{D0=D1?D0:D0~\-~D1}	全会心效果等级提高{D0=D1?D0:D0~\-~D1}				56
atAllTypeCriticalStrike	全会心等级提高	Y	Y	Y	全会心等级提高{D0}	全会心等级提高{D0}	全会心等级提高{D0=D1?D0:D0~\-~D1}	全会心等级提高{D0=D1?D0:D0~\-~D1}			会心等级提高	477
atAllTypeHitValue	全命中等级提高	Y	Y	Y		全命中等级提高{D0}		全命中等级提高{D0=D1?D0:D0~\-~D1}				35
atBasePotentialAdd	全属性提高	Y	Y	Y		全属性提高{D0}点		全属性提高{D0=D1?D0:D0~\-~D1}点			全属性提高	271
atBeTherapyCoefficient	被治疗效果提高	Y	Y	Y		被治疗效果提高{D0/1024*100}%		被治疗效果提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%			被治疗的成效降低	717
atCurrentLife	恢复当前气血	Y	Y	Y		恢复当前气血{D0}		恢复当前气血{D0=D1?D0:D0~\-~D1}			没3秒受到	22
atCurrentMana	恢复当前内力	Y	Y	Y		恢复当前内力{D0}		恢复当前内力{D0=D1?D0:D0~\-~D1}			rapy>点，内力值恢复	71
atCurrentStamina	恢复当前体力	Y		Y		恢复当前体力{D0}		恢复当前体力{D0=D1?D0:D0~\-~D1}				0
atDamageToLifeForSelf	偷取目标所受伤害	Y	Y	Y		偷取目标所受伤害{D0}%的气血		偷取目标所受伤害{D0=D1?D0:D0~\-~D1}%的气血			造成伤害的	56
atDamageToManaForSelf	命中后偷取目标所受伤害	Y	Y	Y		命中后偷取目标所受伤害{D0}%的内力		命中后偷取目标所受伤害{D0=D1?D0:D0~\-~D1}%的内力				26
atDecriticalDamagePowerBase	化劲等级提高	Y	Y	Y		化劲等级提高{D0}		化劲等级提高{D0=D1?D0:D0~\-~D1}			ase>点，化劲等级提高	161
atDecriticalDamagePowerPercent	化劲等级修正值提高	Y	Y	Y		化劲等级修正值提高{D0}		化劲等级修正值提高提高{D0=D1?D0:D0~\-~D1}				88
atDivingFrameBase	水下呼吸时间提高	Y	Y	Y		水下呼吸时间提高{D0/16}秒		水下呼吸时间提高{D0=D1?D0/16:D0/16~\-~D1/16}秒				24
atDodge	闪避等级提高	Y	Y	Y		闪避等级提高{D0}		闪避等级提高{D0=D1?D0:D0~\-~D1}			闪避等级提高	88
atDropDefence	抗摔系数提高	Y	Y	Y		抗摔系数提高{D0}点		抗摔系数提高{D0=D1?D0:D0~\-~D1}点	抗摔系数提高{D0}点	抗摔系数提高{D0}点		349
atEnableDoubleRide		Y		Y		{D0=0?不可:可}双人同骑		{D0=0?不可:可}双人同骑		{D0=0?不可:可}双人同骑		0
atGlobalResistPercent	受到的所有伤害降低	Y	Y	Y		受到的所有伤害降低{D0/1024*100}%		受到的所有伤害降低{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%			使其受到伤害降低	1164
atHasteBase	加速等级提高	Y	Y	Y		加速等级提高{D0}		加速等级提高{D0=D1?D0:D0~\-~D1}			急速值提高	112
atHorseCanSwim		Y	Y	Y		{D0=1?可:不可}载人凫水		{D0=1?可:不可}载人凫水	{D0=1?可:不可}载人凫水	{D0=1?可:不可}载人凫水		30
atLifeReplenishExt	每秒气血恢复提升	Y	Y	Y		每秒气血恢复提升{D0}		每秒气血恢复提升{D0=D1?D0:D0~\-~D1}			点，每秒恢复的气血值提高	66
atLifeReplenishPercent	每秒气血恢复提升	Y	Y	Y		每秒气血恢复提升{D0}成		每秒气血恢复提升{D0=D1?D0:D0~\-~D1}成			每秒恢复的气血值提高	234
atLunarAttackPowerBase	阴性内功攻击增加	Y	Y	Y		阴性内功攻击增加{D0}		阴性内功攻击增加{D0=D1?D0:D0~\-~D1}			阴性内功攻击提高	159
atLunarCriticalDamagePowerBase	阴性内功会心效果等级提高	Y		Y		阴性内功会心效果等级提高{D0}		阴性内功会心效果等级提高{D0=D1?D0:D0~\-~D1}				0
atLunarCriticalDamagePowerPercent	阴性内功会心效果等级修正值提高	Y		Y		阴性内功会心效果等级修正值提高{D0}		阴性内功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}				0
atLunarCriticalStrike	阴性内功会心等级提高	Y	Y	Y		阴性内功会心等级提高{D0}		阴性内功会心等级提高{D0=D1?D0:D0~\-~D1}				1
atLunarCriticalStrikeBaseRate	阴性内功会心几率提高	Y	Y	Y		阴性内功会心几率提高{D0/100}%		阴性内功会心几率提高{D0=D1?D0/100:D0/100~\-~D1/100}%				193
atLunarHitValue	阴性内功命中等级提高	Y	Y	Y		阴性内功命中等级提高{D0}		阴性内功命中等级提高{D0=D1?D0:D0~\-~D1}			命中等级提高	4
atLunarMagicShieldBase	阴性内功防御等级提高	Y	Y	Y		阴性内功防御等级提高{D0}		阴性内功防御等级提高{D0=D1?D0:D0~\-~D1}			阴性内功防御等级提高	85
atLunarOvercomeBase	阴性内功破防等级提高	Y	Y	Y		阴性内功破防等级提高{D0}		阴性内功破防等级提高{D0=D1?D0:D0~\-~D1}				16
atMagicAttackPowerBase	内功攻击提高	Y	Y	Y		内功攻击提高{D0}		内功攻击提高{D0=D1?D0:D0~\-~D1}			内功攻击提高	500
atMagicCriticalDamagePowerBase	内功会心效果等级提高	Y	Y	Y		内功会心效果等级提高{D0}		内功会心效果等级提高{D0=D1?D0:D0~\-~D1}			内功会心效果等级提高	15
atMagicCriticalDamagePowerPercent	内功会心效果等级修正值提高	Y	Y	Y		内功会心效果等级修正值提高{D0}		内功会心效果等级修正值提高{D0=D1?D0:D0~\-~D1}				1
atMagicCriticalStrike	内功会心等级提高	Y	Y	Y		内功会心等级提高{D0}		内功会心等级提高{D0=D1?D0:D0~\-~D1}			内功会心等级提高	73
atMagicHitValue	内功命中等级提高	Y	Y	Y		内功命中等级提高{D0}		内功命中等级提高{D0=D1?D0:D0~\-~D1}				1
