ID	IsNormal	GeneratedBase	GeneratedMagic	PreviewBase	PreviewMagic	HorseBase	HorseMagic	StrengthValue	IsMobile
atInvalid								{D2-D0}	0
atActiveThreatCoefficient			<text>text="招式产生威胁{D1<0?降低~D1/(-1024)*100#1:提高~D1/1024*100#1}%" font=105 </text>		<text>text="招式产生威胁{D3>0?提高~D3/1024*100#1:降低~D3/(-1024)*100#1}%" font=105 </text>	<text>text="招式产生威胁{D1>0?提高~D1/1024*100#1:降低~D1/(-1024)*100#1}%" font=105 </text>	<text>text="招式产生威胁{D3>0?提高~D3/1024*100#1:降低~D3/(-1024)*100#1}%" font=105 </text>	{D4=1?D3/1024*100#1:(D3-D1)/1024*100#1}%	0
atAddHorseSprintPowerCost			<text>text="马术气力值每秒消耗速度降低{-D0/19*3}点" font=105 </text>		<text>text="马术气力值每秒消耗速度降低{D0=D1?-D0/19*3:-D0/19*3~\-~-D1/19*3}点" font=105 </text>		<text>text="马术气力值每秒消耗速度降低{-D0/19*3}点" font=105 </text>		0
atAddHorseSprintPowerMax			<text>text="马术气力值上限提高{D0/100}点" font=105 </text>		<text>text="马术气力值上限提高{D0=D1?D0/100:D0/100~\-~D1/100}点" font=105 </text>		<text>text="马术气力值上限提高{D0/100}点" font=105 </text>		0
atAddHorseSprintPowerRevive			<text>text="马术气力值每秒恢复速度提高{D0/20*3}点" font=105 </text>		<text>text="马术气力值每秒恢复速度提高{D0=D1?D0/20*3:D0/20*3~\-~D1/20*3}点" font=105 </text>		<text>text="马术气力值每秒恢复速度提高{D0/20*3}点" font=105 </text>		0
atAddSprintPowerCost			<text>text="气力值每秒消耗速度降低{-D0/19*3}点" font=105 </text>		<text>text="气力值每秒消耗速度降低{D0=D1?-D0/19*3:-D0/19*3~\-~-D1/19*3}点" font=105 </text>		<text>text="气力值每秒消耗速度降低{-D0/19*3}点" font=105 </text>		0
atAddSprintPowerMax			<text>text="气力值上限提高{D0/100}点" font=105 </text>		<text>text="气力值上限提高{D0=D1?D0/100:D0/100~\-~D1/100}点" font=105 </text>		<text>text="气力值上限提高{D0/100}点" font=105 </text>		0
atAddSprintPowerRevive			<text>text="气力值每秒恢复速度提高{D0/20*3}点" font=105 </text>		<text>text="气力值每秒恢复速度提高{D0=D1?D0/20*3:D0/20*3~\-~D1/20*3}点" font=105 </text>		<text>text="气力值每秒恢复速度提高{D0/20*3}点" font=105 </text>		0
atAdjustProfessionLevel			<text>text="烹饪技艺等级提高{D1}级" font=106 </text>		<text>text="烹饪技艺等级提高{D1=D2?D1:D1~\-~D2}级" font=106 </text>				0
atAgilityBase	1		<text>text="身法提高{D0}" font=106 </text>		<text>text="身法提高{D0=D1?D0:D0~\-~D1}" font=106 </text>				0
atAgilityBasePercentAdd			<text>text="身法提高{D0/1024*100}%" font=105 </text>		<text>text="身法提高{D0=D1?D0/1024*100:D0/1024*100~\-~D1/1024*100}%" font=105 </text>				0
