attribute	count
atExecuteScript	13451
atImmunity	2800
atMoveSpeedPercent	2690
atSkillEventHandler	2100
atCallPhysicsDamage	1966
atSilence	1553
atMeleeWeaponDamageBase	1491
atCallPoisonDamage	1428
atSetTalentRecipe	1426
atHalt	1405
atCallLunarDamage	1381
atSilenceAll	1376
atPhysicsDamageCoefficient	1262
atMaxJumpCount	1215
atDisableSprintFlag	1180
atGlobalResistPercent	1164
atLunarDamageCoefficient	1127
atSolarDamageCoefficient	1124
atAllDamageAddPercent	1105
atPoisonDamageCoefficient	1032
atNeutralDamageCoefficient	1030
atNoLimitChangeSkillIcon	1030
atCallTherapy	973
atCallSolarDamage	876
atDisableMoveCtrl	843
atGlobalDamageAbsorb	749
atSkillPhysicsDamagePercent	722
atBeTherapyCoefficient	717
atPhysicsAttackPowerPercent	714
atPhysicsAttackPowerBase	705
atFreeze	695
atCallBuff	683
atMaxLifePercentAdd	673
atMaxLifeBase	611
atImmuneSkillMove	574
atKnockedDownRate	556
atPullRate	550
atPhysicsShieldBase	537
atCallSubBuff	505
atMagicAttackPowerBase	500
atMagicAttackPowerPercent	499
atMaxLifeAdditional	485
atNegativeShield	483
atEntrap	482
atAllTypeCriticalStrike	477
atMagicShield	461
atRepulsedRate	454
atCastSkillTargetDst	443
atVitalityBase	435
atPrinkModel	429
atActiveThreatCoefficient	414
atKnockedBackRate	412
atTherapyPowerBase	385
atFinalMaxLifeAddPercent	380
atDropDefence	349
atPhysicsCriticalStrikeBaseRate	335
atCallNeutralDamage	334
atSkillSolarDamagePercent	333
atPhysicsShieldAdditional	321
atStrengthBase	306
atAddReputationPercent	304
atSkillLunarDamagePercent	285
atGlobalBlock	272
atBasePotentialAdd	271
atSpiritBase	271
atSkillNeutralDamagePercent	265
atPoisonMagicReflectionPercent	258
atSkillPoisonDamagePercent	243
atCastSkill	237
atAddTransparencyValue	235
atLifeReplenishPercent	234
atGlobalTherapyAbsorb	231
atJumpSpeedBase	230
atSpunkBase	227
atAgilityBase	226
atGravityBase	225
atAddExpPercent	224
atNeutralMagicReflectionPercent	223
atLunarMagicReflectionPercent	222
atGlobalDamageAbsorbBySelfMaxLife	221
atSolarMagicReflectionPercent	221
atLunarAttackPowerPercent	216
atAllTypeAttackPowerBase	214
atPhysicsReflectionPercent	214
atPhysicsShieldPercent	214
atEmployerCastSkillTargetSelf	210
atNeutralAttackPowerPercent	201
atPoisonAttackPowerPercent	201
atLunarCriticalStrikeBaseRate	193
atStealth	193
atNeutralCriticalStrikeBaseRate	190
atSolarAttackPowerPercent	184
atKnockedOffRate	182
atFormationEffect	179
atTransmission	175
atStrainBase	174
atAllTypeOvercomeBase	168
atPoisonCriticalStrikeBaseRate	167
atSolarCriticalStrikeBaseRate	166
atDecriticalDamagePowerBase	161
atImmortal	161
atDodgeBaseRate	159
atLunarAttackPowerBase	159
atSurplusValueBase	159
atDisarm	156
atRangeWeaponDamageBase	151
atRideHorse	151
atLunarMagicResistPercent	145
atSolarMagicResistPercent	136
atPoisonMagicResistPercent	135
atNeutralMagicResistPercent	134
atPhysicsOvercomePercent	129
atPhysicsCriticalDamagePowerBaseKiloNumRate	128
atToughnessBase	124
atGlobalDamageFactor	122
atManaReplenishPercent	121
atPhysicsOvercomeBase	121
atSetPlayerUncontrollable	118
atDirectCastMask	117
atModifyCostManaPercent	116
atBuffFunctionDecay	114
atHasteBase	112
atLunarMagicShieldPercent	110
atParryValueBase	110
atSolarMagicShieldPercent	110
atNeutralMagicShieldPercent	109
atClearCoolDown	108
atPhysicsResistPercent	107
atPoisonMagicShieldPercent	106
atTherapyPowerPercent	106
atImmunityBeatBreak	104
atPhysicsDamageAbsorb	103
atNeutralAttackPowerBase	101
atMeleeWeaponDamagePercent	99
atMagicCriticalDamagePowerBaseKiloNumRate	98
atMagicOvercome	96
atSolarOvercomePercent	95
atExecuteScriptWithParam	94
atIgnoreGravity	91
atLunarDamageAbsorb	91
atBeatBackRate	90
atAddGlobalAbsorbShieldRecordOnly	89
atDstNpcDamageCoefficient	89
atDecriticalDamagePowerPercent	88
atDodge	88
atPrinkForce	87
atUnlimitHasteBasePercentAdd	87
atPoisonOvercomePercent	86
atLunarMagicShieldBase	85
atNeutralOvercomePercent	85
atLunarOvercomePercent	82
atSkillPhysicsDamage	82
atRunSpeedBase	81
atSkillMove	81
atMaxRunSpeed	80
atParryBase	80
atLifeReplenish	79
atPoisonAttackPowerBase	79
atTopThreat	78
atPhysicsHitBaseRate	77
atPoisonDamageAbsorb	76
atManaReplenishExt	75
atMagicCriticalStrike	73
atCurrentMana	71
atNeutralDamageAbsorb	70
atPhysicsCriticalStrike	70
atSetSelectableType	70
atSolarDamageAbsorb	69
atAllShieldIgnorePercent	66
atLifeReplenishExt	66
atPositiveShield	66
atInvalidPassiveSkill	62
atMaxTrainValue	62
atAddSprintPowerRevive	60
atPoisonMagicShieldBase	60
atSolarAttackPowerBase	60
atSolarMagicShieldBase	59
atHasteBasePercentAdd	58
atLunarHitBaseRate	58
atNeutralHitBaseRate	58
atPoisonHitBaseRate	58
atSolarHitBaseRate	58
atVitalityBasePercentAdd	57
atAllTypeCriticalDamagePowerBase	56
atDamageToLifeForSelf	56
atGravityPercent	56
atNeutralMagicShieldBase	55
atGamePlayDamageFinalCof	54
atIgnoreOtherAlarmRange	54
atSpiritBasePercentAdd	53
atStrainRate	53
atChangeSkillIcon	52
atAccumulate	51
atAddPrestigePercentForAll	50
atCastSkillTargetSrc	50
atStrainPercent	50
atTransferDamage	50
atGlobalDamageAbsorbBySelfSpirit	47
atPhysicsHitValue	47
atTherapyCoefficient	46
atDisableRevive	45
atMaxManaAdditional	45
atAllPhysicsDamageAddPercent	43
atSkillMagicDamage	43
atAgilityBasePercentAdd	42
atStrengthBasePercentAdd	42
atGamePlayTherapyFinalCof	39
atGlobalDamageAbsorbBySelfAgility	39
atRangeWeaponDamagePercent	38
atAddGlobalAbsorbShieldRecordOnlyBySelfMaxLife	35
atAddSprintPowerCost	35
atAllTypeHitValue	35
atToughnessBaseRate	35
atAccelerateCDTimer	34
atLockedFace	34
atSpunkBasePercentAdd	33
atWaterFloat	33
atChangePoseState	32
atGlobalTherapyAbsorbBySelfMaxLife	31
atMountingRate	31
atSetHitReduceRate	31
atCallAdaptiveDamage	30
atHorseCanSwim	30
atImmunityCombo	30
atDisableSprintPowerCost	29
atManaReplenish	29
atUnlimitCriticalDamagePowerKiloNumRate	29
atCounterStealth	28
atCounterStealthRange	28
atMaxRage	28
atDamageToManaForSelf	26
atMaxSkillRadiusAdd	26
atMeleeWeaponDamageRandPercent	26
atModifyCostEnergyPercent	26
atSkillTherapyPercent	26
atAllMagicDamageAddPercent	24
atDivingFrameBase	24
atMaxManaBase	23
atModifyCostRagePercent	23
atPoisonOvercomeBase	23
atVitalityToParryValueCof	23
atCurrentLife	22
atReduceAOEDamagePercent	22
atDelSingleBuffByIDAndLevel	21
atDivingFramePercent	21
atVitalityToSolarAttackPowerCof	21
atAddJusticePercent	20
atImmunityComboAll	20
atJumpSpeedPercent	20
atPhysicsReflection	20
atToughnessPercent	20
atAddHorseSprintPowerRevive	19
atDriftFlag	19
atFear	19
atNeutralOvercomeBase	18
atOnParachuteFlag	18
atRangeWeaponDamageRandPercent	18
atVitalityToPhysicsAttackPowerCof	18
atVitalityToPhysicsOverComeCof	18
atCastSkillNoTarget	17
atDisableSpoof	17
atFlyFlag	17
atMaxManaPercentAdd	17
atParryBaseRate	17
atLunarOvercomeBase	16
atPoisonMagicReflection	16
atSolarMagicReflection	16
atVitalityToMagicOverComeCof	16
atLunarMagicReflection	15
atMagicCriticalDamagePowerBase	15
atPhysicsCriticalDamagePowerBase	15
atPreDieExecuteScript	15
atDisableAutoSelect	14
atMagicHitBaseRate	14
atMaxSkillRadiusPercent	14
atAddTrainPercent	13
atCallKnockedDown	13
atNeutralMagicReflection	13
atPhysicsBlock	13
atPhysicsDamageManaShield	13
atWaterFlyAbility	13
atAddContributionPercentForAll	12
atAddDamageByDstMoveState	12
atDamagePercentForSrc	12
atLunarCriticalDamagePowerBaseKiloNumRate	12
atLunarMagicBlock	12
atMeleeWeaponAttackSpeedPercentAdd	12
atMinRunSpeed	12
atModifyCoolDown	12
atPoisonMagicBlock	12
atSurplusValueAddPercent	12
atActivityDamageFinalCof	11
atCopyEffectiveTherapy	11
atDamageAbsorbShieldCoefficient	11
atDamageToSprintPowerForDst	11
