ID=6309 Lv=1 Name=旗渊 Desc=御劲率提高8%
ID=7505 Lv=1 Name=春点 Desc=化劲降低10%
ID=9341 Lv=1 Name=石间意 Desc=御劲率提高9%
ID=9341 Lv=2 Name=石间意 Desc=御劲率提高18%
ID=9341 Lv=3 Name=石间意 Desc=御劲率提高9%
ID=9341 Lv=4 Name=石间意 Desc=御劲率提高18%
ID=11873 Lv=1 Name=穿杨 Desc=化劲等级降低5%
ID=11873 Lv=2 Name=穿杨 Desc=化劲等级降低15%
ID=13924 Lv=1 Name=遥思 Desc=化劲等级降低20%
ID=14980 Lv=1 Name=归清 Desc=御劲提高5%
ID=18031 Lv=1 Name=灵机卸甲 Desc=化劲等级降低10%
ID=20087 Lv=1 Name=青川濯莲 Desc=攻击目标持续回血
ID=20087 Lv=2 Name=青川濯莲 Desc=攻击目标持续回血，御劲率提高20%，化劲等级提高10%
ID=20812 Lv=1 Name=慑服 Desc=御劲率提高5%
ID=21647 Lv=1 Name=炽炎 Desc=每2秒受到一次外功伤害
ID=21647 Lv=2 Name=履冰 Desc=每层降低1%的御劲和化劲等级
ID=21647 Lv=3 Name=空青 Desc=每2秒获得一次治疗效果
ID=21647 Lv=4 Name=空青 Desc=每2秒获得一次治疗效果
ID=21647 Lv=5 Name=空青 Desc=每2秒获得一次治疗效果
ID=22999 Lv=1 Name=履冰 Desc=每层降低1%的御劲率和化劲等级
ID=24168 Lv=1 Name=灭影追风 Desc=自身外功破防等级提高5%，化劲等级降低6%
ID=24168 Lv=2 Name=灭影追风 Desc=自身外功破防等级提高5%，会心几率提高5%，化劲等级降低6%
ID=24168 Lv=3 Name=灭影追风 Desc=自身外功破防等级提高5%，会心几率提高5%，会心效果提高5%，化劲等级降低6%
ID=24168 Lv=4 Name=灭影追风 Desc=自身外功破防等级提高10%，会心几率提高10%，会心效果提高10%，化劲等级降低6%，产生的威胁值降低70%
ID=24168 Lv=5 Name=灭影追风 Desc=自身外功破防等级提高5%，会心几率提高5%，会心效果提高5%，化劲等级降低35%
ID=24168 Lv=6 Name=灭影追风 Desc=自身外功破防等级提高10%，会心几率提高10%，会心效果提高10%，化劲等级降低35%
ID=24168 Lv=7 Name=灭影追风 Desc=自身外功破防等级提高15%，会心几率提高15%，会心效果提高15%，化劲等级降低35%
ID=24168 Lv=8 Name=灭影追风 Desc=自身外功破防等级提高20%，会心几率提高20%，会心效果提高20%，化劲等级降低35%
ID=24185 Lv=1 Name=亘绝 Desc=御劲提高100%
ID=25351 Lv=0 Name=灭影追风 Desc=使自身外功破防等级提高10%，会心及会心效果提高10%，化劲等级降低15%，持续6秒
ID=28807 Lv=1 Name=萌新助威 Desc=隐元会为防止萌新阵营侠士化劲过低，当侠士装分低于本服对抗类平均装分时且自身化劲低于70%时，为侠士增加额外化劲，该效果每层提高1%化劲（该效果不会在竞技场、绝境战场、列星虚境中生效）
ID=30121 Lv=1 Name=蛊神的诅咒 Desc=与除队友外的所有人敌对，无法恢复气力值，免疫摔伤；\n气血提升1800000点；内力值提高120000点；全能等级提高4527；外功基础攻击力提升27000点；内功基础攻击力提升32400点；会心等级提升59311，破防等级提升67787。
ID=33175 Lv=1 Name=积势 Desc=御劲率提高10%
