### JX3ClientX64.exe file offsets 0x0084B280..0x0084D380 (attribute field-name table region)
0x0084B280	ina
0x0084B288	nMaxThew
0x0084B298	dwCharacterAction
0x0084B2B0	nBattleFieldSide
0x0084B2C8	nCurrentTrainValue
0x0084B2E0	nMaxTrainValue
0x0084B2F0	nUsedTrainValue
0x0084B300	nMoveState
0x0084B310	bSprintFlag
0x0084B320	bParkourFlag
0x0084B330	bSlideSprintFlag
0x0084B348	bClientSprintFlag
0x0084B360	nVelocityXY
0x0084B370	nDirectionXY
0x0084B380	nVelocityZ
0x0084B390	nHangVelocityXY
0x0084B3A0	nHangDirectionXY
0x0084B3B8	nSkillMoveVelocityXYCof
0x0084B3D0	nDestX
0x0084B3D8	nDestY
0x0084B3E0	nRunSpeedBase
0x0084B3F0	nMoveSpeedPercent
0x0084B408	nMaxJumpCount
0x0084B418	nNextJumpCount
0x0084B428	nGravity
0x0084B438	nGravityBase
0x0084B448	nGravityPercent
0x0084B458	nJumpSpeedBase
0x0084B468	nJumpSpeedPercent
0x0084B480	nDropDefence
0x0084B490	nDivingCount
0x0084B4A0	nDivingFrame
0x0084B4B0	nDivingFrameBase
0x0084B4C8	nDivingFramePercent
0x0084B4E0	bWaterFlyAbility
0x0084B4F8	nCurrentTrack
0x0084B508	bOnParachuteFlag
0x0084B520	bUseFullAngle
0x0084B530	bLockedFace
0x0084B540	nWalkOnlyCounter
0x0084B558	nCurrentStrength
0x0084B570	nStrengthBase
0x0084B580	nStrengthBasePercentAdd
0x0084B598	nCurrentAgility
0x0084B5A8	nAgilityBase
0x0084B5B8	nAgilityBasePercentAdd
0x0084B5D0	nCurrentVitality
0x0084B5E8	nVitalityBase
0x0084B5F8	nVitalityBasePercentAdd
0x0084B610	nCurrentSpirit
0x0084B620	nSpiritBase
0x0084B630	nSpiritBasePercentAdd
0x0084B648	nCurrentSpunk
0x0084B658	nSpunkBase
0x0084B668	nSpunkBasePercentAdd
0x0084B680	nMaxLifeBase
0x0084B690	nMaxLifePercentAdd
0x0084B6A8	nMaxLifeAdditional
0x0084B6C0	nLifeReplenishCoefficient
0x0084B6E0	nLifeReplenishExt
0x0084B6F8	fMaxLife64
0x0084B708	fCurrentLife64
0x0084B718	nMaxManaBase
0x0084B728	nMaxManaPercentAdd
0x0084B740	nMaxManaAdditional
0x0084B758	nManaReplenishCoefficient
0x0084B778	nManaReplenishExt
0x0084B790	nCurrentRage
0x0084B7A0	nMaxRage
0x0084B7B0	nRageReplenish
0x0084B7C0	nCurrentEnergy
0x0084B7D0	nMaxEnergy
0x0084B7E0	nEnergyReplenish
0x0084B7F8	nSunPowerValue
0x0084B808	nMoonPowerValue
0x0084B818	nCurrentSunEnergy
0x0084B830	nMaxSunEnergy
0x0084B840	nSunEnergyAddPercent
0x0084B858	nSunEnergyReplenish
0x0084B870	nSunEnergyFallOff
0x0084B888	nCurrentMoonEnergy
0x0084B8A0	nMaxMoonEnergy
0x0084B8B0	nMoonEnergyAddPercent
0x0084B8C8	nMoonEnergyReplenish
0x0084B8E0	nMoonEnergyFallOff
0x0084B8F8	nNaturePowerValue
0x0084B910	nMaxNaturePowerGrid
0x0084B928	nArrowNum
0x0084B938	nCurrentQiEnergy
0x0084B950	nMaxQiEnergy
0x0084B960	nQiEnergyReplenish
0x0084B978	nQiEnergyReplenishPercent
0x0084B998	bStopMakeQiControlCancel
0x0084B9B8	nCurrentQiControlCancel
0x0084B9D0	nMaxQiControlCancel
0x0084B9E8	nQiSPByCD
0x0084B9F8	nQiRedSPByCD
0x0084BA08	nCurrentQiRedSP
0x0084BA18	nQiSPByScript
0x0084BA28	nCurrentQiSP
0x0084BA38	nCurrentPosture
0x0084BA48	nDeflect
0x0084BA58	nPostureState
0x0084BA68	nPostureBreakEndFrame
0x0084BA80	nSurplusValue
0x0084BA90	nSurplusPowerValue
0x0084BAA8	nNextSurplusFrame
0x0084BAC0	nPoseState
0x0084BAD0	nDodgeBaseRate
0x0084BAE0	nParryBaseRate
0x0084BAF0	nStrain
0x0084BAF8	nToughnessBaseRate
0x0084BB10	nToughness
0x0084BB20	nDecriticalDamagePowerBaseKiloNumRate
0x0084BB48	nDecriticalDamagePower
0x0084BB60	bFightState
0x0084BB70	bSystemShield
0x0084BB80	bSheathFlag
0x0084BB90	bPositiveShield
0x0084BBA0	nNegativeShield
0x0084BBB0	bMirrorShield
0x0084BBC0	nGlobalBlock
0x0084BBD0	nGlobalDamageManaShield
0x0084BBE8	nDamageToLifeForSelf
0x0084BC00	nDamageToManaForSelf
0x0084BC18	nBeatBackRate
0x0084BC28	nStunStrikeRate
0x0084BC38	nMountingRate
0x0084BC48	nAccumulateValue
0x0084BC60	nPVXAllRound
0x0084BC70	nTherapyPVXCof
0x0084BC80	nKungfuType
0x0084BC90	nAllDamageAddPercent
0x0084BCA8	nUnlimitCriticalDamagePowerKiloNumRate
0x0084BCD0	bControlTransToSlow
0x0084BCE8	bLockTransTherapy
0x0084BD00	nPhysicsAttackPower
0x0084BD18	nSkillPhysicsDamageRand
0x0084BD30	nPhysicsHitValue
0x0084BD48	nPhysicsHitBaseRate
0x0084BD60	nPhysicsCriticalStrikeBaseRate
0x0084BD80	nPhysicsCriticalDamagePowerBaseKiloNumRate
0x0084BDB0	nPhysicsCriticalDamagePower
0x0084BDD0	nPhysicsOvercome
0x0084BDE8	nPhysicsResistPercent
0x0084BE00	nPhysicsShield
0x0084BE10	nPhysicsReflection
0x0084BE28	nPhysicsReflectionPercent
0x0084BE48	nPhysicsDamageManaShield
0x0084BE68	nSolarAttackPower
0x0084BE80	nSolarHitValue
0x0084BE90	nSolarHitBaseRate
0x0084BEA8	nSolarCriticalStrikeBaseRate
0x0084BEC8	nSolarCriticalDamagePowerBaseKiloNumRate
0x0084BEF8	nSolarCriticalDamagePower
0x0084BF18	nSolarOvercome
0x0084BF28	nSolarMagicShield
0x0084BF40	nSolarMagicResistPercent
0x0084BF60	nSolarMagicReflection
0x0084BF78	nSolarMagicReflectionPercent
0x0084BF98	nSolarMagicBlock
0x0084BFB0	nSolarDamageManaShield
0x0084BFC8	nNeutralAttackPower
0x0084BFE0	nNeutralHitValue
0x0084BFF8	nNeutralHitBaseRate
0x0084C010	nNeutralCriticalStrikeBaseRate
0x0084C030	nNeutralCriticalDamagePowerBaseKiloNumRate
0x0084C060	nNeutralCriticalDamagePower
0x0084C080	nNeutralOvercome
0x0084C098	nNeutralMagicShield
0x0084C0B0	nNeutralMagicResistPercent
0x0084C0D0	nNeutralMagicReflection
0x0084C0E8	nNeutralMagicReflectionPercent
0x0084C108	nNeutralMagicBlock
0x0084C120	nNeutralDamageManaShield
0x0084C140	nLunarAttackPower
0x0084C158	nLunarHitValue
0x0084C168	nLunarHitBaseRate
0x0084C180	nLunarCriticalStrikeBaseRate
0x0084C1A0	nLunarCriticalDamagePowerBaseKiloNumRate
0x0084C1D0	nLunarCriticalDamagePower
0x0084C1F0	nLunarOvercome
0x0084C200	nLunarMagicShield
0x0084C218	nLunarMagicResistPercent
0x0084C238	nLunarMagicReflection
0x0084C250	nLunarMagicReflectionPercent
0x0084C270	nLunarMagicBlock
0x0084C288	nLunarDamageManaShield
0x0084C2A0	nPoisonAttackPower
0x0084C2B8	nPoisonHitValue
0x0084C2C8	nPoisonHitBaseRate
0x0084C2E0	nPoisonCriticalStrikeBaseRate
0x0084C300	nPoisonCriticalDamagePowerBaseKiloNumRate
0x0084C330	nPoisonCriticalDamagePower
0x0084C350	nPoisonOvercome
0x0084C360	nPoisonMagicShield
0x0084C378	nPoisonMagicResistPercent
0x0084C398	nPoisonMagicReflection
0x0084C3B0	nPoisonMagicReflectionPercent
0x0084C3D0	nPoisonMagicBlock
0x0084C3E8	nPoisonDamageManaShield
0x0084C400	nTherapyPower
0x0084C410	nSkillTherapy
0x0084C420	nBeTherapyCoefficient
0x0084C438	nOverflowTherapyIntelligentTransferCof
0x0084C460	nNoneWeaponAttackSpeedBase
0x0084C480	nMeleeWeaponAttackSpeed
0x0084C498	nMeleeWeaponAttackSpeedBase
0x0084C4B8	nMeleeWeaponAttackSpeedPercentAdd
0x0084C4E0	nMeleeWeaponAttackSpeedAdditional
0x0084C508	nRangeWeaponAttackSpeed
0x0084C520	nRangeWeaponAttackSpeedBase
0x0084C540	nRangeWeaponAttackSpeedPercentAdd
0x0084C568	nRangeWeaponAttackSpeedAdditional
0x0084C590	dwAIEventSrc
0x0084C5A0	nAIEventParam
0x0084C5B0	nDamageAbsorbValue
0x0084C5C8	nTherapyAbsorbValue
0x0084C5E0	nRechargeableAbsorbShieldValue
0x0084C600	nMaxRechargeableAbsorbShieldValue
0x0084C628	nCurrentHasteRate
0x0084C640	nHasteBase
0x0084C650	nHasteRateBasePercentAdd
0x0084C670	bFreeLimitFlag
0x0084C680	dwRealNameFlag
0x0084C690	nNetBarFreeFlag
0x0084C6A0	bFreeIP
0x0084C6A8	bCampFlag
0x0084C6B8	nCloseCampFlagTime
0x0084C6D0	nCurrentPrestige
0x0084C6E8	dwSystemTeamID
0x0084C6F8	dwAsuraTeamID
0x0084C708	dwBitOPForceID
0x0084C718	dwBitOPSchoolID
0x0084C728	nVipEndTime
0x0084C738	nSuperVipEndTime
0x0084C750	nVipLevel
0x0084C760	nSuperVipLevel
0x0084C770	nYearVipEndTime
0x0084C780	nYearSuperVipEndTime
0x0084C798	dwCubPackageSize
0x0084C7B0	bOnHorse
0x0084C7C0	bHoldHorse
0x0084C7D0	bRefuseTeamInvite
0x0084C7E8	nMibaoMode
0x0084C7F8	nActivityAward
0x0084C808	nBonus
0x0084C810	nVigor
0x0084C818	nMentorAward
0x0084C828	nArchitecture
0x0084C838	nWaistPendentBoxSize
0x0084C850	nBackPendentBoxSize
0x0084C868	nFacePendentBoxSize
0x0084C880	nLShoulderPendentBoxSize
0x0084C8A0	nRShoulderPendentBoxSize
0x0084C8C0	nBackCloakPendentBoxSize
0x0084C8E0	nBagPendentBoxSize
0x0084C8F8	nGlassesPendentBoxSize
0x0084C910	dwWaistItemIndex
0x0084C928	dwBackItemIndex
0x0084C938	dwFaceItemIndex
0x0084C948	dwLShoulderItemIndex
0x0084C960	dwRShoulderItemIndex
0x0084C978	dwBackCloakItemIndex
0x0084C990	dwBagItemIndex
0x0084C9A0	dwGlassesItemIndex
0x0084C9B8	dwFormationEffectID
0x0084C9D0	nFormationEffectLevel
0x0084C9E8	dwMentorFormationEffectID
0x0084CA08	nMentorFormationEffectLevel
0x0084CA28	bHideBackCloakSprintSFX
0x0084CA40	nCurrentKillPoint
0x0084CA58	bHuntingFlag
0x0084CA68	bHunterQualification
0x0084CA80	bOnlyReviveInSitu
0x0084CA98	bCannotDialogWithNPC
0x0084CAB0	bRedName
0x0084CAC0	dwKillCount
0x0084CAD0	dwBestAssistKilledCount
0x0084CAE8	nAccContinuousLoginCount
0x0084CB08	bContinuousLoginRewardFlag
0x0084CB28	nChannel
0x0084CB38	bSwitchSkillPlatform
0x0084CB50	nMaxApprenticeNum
0x0084CB68	nAcquiredMentorValue
0x0084CB80	nLastEvokeMentorTime
0x0084CB98	nEvokeMentorCount
0x0084CBB0	nDirectApprenticeEndTime
0x0084CBD0	bCanBeDirectApprentice
0x0084CBE8	bBeDirectMentor
0x0084CBF8	nUsableMentorValue
0x0084CC10	dwTAEquipsScore
0x0084CC20	dwAccumulativeTAES
0x0084CC38	bBigSwordSelected
0x0084CC50	bCanUseBigSword
0x0084CC60	nDisableAutoSelectCount
0x0084CC78	nDisableMoveCtrlCounter
0x0084CC90	nMoveFrameCounter
0x0084CCA8	nSpiritToManaReplenishCof
0x0084CCC8	nSpunkToManaReplenishCof
0x0084CCE8	nRankPoint
0x0084CCF4	nTitle
0x0084CD00	bCDTimerPause
0x0084CD10	nBuffPauseCDEndFrame
0x0084CD28	nSlayKillCount
0x0084CD38	dwFellowPetID
0x0084CD48	dwTrapID
0x0084CD58	dwBatteryID
0x0084CD68	dwPuppetSkinID
0x0084CD78	nNextBeastPetIndex
0x0084CD90	bIsBankPasswordVerified
0x0084CDA8	bIsFirstWebPhoneVerified
0x0084CDC8	nBankPasswordResetEndTime
0x0084CDE8	bBankPasswordExist
0x0084CE00	nBankPasswordQuestionID
0x0084CE18	nAccountSecurityState
0x0084CE30	nBanEndTime
0x0084CE40	nBanShowCardOperateEndTime
0x0084CE60	nSprintPower
0x0084CE70	nSprintPowerCost
0x0084CE88	nSprintPowerRevive
0x0084CEA0	nSprintPowerMax
0x0084CEB0	nHorseSprintPower
0x0084CEC8	nHorseSprintPowerCost
0x0084CEE0	nHorseSprintPowerRevive
0x0084CEF8	nHorseSprintPowerMax
0x0084CF10	nFlyFlag
0x0084CF20	nJumpCount
0x0084CF30	bIgnoreGravity
0x0084CF40	bHangFlag
0x0084CF50	bOnTowerFlag
0x0084CF60	nDisableSprintPowerCost
0x0084CF78	dwSkillMoveID
0x0084CF88	nMinRunSpeed
0x0084CF98	nMaxRunSpeed
0x0084CFA8	nDisableSprintFlag
0x0084CFC0	nApplyExteriorFlag
0x0084CFD8	bBirdMove
0x0084CFE8	bIsolated
0x0084CFF8	nPhysicsAttackPowerBase
0x0084D010	nSolarAttackPowerBase
0x0084D028	nNeutralAttackPowerBase
0x0084D040	nLunarAttackPowerBase
0x0084D058	nPoisonAttackPowerBase
0x0084D070	nSolarMagicShieldBase
0x0084D088	nNeutralMagicShieldBase
0x0084D0A0	nLunarMagicShieldBase
0x0084D0B8	nPoisonMagicShieldBase
0x0084D0D0	nDecriticalDamagePowerBase
0x0084D0F0	nParryBase
0x0084D100	nParryValueBase
0x0084D110	nStrainBase
0x0084D120	nPhysicsOvercomeBase
0x0084D138	nSolarOvercomeBase
0x0084D150	nNeutralOvercomeBase
0x0084D168	nLunarOvercomeBase
0x0084D180	nPoisonOvercomeBase
0x0084D198	nDecayAllTypeResistPercent
0x0084D1B8	nRestoreCount
0x0084D1C8	nAdvanceRestoreCount
0x0084D1E0	nLastResetRestoreCountTime
0x0084D200	nMaxRestoreCount
0x0084D218	nMaxAdvanceRestoreCount
0x0084D230	nImmuneSkillMoveCount
0x0084D248	bStealthy
0x0084D258	nMaxAccumulateValue
0x0084D270	bItemRestoreOperating
0x0084D288	bInvincible
0x0084D298	bReverseMove
0x0084D2A8	bRegisterIPToFellowshipByLogin
0x0084D2C8	dwShapeShiftID
0x0084D2D8	dwEmotionActionID
0x0084D2F0	nEmotionActionStep
0x0084D308	bEmotionActionPassive
0x0084D320	dwEmotionActionOtherSideID
0x0084D340	dwFakeFellowPetTemplateID
0x0084D360	nDirection8
0x0084D36C	bWalk
0x0084D378	bJoystic
