0x00803400	nLifeReplenishPercent
0x00803418	nManaReplenish
0x00803428	nManaReplenishPercent
0x00803440	nWalkSpeed
0x00803450	nMeleeWeaponDamageBase
0x00803468	nMeleeWeaponDamageRand
0x00803480	nRangeWeaponDamageBase
0x00803498	nRangeWeaponDamageRand
0x008034B0	nParry
0x008034B8	nParryValue
0x008034C4	nSense
0x008034D0	nPhysicsCriticalStrike
0x008034E8	nSolarCriticalStrike
0x00803500	nNeutralCriticalStrike
0x00803518	nLunarCriticalStrike
0x00803530	nPoisonCriticalStrike
0x00803548	nPhysicsDefenceMax
0x00803560	nSolarMagicDefence
0x00803578	nNeutralMagicDefence
0x00803590	nLunarMagicDefence
0x008035A8	nPoisonMagicDefence
0x008035C0	dwAIType
0x008035D0	nAIParamTemplateID
0x008035E8	nCorpseDoodadID
0x008035F8	nDropClassID
0x00803608	bForceDrop
0x00803618	dwRepres
