0x0080CF00	IsFrost
0x0080CF08	MazeCast
0x0080CF18	IgnoreImmunityCast
0x0080CF30	IgnoreControl
0x0080CF40	HitStiffDelayFrame
0x0080CF58	HitStiffSkillMoveID
0x0080CF70	HitStiffVelocityXY
0x0080CF88	HitStiffAccelerateXY
0x0080CFA0	AddPosture
0x0080CFB0	KSkillManager::LoadSkillData
0x0080CFD0	Physics
0x0080CFD8	SolarMagic
0x0080CFE8	NeutralMagic
0x0080CFF8	LunarMagic
0x0080D004	Poison
0x0080D00C	Leap
0x0080D014	None
0x0080D020	Adaptive
0x0080D02C	Any
0x0080D030	Horse
0x0080D038	NotHorse
0x0080D044	Ignore
0x0080D050	EquipSpecialHorse
0x0080D068	NotHoldHorse
0x0080D078	InSprint
0x0080D088	NotInSprint
0x0080D098	CanOnLand
0x0080D0A8	CanNotOnWater
0x0080D0B8	CanNotUnderWater
0x0080D0D0	InFollow
0x0080D0E0	NotInFollow
0x0080D0EC	Sector
0x0080D0F8	SectorOfDepth
0x0080D108	TargetAngleSector
0x0080D120	Rectangle
0x0080D130	RectangleOfDepth
0x0080D148	TargetAngleRectangle
0x0080D160	CasterArea
0x0080D170	CasterAreaOfDepth
0x0080D188	TargetArea
0x0080D198	PointArea
0x0080D1A8	PointAreaOfCasterTeam
0x0080D1C0	PointRectangle
0x0080D1D0	CasterSingle
0x0080D1E0	TargetSingle
0x0080D1F0	TargetChain
0x0080D1FC	Point
0x0080D204	Item
0x0080D210	TargetLeader
0x0080D220	PartyArea
0x0080D230	TargetTeamArea
0x0080D240	TargetHoodle
0x0080D250	CasterSpreadCircle
0x0080D268	TargetRay
0x0080D278	CasterConvexHullArea
0x0080D290	PointAreaFindFirst
0x0080D2A8	SectorOfAttention
0x0080D2C0	CasterAreaOfAttention
0x0080D2D8	Column
0x0080D2E0	Melee
0x0080D2E8	Range
0x0080D2F0	Harmful
0x0080D2F8	Beneficial
0x0080D308	Neutral
0x0080D310	AniOnly
0x0080D318	SfxOnly
0x0080D320	AniAndSfx
0x0080D330	KSkillManager::TranslateTableInfo
0x0080D358	KSKILL_KIND_TYPE
0x0080D370	KSKILL_CAST_MODE
0x0080D388	KSKILL_CAST_EFFECT_TYPE
0x0080D3A0	SKILL_HORSE_STATE_CONDITION
0x0080D3C0	SKILL_SPRINT_STATE_CONDITION
0x0080D3E0	SKILL_TERRAIN_STATE_CONDITION
