0x00873000	rain
0x00873008	pFilterXY
0x00873018	KHLClientRegionObstacle::SaveOriginalTerrain
0x00873048	KHLClientRegionObstacle::ChangeRegionMapSkin
0x00873078	pLands
0x00873080	nMainLandIndex > 0 && nMainLandIndex <= MAX_PRIVATE_LAND_COUNT
0x008730C0	KHLClientRegionObstacle::Load
0x008730E0	%s/%s/Demolish/v_%03d/%03d_Region.%s
0x00873108	pRegionHeader
0x00873118	pRegionHeader->nVersion == eTerrainDataVersion8
0x00873148	pRegionHeader->nRegionX == nRegionX
0x00873170	pRegionHeader->nRegionY == nRegionY
0x00873198	KHLClientRegionObstacle::LoadSkinOriginalTerrain
0x008731D0	KHLClientRegionObstacle::LoadLandTerrain
0x00873200	KHLClientRegionObstacle::Save
0x00873220	nCellCount > 0
0x00873230	uWriteLen == piBuffer->GetSize()
0x00873258	[KHLClientRegionObstacle] Save Error:%u
0x00873280	KHLClientRegionObstacle::MergeLandObstacle
0x008732B0	nCellX >= rLand.m_nMinCellX && nCellX < rLand.m_nMaxCellX
0x008732F0	nCellY >= rLand.m_nMinCellY && nCellY < rLand.m_nMaxCellY
0x00873330	KHLClientRegionObstacle::ProcessOriginalTerrain
0x00873360	KHLClientRegionObstacle::LoadOriginalTerrain
0x00873390	KHLClientRegionObstacle::MergeTmpTerrain
0x008733C0	KHLClientRegionObstacle::LoadBaseCell
0x008733F0	ruDataLen >= uBaseCellInfoSize * REGION_GRID_WIDTH * REGION_GRID_HEIGHT
0x00873438	KHLClientRegionObstacle::LoadExtNormalCell
0x00873468	prbyData
0x00873478	ruDataLen >= sizeof(int)
0x00873498	ruDataLen >= nExtNormalCellCount * uExtNormalCellDataSize
0x008734DB	@
0x008734E1	>I@
0x008734E8	SO3World::CURL_WriteFunc
0x00873504	ptr
0x00873508	SO3World::Xferinfo
0x00873520	SO3World::KCURLTask::Init
0x00873540	m_pCURL
0x00873548	__addon_
0x00873558	gzip, deflate
0x00873568	SO3World::KCURLTask::Perform
0x00873588	!m_nARQCount
0x008735A0	D:\qb\buildagent\workspace\root\JX3\zhcn_hd\DataStores\Sword3\Source\Common\SO3World\Src\KCURL.cpp
0x00873608	SO3World::InitLocks
0x00873620	g_pLockArray
0x00873630	g_pLockArray[nPos]
0x00873648	SO3World::UnInitLocks
0x00873660	SO3World::KCURL::Init
0x00873678	nMaxTaskCount > 0
0x00873690	Res == CURLE_OK
0x008736A0	m_pCRULM
0x008736AC	CURL
0x008736B8	SO3World::KCURL::NewTask
0x008736D8	SO3World::KCURL::PushTask
0x008736F8	SO3World::KCURL::ARQTask
0x00873718	SO3World:KCURL
0x00873728	SO3World::KCURL::WorkMutiTask
0x00873748	nRetCode == CURLM_OK
0x00873760	pTask && !pTask->m_bFinish
0x00873780	PVPField.tab
0x00873790	KPVPFieldMapInfoList::Init
0x008737B0	nRetCode == 1 && "GetMapID"
0x008737D0	BaseInfo.dwMapID < MAX_MAP_ID
0x008737F0	nRetCode == 1 && "Get CopyIndex"
0x00873818	BaseInfo.nCopyIndex > 0
0x00873830	BindCenter
0x00873840	nRetCode == 1 && "Get BindCenter"
0x00873868	KSimpleObject::UnInit
0x00873880	!m_pRegion
0x00873890	KMovableObstacle::~KMovableObstacle
0x008738B8	KMovableObstacle::Init
0x008738D0	m_nRadius > 0
0x008738E0	settings/MovableObstacle
0x00873900	%s/%u.mo
0x00873910	KMovableObstacle::LoadObstacle
0x00873930	[KMovableObstacle::LoadObstacle] The file of Obstacle is not exist! %s
0x00873978	uFileSize > sizeof(KMovableObstacleHeader)
0x008739A8	uLeftSize >= sizeof(WORD) * 3
0x008739C8	nCellListIndex + i < nBaseCount
0x008739E8	uLeftSize >= nCellCount * uObstacleDataSize
0x00873A18	nTotalCellCount > 0
0x00873A30	pMOCell
0x00873A38	pMOCell->m_wLowLayer < pMOCell->m_wHighLayer
0x00873A68	pMOCell->m_BaseInfo.wCellType < ctTotal
0x00873A90	pCurCell
0x00873AA0	CharacterAction.tab
0x00873AB8	KCharacterActionList::Init
0x00873AD8	CharacterAction.dwID > 0
0x00873AF8	KCharacterActionList::LoadLine
0x00873B18	IsLoop
0x00873B20	AnimationID
0x00873B30	ScriptFuncName
0x00873B40	ObjSlotInfo.tab
0x00873B50	KObjSlotInfoList::Init
0x00873B68	nFileHeight - 1 < MAX_OBJ_SLOT_ID
0x00873B8C	SlotID
0x00873B98	nSlotID > 0 && nSlotID < MAX_OBJ_SLOT_ID
0x00873BC8	OffsetDistance
0x00873BE0	Info.nOffsetDistance >= 0 && Info.nOffsetDistance < MAX_OBJ_SLOT_OFFSET_DISTANCE
0x00873C38	OffsetDirection
0x00873C50	Info.nOffsetDirection > -DIRECTION_COUNT && Info.nOffsetDirection < DIRECTION_COUNT
0x00873CA8	OutSkillMoveID
0x00873CB8	Info.dwOutSkillMoveID <= MAX_SKILL_MOVE_ID
0x00873CE8	OutOffsetFaceDirection
0x00873D00	Info.nOutOffsetFaceDirection > -DIRECTION_COUNT && Info.nOutOffsetFaceDirection < DIRECTION_COUNT
0x00873D68	OwnerMask
0x00873D78	SubordinateMask
0x00873D88	KObjSlotInfoList::GetSlotInfo
0x00873DA8	dwSlotID > 0
0x00873DB8	dwSlotID < MAX_OBJ_SLOT_ID
0x00873DD8	KSkillDebug::Init
0x00873DF0	KSkillDebug::Detach
0x00873E08	KSkillDebug::OnDetach
0x00873E20	it != m_OnAttachVector.end()
0x00873E40	KSkillDebug::DetachAll
0x00873E5B	@
0x00873E60	PnI@
0x00873E68	KFightFlagList::Init
0x00873E80	m_nSize > 0
0x00873E90	m_ForceDefault
0x00873EA0	nId == i
0x00873EB0	DefaultFlag
0x00873EC0	DefaultLevel
0x00873ED0	DefaultRepute
0x00873EE0	KFightFlagList::GetDefaultRepute
