ATTRIBUTE_TYPE_member	count	files
EXECUTE_SCRIPT	437	376
nAttributeKey	133	133
SKILL_PHYSICS_DAMAGE	113	113
DEL_MULTI_GROUP_BUFF_BY_FUNCTIONTYPE	111	29
SKILL_PHYSICS_DAMAGE_RAND	109	109
CALL_PHYSICS_DAMAGE	97	97
CALL_ADAPTIVE_DAMAGE	87	85
EXECUTE_SCRIPT_WITH_PARAM	82	80
CAST_SKILL_TARGET_DST	78	55
DETACH_SINGLE_BUFF	59	14
CALL_BUFF	54	45
CAST_SKILL	53	36
SKILL_NEUTRAL_DAMAGE	49	48
SKILL_NEUTRAL_DAMAGE_RAND	48	47
CALL_NEUTRAL_DAMAGE	36	35
SKILL_SOLAR_DAMAGE	31	31
SKILL_SOLAR_DAMAGE_RAND	31	31
SKILL_MOVE	30	13
SKILL_LUNAR_DAMAGE	30	30
SKILL_LUNAR_DAMAGE_RAND	29	29
DEL_SINGLE_BUFF_BY_ID_AND_LEVEL	28	20
CALL_LUNAR_DAMAGE	22	22
CALL_SOLAR_DAMAGE	20	20
SET_TALENT_RECIPE	19	16
CAST_SKILL_TARGET_SRC	17	16
SKILL_POISON_DAMAGE	15	15
SKILL_POISON_DAMAGE_RAND	15	15
SKILL_ADAPTIVE_DAMAGE	14	14
DETACH_MULTI_GROUP_BUFF	14	4
SKILL_EVENT_HANDLER	14	7
ACCUMULATE	12	10
SKILL_ADAPTIVE_DAMAGE_RAND	11	11
PULL	11	11
CALL_POISON_DAMAGE	11	11
DASH	10	10
DASH_FORWARD	9	9
CALL_KNOCKED_OFF_PARABOLA	9	8
CALL_REPULSED	9	9
KNOCKED_BACK_RATE	7	7
PHYSICS_ATTACK_POWER_PERCENT	7	7
CLEAR_COOL_DOWN	6	5
SPOOF	6	6
CALL_KNOCKED_DOWN	6	6
SKILL_THERAPY	6	6
SKILL_THERAPY_RAND	6	6
CALL_THERAPY	6	6
DASH_TO_POINT	6	6
CONSUME_BUFF	6	2
DAMAGE_TO_LIFE_FOR_SELF	5	5
GLOBAL_BLOCK	3	3
CALL_KNOCKED_BACK_SRC_FACE	3	3
KNOCKED_OFF_RATE	2	2
DASH_RIGHT	2	2
DASH_LEFT	2	2
GLOBAL_RESIST_PERCENT	2	2
CALL_KNOCKED_BACK_EXHALE	2	2
DEL_MULTI_GROUP_BUFF_BY_ID	2	1
MODIFY_THREAT	2	2
DASH_BACKWARD	2	2
CURRENT_MANA	2	2
MODIFY_COOL_DOWN	2	2
DEL_SINGLE_GROUP_BUFF_BY_ID_AND_LEVEL	2	2
ACTIVE_THREAT_COEFFICIENT	2	2
EXECUTE_SCRIPT_SETUP	2	2
RESET_COOL_DOWN	2	1
STEAL_BUFF	2	1
CAST_SUB_SKILL	2	1
HALT	1	1
KNOCKED_DOWN_RATE	1	1
STOP	1	1
DO_ACTION	1	1
TOP_THREAT	1	1
CALL_BUFF_STACK_3	1	1
SKILL_PHYSICS_RAND	1	1
DASH_TO_DST_BACK	1	1
THERAPY_POWER_TO_MAGIC_ATTACK_POWER_COF	1	1
MAX_ENERGY	1	1
CURRENT_LIFE	1	1
GLOBAL_DAMGAGE_FACTOR	1	1
CALL_SURPLUS_NEUTRAL_DAMAGE	1	1
EMPLOYER_CAST_SKILL_TARGET_SELF	1	1
AUTO_SELECT_TARGET_BY_LIFELESS	1	1
CALL_BUFF_STACK_2	1	1
REVIVE	1	1
SET_JUMP_COUNT	1	1
