0x0000EAF0	atInvalid
0x0000EB00	atRunSpeedBase
0x0000EB10	atMoveSpeedPercent
0x0000EB28	atMinRunSpeed
0x0000EB38	atMaxRunSpeed
0x0000EB48	atMaxJumpCount
0x0000EB58	atSetJumpCount
0x0000EB68	atFlyFlag
0x0000EB78	atOnTowerFlag
0x0000EB88	atOnParachuteFlag
0x0000EBA0	atHorseAttribute
0x0000EBB8	atHorseRunType
0x0000EBC8	atHeight
0x0000EBD8	atTransform
0x0000EBE8	atGravityBase
0x0000EBF8	atGravityPercent
0x0000EC10	atJumpSpeedBase
0x0000EC20	atJumpSpeedPercent
0x0000EC38	atHorseJumpSpeedAdditional
0x0000EC58	atDropDefence
0x0000EC68	atDivingFrameBase
0x0000EC80	atModifyDivingCount
0x0000EC98	atDivingFramePercent
0x0000ECB0	atWaterFlyAbility
0x0000ECC8	atCanNotJump
0x0000ECD8	atStrengthBase
0x0000ECE8	atStrengthBasePercentAdd
0x0000ED08	atAgilityBase
0x0000ED18	atAgilityBasePercentAdd
0x0000ED30	atVitalityBase
0x0000ED40	atVitalityBasePercentAdd
0x0000ED60	atSpiritBase
0x0000ED70	atSpiritBasePercentAdd
0x0000ED88	atSpunkBase
0x0000ED98	atSpunkBasePercentAdd
0x0000EDB0	atHasteBase
0x0000EDC0	atHasteBasePercentAdd
0x0000EDD8	atUnlimitHasteBasePercentAdd
0x0000EDF8	atTransmitTrain
0x0000EE08	atMaxTrainValue
0x0000EE18	atBaseVenationCof
0x0000EE30	atPhysicsVenationCof
0x0000EE48	atMagicVenationCof
0x0000EE60	atAssistVenationCof
0x0000EE78	atBasePotentialAdd
0x0000EE90	atCurrentLife
0x0000EEA0	atMaxLifeBase
0x0000EEB0	atMaxLifePercentAdd
0x0000EEC8	atMaxLifeAdditional
0x0000EEE0	atFinalMaxLifeAddPercent
0x0000EF00	atLifeReplenish
0x0000EF10	atLifeReplenishPercent
0x0000EF28	atLifeReplenishCoefficient
0x0000EF48	atLifeReplenishExt
0x0000EF60	atCurrentMana
0x0000EF70	atMaxManaBase
0x0000EF80	atMaxManaPercentAdd
0x0000EF98	atMaxManaAdditional
0x0000EFB0	atManaPercentAdd
0x0000EFC8	atManaReplenish
0x0000EFD8	atManaReplenishPercent
0x0000EFF0	atManaReplenishCoefficient
0x0000F010	atManaReplenishExt
0x0000F028	atDisbleScriptSetEnergy
0x0000F040	atCurrentRage
0x0000F050	atMaxRage
0x0000F060	atRageReplenish
0x0000F070	atCurrentEnergy
0x0000F080	atMaxEnergy
0x0000F090	atEnergyReplenish
0x0000F0A8	atSunPowerValue
0x0000F0B8	atMoonPowerValue
0x0000F0D0	atCurrentSunEnergy
0x0000F0E8	atMaxSunEnergy
0x0000F0F8	atSunEnergyAddPercent
0x0000F110	atSunEnergyReplenish
0x0000F128	atSunEnergyFallOff
0x0000F140	atStopMakeSunPower
0x0000F158	atCurrentMoonEnergy
0x0000F170	atMaxMoonEnergy
0x0000F180	atMoonEnergyAddPercent
0x0000F198	atMoonEnergyReplenish
0x0000F1B0	atMoonEnergyFallOff
0x0000F1C8	atStopMakeMoonPower
0x0000F1E0	atNaturePowerValue
0x0000F1F8	atNaturePowerMaxGrid
