0x0000EDB0	atHasteBase
0x0000EDC0	atHasteBasePercentAdd
0x0000EDD8	atUnlimitHasteBasePercentAdd
0x0000F2D8	atDeflect
0x0000F3B0	atDodge
0x0000F3B8	atDodgeBaseRate
0x0000F3C8	atParryBaseRate
0x0000F3D8	atParryBase
0x0000F3E8	atParryPercent
0x0000F3F8	atParryValueBase
0x0000F410	atParryValuePercent
0x0000F428	atParryValueToMagicShieldCof
0x0000F450	atStrainBase
0x0000F460	atStrainPercent
0x0000F470	atStrainRate
0x0000F480	atToughnessBaseRate
0x0000F498	atToughnessBase
0x0000F4A8	atToughnessPercent
0x0000F4C0	atDecriticalDamagePowerBaseKiloNumRate
0x0000F4E8	atDecriticalDamagePowerBase
0x0000F508	atDecriticalDamagePowerPercent
0x0000F528	atPositiveShield
0x0000F540	atNegativeShield
0x0000F558	atGlobalResistPercent
0x0000F570	atGlobalBlock
0x0000F580	atGlobalTherapyAbsorb
0x0000F598	atGlobalTherapyAbsorbBySelfMaxLife
0x0000F5C0	atGlobalDamageAbsorb
0x0000F5D8	atGlobalDamageAbsorbBySelfMaxLife
0x0000F600	atGlobalDamageAbsorbBySelfSpirit
0x0000F628	atGlobalDamageAbsorbBySelfAgility
0x0000F650	atGlobalDamageAbsorbBySelfVitality
0x0000F678	atGlobalDamageManaShield
0x0000F7A0	atRangeAngleShield
0x0000F930	atPhysicsAttackPowerBase
0x0000F950	atPhysicsAttackPowerPercent
0x0000F970	atPhysicsHitBaseRate
0x0000F988	atPhysicsHitValue
0x0000F9A0	atPhysicsCriticalStrikeBaseRate
0x0000F9C0	atPhysicsCriticalStrike
0x0000F9D8	atPhysicsCriticalDamagePowerBaseKiloNumRate
0x0000FA08	atPhysicsCriticalDamagePowerBase
0x0000FA30	atPhysicsCriticalDamagePowerPercent
0x0000FA58	atPhysicsOvercomeBase
0x0000FA70	atPhysicsOvercomePercent
0x0000FA90	atPhysicsResistPercent
0x0000FAD8	atPhysicsShieldBase
0x0000FAF0	atPhysicsShieldPercent
0x0000FB08	atPhysicsShieldAdditional
0x0000FB28	atPhysicsReflection
0x0000FB40	atPhysicsReflectionPercent
0x0000FB60	atPhysicsBlock
0x0000FB70	atPhysicsDamageAbsorb
0x0000FB88	atPhysicsDamageManaShield
0x0000FBC8	atAllTypeOvercomeBase
0x0000FBE0	atAllTypeHitValue
0x0000FBF8	atAllTypeCriticalStrike
0x0000FC10	atAllTypeCriticalDamagePowerBase
0x0000FC38	atDecayAllTypeResistPercent
0x0000FC70	atMagicAttackPowerBase
0x0000FC88	atMagicAttackPowerPercent
0x0000FCA8	atMagicCriticalStrike
0x0000FCC0	atMagicShield
0x0000FCD0	atMagicCriticalDamagePowerBaseKiloNumRate
0x0000FD00	atMagicCriticalDamagePowerBase
0x0000FD20	atMagicCriticalDamagePowerPercent
0x0000FD48	atMagicOvercome
0x0000FD58	atMagicHitBaseRate
0x0000FD70	atMagicHitValue
0x0000FE08	atSolarAttackPowerPercent
0x0000FE28	atSolarHitBaseRate
0x0000FE40	atSolarHitValue
0x0000FE50	atSolarCriticalStrikeBaseRate
0x0000FE70	atSolarCriticalStrike
0x0000FE88	atSolarCriticalDamagePowerBaseKiloNumRate
0x0000FEB8	atSolarCriticalDamagePowerBase
