ID	Name	Useage	FunctionType	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Exclude	GlobalExclude	UniqueTarget	CanCancel	IsCountable	DecayType	MoveStateMask	MapBanMask	CanAccumulate	MapInvalidMask	IsCombatBuff	MinInterval	MoveStateMask2	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	CanTransfer	CostSingleStack	Coexist	IsIntensityStackable	ScriptFile
203	澶╃瓥-鍟稿铏?鍌茶鎴樻剰	1		203	0		1	2	0	1	5	32	1	0	0	1			3758030846					32	63	32	1	0	1					澶╃瓥\铏庡姞鎶ょ浘.lua
203	澶╃瓥-鍟稿铏?鍌茶鎴樻剰	1		203	0		2	3	0	1	5	32	1	0	0	1			3758030846					32	63	32	1	0	1					澶╃瓥\铏庡姞鎶ょ浘.lua
203	澶╃瓥-鍟稿铏?鍌茶鎴樻剰	1		203	0		3	4	0	1	5	32	1	0	0	1			3758030846					32	63	32	1	0	1					澶╃瓥\铏庡姞鎶ょ浘.lua
203	澶╃瓥-鍟稿铏?鍌茶鎴樻剰	1		203	0		4	5	0	1	5	32	1	0	0	1			3758030846					32	63	32	1	0	1					澶╃瓥\铏庡姞鎶ょ浘.lua
203	澶╃瓥-鍟稿铏?鍌茶鎴樻剰	1		203	0		5	6	0	1	5	32	1	0	0	1			3758030846					32	63	32	1	0	1					澶╃瓥\铏庡姞鎶ょ浘.lua
203	澶╃瓥-鍟稿铏?鍌茶鎴樻剰	1		203	0		6	7	0	1	1	160	1	0	0	1			3758030846					160	63	160	1	0	1					
208	鎵舵憞鐩翠笂	11		208	1		1	1	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		2	2	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		3	3	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		4	4	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		5	5	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		6	6	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		7	7	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		8	8	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		9	9	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		10	10	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	鎵舵憞鐩翠笂	11		208	1		11	11	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					姹熸箹/椹笂鎵舵憞鍜岄┈涓嬫壎鎽囩浉浜掕浆鎹?lua
208	钘忓墤椋庡満鎵舵憞鐩翠笂	11		208	1		12	12	0	1	1	16	1	1	0	1			1610547150					16	60	16	1	0	1					
244	楠戜箻	11		208	0		1	100	0	1	1	0	1	1	0	1			3619840030	1				0	59	0	1	0	1					
244	楠戜箻	11		208	0		2	100	0	1	1	0	1	1	0	1			3619840254	1				0	59	0	1	0	1					
244	楠戜箻	11		208	0		3	100	0	1	1	0	1	1	0	1			1073897664	1				0	56	0	1	0	1					
244	楠戜箻	11		208	0		4	100	0	1	9999999	8	1	1	0	1			3619840030	9				8	59	8	1	0	1					
244	楠戜箻	11		208	0		5	101	0	1	1	0	1	1	0	1			3619840030	1				0	59	0	1	0	1					
244	楠戜箻	11		208	0		6	101	0	1	1	0	1	1	0	1			3619840254	1				0	59	0	1	0	1					
244	楠戜箻	11		208	0		7	101	0	1	1	0	1	1	0	1			3619840030	1				0	59	0	1	0	1					
