ID	Name	Useage	FunctionType	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Exclude	GlobalExclude	UniqueTarget	CanCancel	IsCountable	DecayType	MoveStateMask	MapBanMask	CanAccumulate	MapInvalidMask	IsCombatBuff	MinInterval	MoveStateMask2	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	CanTransfer	CostSingleStack	Coexist	IsIntensityStackable	ScriptFile
2719	涓囪姳_鍏诲績鍐砡涔辨磼闈掕嵎	2		2719	0		1	1	0	1	1	160	1	1	0	1			3758030846					160	63	160	1	1	1					
2719	涓囪姳_鍏诲績鍐砡涔辨磼闈掕嵎	2		2719	0		2	2	0	1	1	160	1	1	0	1			3758030846					160	63	160	1	1	1					
2719	涓囪姳_鍏诲績鍐砡涔辨磼闈掕嵎	2		2719	0		3	1	0	1	1	160	1	1	0	1			3758030846					160	63	160	1	1	1					
2755	涓冩槦鍖楁枟_鐪╂檿	3	Stun	8	0		1	32	0	1	1	16	1	1	0	0		0	1405095936					16	60	16	1	0	1	0				
2755	涓冩槦鍖楁枟_鐪╂檿	3	Stun	8	0		2	80	0	1	1	16	1	1	0	0		0	1405095936					16	60	16	1	0	1	0				
2755	涓冩槦鍖楁枟_鐪╂檿	3	Stun	8	0		3	80	0	1	1	16	1	1	0	0		0	1405095936					16	60	16	1	0	1	0				
2755	涓冩槦鍖楁枟_鐪╂檿	3	Stun	8	0		4	112	0	1	1	16	1	1	0	0		0	1405095936					16	60	16	1	0	1	0			0	
4053	鏄庢暀_鎬栫晱鏆楀垜_娌夐粯	8	Silence	4053	0		1	1	0	1	1	64	1	1	0	0		5	3758030846					64	63	64	1	0	1					
9828	鏃犲皹_涓囦經35%鍙彔鍔犲噺浼?5		9828	0		1	10	1	3	1	96	1	1	0	1	0		3758030846		0	0		96	63	96	1	1	1				1	
12321	闇炴祦瀹濈煶缂存鐩爣	6	Silence	12321	0		1	2	0	1	1	72	1	1	0	0		5	3758030846					72	63	72	1	0	1					
12321	闇炴祦瀹濈煶缂存鐩爣	6	Silence	12321	0		2	1	0	1	1	32	1	1	0	0			3758030846					32	63	32	1	0	1					
