====================================================================================================
鍑忕枟 count 55
   2662 甯細_鎿傚彴_鍑忕枟浼ゆ垚鏁?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 2880 | Script= 
   9420 3鍙穇娓稿嚮_鏀诲叾鏃犲_瀹氳韩鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atSilenceAll  | Cnt= 1 Ivl= 0 | Script= 
   9514 妤氭祹_鍑忕枟40% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -461 | Cnt= 1 Ivl= 32 | Script= 
   9694 娓呯粷褰辨瓕_npc_40%鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -512 | Cnt= 1 Ivl= 480 | Script= 
   10243 鐩惧嚮鍑忕枟瀹為檯鏁堟灉 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -307 | Cnt= 1 Ivl= 192 | Script= 鑻嶄簯/濂楄矾鍙婂瓙鎶€鑳?鍑忔枡鏁堟灉琚《鏇挎帀.lua
   10646 2鍙穇鏌崇化鍚沖闂儏_鍑忕枟绂侀瓟绂佽交鍔?| FT=  | Decay=  | MS= 3758030847 | Ban=  | Inv= 0 | A1= atPullRate -2048 | Cnt= 1 Ivl= 36000 | Script= 
   10850 缁挎灄_闄烽槺鍑忛€熷噺鐤?| FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv= 264 | A1= atMoveSpeedPercent -512 | Cnt= 3 Ivl= 80 | Script= 
   10893 2鍙穇鍝ヨ垝缈癬钀芥灙_鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -205 | Cnt= 1 Ivl= 36000 | Script= 
   12283 鐢熷お鏋佸悶鏃ユ湀鍔犲噺鐤楄鍔ㄨ鏁?| FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 320 | Script= 
   12423 2鍙穇鑷村懡绌垮埡鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atBeTherapyCoefficient -512 | Cnt= 1 Ivl= 16 | Script= 
   15033 MOBA鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atBeTherapyCoefficient -512 | Cnt= 1 Ivl= 48 | Script= 
   15103 MOBA鍑忕枟瑁呭 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atSkillEventHandler 1670 | Cnt= 1 Ivl= 160 | Script= 
   15531 琛€瑕嗛粍娉夊噺鐤楁晥鏋淏UFF | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atBeTherapyCoefficient -307 | Cnt= 1 Ivl= 320 | Script= 
   15551 鏃惰景_鍑忕枟 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1= atBeTherapyCoefficient -102 | Cnt= 1 Ivl= 0 | Script= 
   15661 閫氱敤_鍑忕枟 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1= atBeTherapyCoefficient -10 | Cnt= 1 Ivl= 0 | Script= 
   15692 椋熺墿鍏嶇柅鏁堟灉_鍑忕枟 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 4800 | Script= 
