====================================================================================================
鐮撮槻 count 60
   552 澶╃瓥-鐮撮-鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -7 | Cnt= 1 Ivl= 480 | Stack= 5
   703 鍓戞硶路鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldPercent -205 | Cnt= 1 Ivl= 240 | Stack= 1
   1394 鑻遍泟绌洪浘宄癬杈呭姪NPC_澶栧姛鏄撲激NPC_鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsDamageCoefficient 2048 | Cnt= 1 Ivl= 48 | Stack= 1
   2806 涓冪_纰庡啺_鍓戞皵闀挎睙鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSolarOvercomePercent 51 | Cnt= 1 Ivl= 80 | Stack= 1
   3146 鍗楄瘡閾佺埅渚嶅崼_纰庨鍑籣鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -100 | Cnt= 1 Ivl= 160 | Stack= 5
   4419 鑺傛棩鐗规畩灏忚嵂澶栧姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban= 520 | Inv=  | A1= atPhysicsOvercomeBase 265 | Cnt= 1 Ivl= 28800 | Stack= 1
   4420 鑺傛棩鐗规畩灏忚嵂鍐呭姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban= 520 | Inv=  | A1= atMagicOvercome 265 | Cnt= 1 Ivl= 28800 | Stack= 1
   5037 鍗楄瘡鐮村啗濂梍鎻愰珮鐮撮槻鍊?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsOvercomeBase 4 | Cnt= 1 Ivl= 96 | Stack= 10
   5112 涓€绾垮ぉ_鑻忔竻_鐩捐垶鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsDefenceAdd -102 | Cnt= 10 Ivl= 16 | Stack= 1
   5146 姘旂函鐗规畩姝﹀櫒_鍔犵牬闃茬敤buff | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 1 | Stack= 1
   6221 浜旀瘨_濂囩┐_铦庡績鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPoisonOvercomePercent 153 | Cnt= 1 Ivl= 160 | Stack= 2
   6343 涓愬府_闃电溂鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 306 | Cnt= 1 Ivl= 80 | Stack= 1
   6344 涓愬府_闃电溂鍔犵牬闃睠D | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1 Ivl= 320 | Stack= 1
   6376 涓愬府_榫欐垬鍔犵牬闃?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 102 | Cnt= 1 Ivl= 160 | Stack= 1
   8403 鑻嶄簯鏀诲嚮闃电牬闃叉晥鏋?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsCriticalDamagePowerBaseKiloNumRate 20 | Cnt= 1 Ivl= 480 | Stack= 5
   8484 鏀诲嚮闃电鍥涢噸鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 153 | Cnt= 1 Ivl= 80 | Stack= 1
   9489 闀挎瓕杈撳嚭闃垫硶鐮撮槻绛夌骇鎻愰珮10% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarOvercomePercent 102 | Cnt= 1 Ivl= 80 | Stack= 1
   9596 澶栧姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atPhysicsOvercomeBase 74 | Cnt= 1 Ivl= 28800 | Stack= 1
   9597 鍐呭姛鐮撮槻 | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1= atMagicOvercome 74 | Cnt= 1 Ivl= 28800 | Stack= 1
   9770 鍓戜富澶╁湴灏忛槦5%鐮撮槻 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atLunarOvercomePercent 102 | Cnt= 1 Ivl= 192 | Stack= 1
   9920 榫欐洸_鐮撮槻5% | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 51 | Cnt= 1 Ivl= 480 | Stack= 2
   9949 鐜勯棬_5%鐮撮槻鍜屼細蹇?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atPhysicsOvercomePercent 204 | Cnt= 1 Ivl= 640 | Stack= 3
   10216 闃虫槬鐧介洩鐮撮槻鍔犲眰琛ㄧ幇 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atExecuteScript skill/闀挎瓕/濂楄矾鍙婂瓙鎶€鑳?闃虫槬鐧介洩鏍囪buff娑堝け鍒犻櫎瀹為檯鏁堟灉.lua | Cnt= 1 Ivl= 96 | Stack= 3
   12574 灏忛槦鐮撮槻鍔犻€?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atUnlimitHasteBasePercentAdd 3 | Cnt= 1 Ivl= 20 | Stack= 1
