ID	Name	Useage	FunctionType	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Exclude	GlobalExclude	UniqueTarget	CanCancel	IsCountable	DecayType	MoveStateMask	MapBanMask	CanAccumulate	MapInvalidMask	IsCombatBuff	MinInterval	MoveStateMask2	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	CanTransfer	CostSingleStack	Coexist	IsIntensityStackable	ScriptFile
1512	鑻遍泟澶╁瓙宄癬1鍙穊oss璋簯娴乢涓夋墠鍖栫敓_閿佽冻	30	Charm	12	0		1	96	0	1	1	80	1	1	0	0			1405108224					80	60	80	1	0	1					
1801	钘忓墤_蹇墤60绾у唴鍔焈鐜夋硥楸艰穬閿佽冻	6	Charm	12	0		1	5	0	1	1	32	1	1	0	0			1405108224					32	60	32	1	0	1					
1801	钘忓墤_蹇墤60绾у唴鍔焈鐜夋硥楸艰穬閿佽冻	6	Charm	12	0		2	64	0	1	1	64	1	1	0	0			1405108224					64	60	64	1	0	1					
1801	钘忓墤_蹇墤60绾у唴鍔焈鐜夋硥楸艰穬閿佽冻	6	Charm	12	0		3	80	0	1	1	80	1	1	0	0			1405108224					80	60	80	1	0	1					
1857	钘忓墤_閲嶅墤40绾у唴鍔焈鎯婃稕瀵圭Щ鍔ㄧ洰鏍囬攣瓒?6	Halt	4	2		1	48	0	1	1	48	1	1	0	0		2	1405100032					48	60	48	1	0	1					
1857	钘忓墤_閲嶅墤40绾у唴鍔焈鎯婃稕瀵圭Щ鍔ㄧ洰鏍囬攣瓒?6	Halt	4	2		2	64	0	1	1	64	1	1	0	0		2	1405100032					64	60	64	1	0	1					
1931	鍚愭晠绾虫柊_閿佽冻	3	Charm	12	0		1	48	0	1	1	48	1	1	0	0		8	1405108224					48	60	48	1	0	1	0				
1932	鍚愭晠绾虫柊_琚嚮閿佽冻CDbuff	3		1932	0		1	1	0	1	1	320	1	1	0	0			3758030846					320	63	320	1	0	1					
2302	姣掔娈縚椴嶇﹩渚燺搴氭瘨路铚樿洓_閿佽冻	30		2302	0		1	1	0	1	1	80	1	1	0	0			3758030846					80	63	80	1	0	1					
2302	姣掔娈縚椴嶇﹩渚燺搴氭瘨路铚樿洓_閿佽冻	30		2302	0		2	1	0	1	1	80	1	1	0	0			3758030846					80	63	80	1	0	1					
2504	浜旀瘨_瀹犵墿_铚?閿佽冻)	9	Charm	12	12		1	32	0	1	1	64	1	1	0	0			1405108224					64	60	64	1	0	1					
3113	鑽昏姳鍦ｆ_7鍙稡OSS_娌欏埄浜歘閿佽冻	30		3113	0		1	1	0	1	1	160	1	1	0	0			1405108224		0			160	60	160	1	0	1					
3143	鍗楄瘡寮撳叺_瑁傞槼绠璤閿佽冻	61	Charm	12	2		1	1	0	1	1	80	1	1	0	0		1	1942044672		0			80	60	80	1	0	1					
3196	绁炲墤鍐鐜夋竻鐜勬槑_涓夋墠鍖栫敓_閿佽冻	221	Charm	12	6		1	1	0	1	1	80	1	1	0	0			3758030846		0			80	63	80	1	0	1					
3466	鍞愰棬_鏆楄棌鏉€鏈篲閿佽冻	7	Charm	12	10		1	32	0	3	1	80	1	1	0	0		1	16384		1			80	63	80	1	0	1					
3555	浜旀瘨_铔婅櫕鐚キ_铦庡瓙_閿佽冻	9	Charm	12	14		1	80	0	1	1	80	1	1	0	0		1	1405108224					80	60	80	1	0	1					
3611	鑻嶅北娲辨捣_閿佽冻5绉?61		3611	0		1	1	0	1	1	80	1	1	0	0			3758030846		0			80	63	80	1	0	1					
