BuffID	Level	Name	Desc
3553	0	麻痹毒液	移动速度降低70%
3797	0	麻痹	攻击降低20%
6735	1	麻痹	移动速度降低10%，每秒造成<BUFF atCallPoisonDamage>点毒性内功伤害
6735	2	麻痹	移动速度降低10%，每秒造成<BUFF atCallPoisonDamage>点毒性内功伤害
6735	3	麻痹	移动速度降低10%，每秒造成<BUFF atCallPoisonDamage>点毒性内功伤害
6735	4	麻痹	移动速度降低10%，每秒造成<BUFF atCallPoisonDamage>点毒性内功伤害
9420	1	经脉麻痹	不能起身
12017	3	麻痹	被雷劈了，不能走路！
16097	1	麻痹	被雷电击中的效果
20182	1	麻痹毒液	毒虫吐出毒液麻痹对方，与其同归于尽
21495	0	麻痹	因为吸入过多麻沸散而被麻醉
21585	1	恍神麻痹（燥）	恍神麻痹
21721	1	恍神麻痹（湿）	恍神麻痹
23275	0	麻痹	身体因承受过多的雷击逐渐麻痹
23348	1	麻痹	行动迟缓
25348	1	麻痹	每层使自身加速率降低3%
32360	1	麻痹	因为吸入过多麻沸散而倒地不起
32873	0	麻痹	麻痹
