ID	Name	Useage	FunctionType	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Exclude	GlobalExclude	UniqueTarget	CanCancel	IsCountable	DecayType	MoveStateMask	MapBanMask	CanAccumulate	MapInvalidMask	IsCombatBuff	MinInterval	MoveStateMask2	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	CanTransfer	CostSingleStack	Coexist	IsIntensityStackable	ScriptFile
101	策划默认项(非程序默认行)	0	Normal	101	0	Invalid	1	1	0	1	1	0	1	1	0	1		-1	3758030846	0	0	0		0	63	0	1	0	1					
103	打坐	11		103	0		1	1	0	1	1	0	1	0	0	1			256					0	56	0	1	0	1					
104	浮身	0		104	0		1	1	0	1	1	80	1	0	0	1			4294967294					80	63	80	1	0	1					
104	浮身	0	Normal	104	0	Invalid	2	1	0	1	1	80	1	0	0	1		-1	4294967294					80	63	80	1	0	1					
106	加速	13		106	0		1	1	0	1	1	480	1	0	0	1			4294967294					480	63	480	1	0	1					
139	扶摇直上	3		208	5		1	6	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		2	7	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		3	8	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		4	9	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		5	10	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		6	11	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		7	11	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		8	11	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		9	11	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		10	11	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
139	扶摇直上	3		208	5		11	11	0	1	1	480	1	1	0	1			1610547150					480	60	480	1	0	1					
