Family	FunctionType(s)	DecayType(s)	MoveStateMask(s)	MoveStateMask2(s)	ExampleBuffs
眩晕 Stun/Daze	-(422),Stun(294),Normal(10),Damage(2),Daze(2),Slow(1)	-(623),0(97),-1(11)	3758030846(446),1405095936(185),4096(26),1342181376(13),4294967295(11)	63(517),60(202),4(6),7(4),(2)	424:冲锋眩晕 ; 440:天策-断魂刺-追魂-破坚阵击晕(废除) ; 441:天策-战吼-眩晕(废除) ; 453:九转归一_眩晕 ; 462:地震、巨龟压制眩晕 ; 464:冲锋、沉重打击眩晕 ; 464:冲锋、沉重打击眩晕 ; 517:天策-乱-眩晕 ; 583:少林被击眩晕 ; 719:天策-破坚阵-击晕
击倒 Knockdown	-(141),Daze(18),Normal(5),Stun(3),Damage(2),Silence(1)	-(165),-1(5)	3758030846(124),1406140928(11),512(6),4294967294(5),1405222912(3)	63(141),60(28),4(1)	359:抗击飞 ; 465:击倒状态 ; 467:击飞 ; 994:倒地1秒 ; 994:倒地2秒 ; 994:倒地3秒 ; 994:倒地4秒 ; 994:倒地5秒 ; 994:倒地6秒 ; 1632:蹴鞠击倒效果
定身 Root(Halt)	-(357),Halt(122),Stun(9),Damage(5),Charm(4),Normal(4)	-(437),2(54),-1(6),5(2),8(2),1(2)	3758030846(349),1405100032(93),8192(11),1342185472(6),1405108224(4)	63(382),60(116),4(3),0(1),7(1)	675:芙蓉并蒂-定身 ; 675:芙蓉并蒂-定身 ; 675:芙蓉并蒂-定身 ; 675:芙蓉并蒂-定身 ; 685:傍花随柳-定身 ; 700:冰心诀-冻逝-免疫定身 ; 712:兰摧玉折_吞DOT定身 ; 737:定身 ; 749:紫霞功_定身 ; 981:移动状态测试_定身
锁足 Root(Charm)	-(178),Charm(67),Halt(10),Damage(1),Normal(1)	-(215),1(28),8(7),2(6),-1(1)	3758030846(178),16384(24),1405108224(17),1342193664(14),1405100032(5)	63(202),60(50),4(2),7(2),(1)	541:天策-断魂刺-无法移动 ; 1512:英雄天子峰_1号boss谢云流_三才化生_锁足 ; 1801:藏剑_快剑60级内功_玉泉鱼跃锁足 ; 1801:藏剑_快剑60级内功_玉泉鱼跃锁足 ; 1801:藏剑_快剑60级内功_玉泉鱼跃锁足 ; 1857:藏剑_重剑40级内功_惊涛对移动目标锁足 ; 1857:藏剑_重剑40级内功_惊涛对移动目标锁足 ; 1893:25人天王殿_禁锢之泉 ; 1931:吐故纳新_锁足 ; 1932:吐故纳新_被击锁足CDbuff
减速 Slow	-(325),Slow(187),Damage(11),Normal(11),Charm(2),Fly(2)	-(527),-1(14),1(1)	3758030846(467),3757998078(46),4294967294(10),4294901758(6),4294868990(3)	63(533),7(8),4(1)	427:新手特殊技能-棍-减速效果 ; 460:伤刺减速、脚筋断裂 ; 461:震地、冲穴掌减速 ; 509:减速 ; 519:天策-破坚阵-减速(废除) ; 519:天策-破坚阵-减速(废除) ; 519:天策-破坚阵-减速(废除) ; 519:天策-破坚阵-减速(废除) ; 519:天策-破坚阵-减速(废除) ; 523:减速
沉默 Silence	-(133),Silence(56),Normal(2),Charm(1),Shield(1)	-(159),5(32),-1(2)	3758030846(170),3758096382(6),4294967294(3),1073676286(3),3757998078(3)	63(190),60(1),4(1),7(1)	445:少林-沉默 ; 445:少林-沉默 ; 445:少林-沉默 ; 445:少林-沉默 ; 582:少林被击沉默 ; 585:厥阴指_打断后沉默 ; 692:沉默 ; 726:剑飞惊天_沉默 ; 734:群体沉默 ; 763:免疫沉默
缴械 Disarm	-(30),Silence(6),Disarm(2),Normal(2),Slow(1)	-(34),5(5),-1(2)	3758030846(38),4294967294(2),3758096382(1)	63(41)	4036:缴械 ; 4163:惊羽特殊武器_缴械用 ; 4167:天罗特殊武器_缴械 ; 5536:大明宫_剑圣_缴械 ; 7406:风雪稻香村_黑鹰_十二生肖_申猴_缴械 ; 7406:风雪稻香村_黑鹰_十二生肖_申猴_缴械 ; 7705:缴械 ; 8067:缴械Buff ; 8332:缴械 ; 8817:3号_骇世_缴械
恐惧 Fear	-(18),Fear(6),Stun(2),Normal(1)	-(25),-1(1),9(1)	3758030846(19),4294967294(4),4294967295(2),3758096382(1),4294901758(1)	63(26),7(1)	422:恐惧DEBUFF ; 481:扬州恐惧DEBUFF ; 486:洛道恐惧DEBUFF ; 4803:南诏皇宫_小怪_恐惧 ; 10419:丐帮_恐惧 ; 10854:驭兽死亡恐惧 ; 10865:驭兽师_恐惧 ; 10877:安庆绪_恐惧 ; 11229:女鬼恐惧 ; 11255:恐惧
嘲讽 Taunt	-(48),Enmity(22),Normal(3)	-(69),-1(4)	3758030846(70),4294967295(2),4294967294(1)	63(73)	761:嘲讽仇恨置顶 ; 1758:定军的嘲讽 ; 2503:五毒_宠物_蟾毒(嘲讽) ; 2707:归去来棍_嘲讽 ; 2843:NPC战斗技能_DEBUFF_嘲讽 ; 3581:苍山洱海_嘲讽10秒 ; 4059:明教_极乐引_嘲讽 ; 4198:明教_慈悲愿_嘲讽 ; 4247:明教_朝圣言_群体嘲讽 ; 4344:NPC通用_免疫嘲讽
昏睡/眠 Sleep	Stun(12)	6(6),0(6)	1405095936(12)	60(12)	2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2523:五毒_万蛊真解_眠蛊(对NPC) ; 2523:五毒_万蛊真解_眠蛊(对NPC) ; 2523:五毒_万蛊真解_眠蛊(对NPC) ; 2523:五毒_万蛊真解_眠蛊(对NPC)
