DecayType	Name	DecayFrame	ImmunityFrame	Seconds	BuffCount	ExampleBuffs	Notes
0	击晕	160	160	10.0	140	533:天霜粉 ; 567:五蕴皆空1 ; 567:智拳印段1 ; 567:智拳印段1 ; 567:五蕴皆空1 ; 568:五蕴皆空2 ; 568:五蕴皆空2 ; 568:智拳印段2 ; 568:五蕴皆空2 ; 569:五蕴皆空3 ; 569:智拳印段3 ; 569:智拳印段3	DecayFrame=ImmunityFrame for all rows
1	冰环	160	160	10.0	51	558:三才化生 ; 558:三才化生 ; 558:三才化生 ; 558:三才化生 ; 558:三才化生 ; 679:影痕 ; 706:云裳心经_止水_冰环 ; 2289:五方行尽 ; 2289:五方行尽 ; 2289:五方行尽 ; 2289:五方行尽 ; 2289:五方行尽	DecayFrame=ImmunityFrame for all rows
2	定身	160	160	10.0	102	554:大道无术 ; 554:大道无术 ; 554:大道无术 ; 554:大道无术 ; 554:大道无术 ; 675:芙蓉并蒂-定身 ; 675:芙蓉并蒂-定身 ; 675:芙蓉并蒂-定身 ; 675:芙蓉并蒂-定身 ; 685:傍花随柳-定身 ; 686:帝骖龙翔 ; 686:帝骖龙翔	DecayFrame=ImmunityFrame for all rows
3	七星拱瑞	320	320	20.0	27	556:七星拱瑞 ; 556:七星拱瑞 ; 556:七星拱瑞 ; 556:七星拱瑞 ; 556:七星拱瑞 ; 852:七星拱瑞_player ; 2832:镇派_七星拱瑞_npc1 ; 2832:镇派_七星拱瑞_npc1 ; 2832:镇派_七星拱瑞_npc1 ; 2832:镇派_七星拱瑞_npc1 ; 2832:镇派_七星拱瑞_npc1 ; 2833:镇派_七星拱瑞_player1	DecayFrame=ImmunityFrame for all rows
4	雷霆震怒	320	320	20.0	5	682:雷霆震怒 ; 682:雷霆震怒 ; 682:雷霆震怒 ; 682:雷霆震怒 ; 682:雷霆震怒	DecayFrame=ImmunityFrame for all rows
5	沉默	160	160	10.0	62	445:少林-沉默 ; 445:少林-沉默 ; 445:少林-沉默 ; 445:少林-沉默 ; 534:止息 ; 534:止息 ; 534:止息 ; 534:止息 ; 534:止息 ; 557:八卦洞玄 ; 557:八卦洞玄 ; 557:八卦洞玄	DecayFrame=ImmunityFrame for all rows
6	眠蛊	160	160	10.0	6	2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player) ; 2522:五毒_万蛊真解_眠蛊(对Player)	DecayFrame=ImmunityFrame for all rows
7	迷神钉	160	160	10.0	7	3224:唐门_迷神钉 ; 3224:唐门_迷神钉_前3秒不被打醒 ; 3224:唐门_迷神钉_后3秒无递减 ; 4871:明教_无明魂锁 ; 4871:明教_无明魂锁_不可选中 ; 9756:无名魂锁_玩家减半 ; 9757:无名魂锁_50%以上气血不会打醒	DecayFrame=ImmunityFrame for all rows
8	短暂锁足	96	96	6.0	12	749:紫霞功_定身 ; 1931:吐故纳新_锁足 ; 1936:绛唇珠袖_定身 ; 2799:七秀_袖手_鹊踏枝闪避后效果 ; 4020:明教_幽月轮_第三下锁足 ; 5650:纯阳_90级奇穴_万剑归宗2秒 ; 5694:万花_太阴指锁足 ; 5764:五毒_百足_锁足 ; 18426:连极阵锁足 ; 20809:长生AOE锁足 ; 30485:飞鸾动羽控制 ; 51858:绝境_丐帮锁足	DecayFrame=ImmunityFrame for all rows
9	恐惧	160	160	10.0	1	27038:万灵山庄_恐惧	DecayFrame=ImmunityFrame for all rows
-1	(none)	-	-	-	1316	ID=101 策划默认项	no DR
