Keyword	ID	Name	FunctionType	DecayType	MoveStateMask	MoveStateMask2	MapBanMask	MapInvalidMask	BeginAttrib1	BeginValue1A	Count	Interval	MaxStackNum	ScriptFile
减疗	2662	帮会_擂台_减疗伤成效			3758030846	63					1	2880	1	
减疗	9420	3号_游击_攻其无备_定身减疗			3758030846	63		0	atSilenceAll		1	0	1	
减疗	9514	楚济_减疗40%			3758030846	63		0	atBeTherapyCoefficient	-461	1	32	1	
减疗	9694	清绝影歌_npc_40%减疗			3758030846	63		0	atBeTherapyCoefficient	-512	1	480	1	
减疗	10243	盾击减疗实际效果			3758030846	63		0	atBeTherapyCoefficient	-307	1	192	1	苍云/套路及子技能/减料效果被顶替掉.lua
减疗	10646	2号_柳绯君_问情_减疗禁魔禁轻功			3758030847	63		0	atPullRate	-2048	1	36000	1	
减疗	10850	绿林_陷阱减速减疗	Damage		3758030846	63		264	atMoveSpeedPercent	-512	3	80	1	
减疗	10893	2号_哥舒翰_落枪_减疗			3758030846	63		0	atBeTherapyCoefficient	-205	1	36000	1	
减疗	12283	生太极吞日月加减疗被动计数			4294967294	63		0			1	320	4	
减疗	12423	2号_致命穿刺减疗			3758030846	63		0	atBeTherapyCoefficient	-512	1	16	1	
减疗	15033	MOBA减疗			3758030846	63			atBeTherapyCoefficient	-512	1	48	1	
减疗	15103	MOBA减疗装备			3758030846	63		0	atSkillEventHandler	1670	1	160	1	
减疗	15531	血覆黄泉减疗效果BUFF			3758030846	63			atBeTherapyCoefficient	-307	1	320	1	
减疗	15551	时辰_减疗			4294967295	63	0	0	atBeTherapyCoefficient	-102	1	0	10	
减疗	15661	通用_减疗			4294967295	63	0	0	atBeTherapyCoefficient	-10	1	0	100	
减疗	15692	食物免疫效果_减疗			3758030846	63	0	0			1	4800	1	
减疗	15774	内功boss通用减疗			3758030846	63		0	atBeTherapyCoefficient	-51	1	960	50	
减疗	16664	剑纯实际减疗效果			3758030846	63			atBeTherapyCoefficient	-102	1	192	1	
减疗	16665	延迟处理减疗添加			3758030846	63		0			1	3	1	纯阳/套路及子技能/延迟删表现buff.lua
减疗	16967	新苍云特殊武器_减疗			3758030846	63		0	atBeTherapyCoefficient	-5	1	16	100	
减疗	17200	内功通用不脱战减疗			3758030846	63		0	atBeTherapyCoefficient	-51	1	960	50	
减疗	17644	竞技场55机器人减疗修正			3758030846	63		0	atBeTherapyCoefficient	-51	1	16	10	
减疗	18004	持续减疗效果			3758030846	63			atBeTherapyCoefficient	-461	1	240	1	
减疗	18038	减疗免疫			3758030846	63					1	384	1	
减疗	18262	4号_特殊减疗			3758030846	63		0	atBeTherapyCoefficient	-205	60	16	99	
减疗	18333	周边_受伤的万花弟子减疗			3758030846	63		0	atBeTherapyCoefficient	-51	1	960	50	
减疗	18823	伪·万剑归宗减疗			3758030846	63			atBeTherapyCoefficient	-205	1	240	1	
减疗	19968	修罗僧_P1_减疗			3758030846	63		0	atBeTherapyCoefficient	-51	1	0	100	
减疗	21831	用于NPC延迟删除减疗表现			3758030846	63					1	2	1	纯阳/NPC减疗被转移处理.lua
减疗	21977	系统_精神对应减疗			4294967294	63		0	atBeTherapyCoefficient	-10	1	0	100	
减疗	23642	1号_吴添明_狂刀势·问心_减疗			3758030846	63		0	atBeTherapyCoefficient	-102	1	160	1	
减疗	24019	选牌系统_免除易伤和减疗			3758096382	63		0			1	16	1	
减疗	24223	减疗减盾吸收			3758030846	63			atBeTherapyCoefficient	-512	1	16	1	
减疗	24306	[24306]共潮生减疗debuff			3758030846	63		0	atAllDamageAddPercent	-25	1	8	24	
减疗	24324	苍云_分山劲_决死减疗			3758030846	63		0	atBeTherapyCoefficient	-307	1	48	1	
减疗	24477	绿涤实际减疗			3758030846	63		0	atBeTherapyCoefficient	-512	8	16	1	
减疗	24838	左旋右转减疗标记			3758030846	63		0			1	96	1	
减疗	24854	6号_李重茂_恨_减疗效果			3758096382	63		0	atBeTherapyCoefficient	-51	1	0	200	
减疗	25359	开山将减疗			3758030846	63		0	atBeTherapyCoefficient	-205	1	320	3	
减疗	26477	NPC精神减疗			4294967294	63		0	atBeTherapyCoefficient	-10	1	0	100	
减疗	26950	6号_月泉淮_月泉淮月崩击分身减疗			3758030846	63	0	0	atBeTherapyCoefficient	-102	8	16	10	
减疗	27053	万灵山庄_召唤兽减疗			3758030846	63	0	0	atBeTherapyCoefficient	-512	10	16	1	
减疗	29244	百会_爆绝脉减疗			3758030846	63	0	0	atBeTherapyCoefficient	-51	1	192	15	
减疗	30427	丐帮减疗			3758030846	63			atBeTherapyCoefficient	-563	1	16	1	
减疗	30478	不愧君减疗			3758030846	63		0	atBeTherapyCoefficient	-512	16	16	1	
减疗	31700	奇穴_勾线减疗			3758030846	63		0	atBeTherapyCoefficient	-512	1	48	1	
减疗	31920	寻宝_道具减疗			3758030846	63	0	0	atBeTherapyCoefficient	-460	1	16	99	
减疗	31931	流血战狼减疗			3758030846	63			atBeTherapyCoefficient	-307	9	16	1	
减疗	32138	提线减疗			3758030846	63		0	atBeTherapyCoefficient	-614	1	96	1	
减疗	32623	雪山温泉_沈舟客_减疗			3758030846	63		0	atBeTherapyCoefficient	-512	20	16	1	
减疗	33281	水领域减疗			3758030846	63	0	0	atBeTherapyCoefficient	-205	1	16	1	
减疗	33421	木_木灵珠减疗			3758030846	63	0	0	atBeTherapyCoefficient	-102	20	16	1	
减疗	33459	土遁_减疗			3758030846	63	0	0	atBeTherapyCoefficient	-614	1	160	1	
减疗	33527	5号_唐怀仁_落星炙炎减疗			3758030846	63	0	0	atBeTherapyCoefficient	-819	1	20	1	
减疗	51331	穿心弩减疗	Normal	-1	4294901758	7	0		atBeTherapyCoefficient	-512	6	48	1	
禁疗	9172	禁疗第一次标记			3758030846	63		0			1	128	1	
禁疗	9173	禁疗第二次标记			3758030846	63		0			1	128	1	
禁疗	9174	生息禁疗延迟buff			3758030846	63		0			1	4	3	万花\万花_三dot_被驱散禁疗.lua
