SkillID	Level	Name	Desc
3108	0	天绝地灭	陷阱技。消耗30点神机值和一个机关，在目标点投掷一个“天绝地灭”陷阱，持续15秒。\n“天绝地灭”陷阱：1.5秒后激活，并在6尺范围内首次出现敌方目标时触发。\n“天绝地灭”触发：立即将范围内至多4个目标拉扯至中心并使其锁足5秒，并在15秒内每3秒对范围内至多4个目标造成<SUB 36502 0>毒性内功伤害。同时命中多名侠士目标时伤害递减至多50%。<TALENT 6493 1 目标数量降低3个，持续时间降低6秒，命中已命中目标后额外触发一次<SUB 36633 0>伤害，若该目标为非侠士目标则伤害提高200%><TALENT 6492 1 伤害提高10%，调息时间降低5秒><TALENT 21961 1 持续效果全部失效，持续时间固定9秒，期间可以被二段招式引爆并造成伤害。将“天绝地灭”周围范围内最多3个敌方目标和自身除“千机变”、“飞星遁影”以外的机关拉扯到“天绝地灭”所在点，并且延长10秒被拉扯机关持续时间。“天绝地灭”初始状态可牵引8尺范围目标，每过1秒拉扯范围增大1尺，最大拉扯范围15尺><EnchantID 10069 “天绝地灭”机关持续时间延长15秒，每命中一个目标，使自身回复20点神机值，最多回复40点><TALENT 33134 1 每存在一个“暗藏杀机”提高20%“天绝地灭”造成的伤害><TALENT 42474 1 黑云翻墨><TALENT 42477 1 林寒涧肃>
3111	0	暗藏杀机	陷阱技。消耗一个机关，在目标点投掷一个“暗藏杀机”陷阱，持续60秒。场上至多同时存在3个自身的“暗藏杀机”陷阱。\n“暗藏杀机”陷阱：1.5秒后激活并隐匿，并在6尺范围内首次出现敌方目标时触发。\n“暗藏杀机”触发：对6尺内至多4个目标造成<SUB 3313 0>毒性内功伤害和一次破招伤害，并使其锁足5秒。同一侠士目标0.75秒内受到多个“暗藏杀机”伤害递减50%，至多叠加2层。<TALENT 3289 1 伤害提高2%><TALENT 3289 2 伤害提高4%><TALENT 3289 3 伤害提高6%><EnchantID 10070 暗藏杀机一次可施展3个机关，图穷匕见调息时间增加至15秒，每引爆一个机关，使目标受到的毒性内功伤害增加2%，使自身每秒回复2点神机值，可叠加3层，持续24秒。><TALENT 6504 1 引爆“暗藏杀机”时击退周围最多4名敌对目标10尺，“千机变·连弩”或“千机变·重弩”会对锁定攻击的目标追加一发“震爆弹”，对其造成<SUB 38882 1>毒性内功伤害并击退10尺。“暗藏杀机”或“震爆弹”命中玩家后“暗藏杀机”调息时间提高至16秒><TALENT 33134 1 每存在一个“千机变”提高30%“暗藏杀机”造成的伤害><TALENT 42473 1 鬼斧备弹><TALENT 42476 1 暗藏击倒><TALENT 42475 1 尽刑彻毒>
3115	0	荆天棘地	消耗15点神机值，对目标发射一个荆棘机关，使其受到<SUB 3220 0>外功伤害或<SUB 3221 0>毒性内功伤害，并使周围最多5个目标获得“荆天棘地”效果：外功命中降低100%，内功造成伤害降低100%，持续<BUFF 3215 0 time>。外功命中降低，内功造成伤害降低效果每秒递减10%。
16621	0	坚壁清野	金屏体态下方可施展，消耗10点气劲，在自身前方20尺劈出三道刀气，对触碰到的10个目标最低造成<SUB 16787 0>外功伤害，最高造成<SUB 16791 0>外功伤害，目标气血百分比越低，伤害越高，并残留10秒刀气区域，每秒造成<SUB 16794 0>外功伤害，同时命中多个玩家时伤害递减，最多递减50%。<TALENT 16807 1 调息时间降低10秒，不再附带持续伤害效果，首次伤害提高40%并附带4秒锁足效果><TALENT 16906 1 范围伤害每跳有15%几率触发“坚壁清野”二段技能，施展后立刻对区域内最多10名敌对目标造成大量伤害><TALENT 16912 1 “坚壁清野”刀气残留时间增加5秒，对目标造成5次“坚壁清野”伤害后使目标定身3秒。“雪絮金屏”体态下施展伤害招式命中处于自身“坚壁清野”区域内的敌对目标，招式会心几率提高20%，会心效果提高20%>
18333	0	风来吴山	消耗50点剑气，挥舞重剑使原地产生剑芒，剑芒持续期间每0.5秒对周围10尺内的最多10个目标造成<SUB 18991 0>外功伤害，伤害每跳递增10%，最多递增5次。同时命中多个玩家时则伤害递减，最多递减50%，共造成16次伤害。<TALENT 5963 1 连续命中目标5次后则会将目标武器卷飞，使目标无法使用武器，持续2秒><TALENT 14600 1 会心几率提高10%，会心效果提高10%><TALENT 6542 1 在地面施展“风来吴山”时，每命中一个目标减少5秒调息时间并恢复自身3%气血最大值，该效果最多作用6次。若施展时周围20尺内敌对侠士目标少于等于5人，该效果可额外作用4次><TALENT 6548 1 不再消耗剑气，每命中一个目标回复5点剑气并使目标移动速度降低30%，持续5秒。该效果每累计回复10点剑气，可使下一次施展其余“灵峰剑式”伤害提高30%，该效果最多叠加4层，持续9秒><TALENT 2756 1 使周围目标多承受2次伤害><TALENT 2756 2 使周围目标多承受4次伤害><EnchantID 10104 “风来吴山”若命中单一目标则使下一跳伤害提高5%><TALENT 5957 1 伤害提高10%><TALENT 18683 1 每施展招式成功定身、眩晕目标，“风来吴山”调息时间降低3秒>
18668	0	六合独尊	“六合独尊”运功1.5秒之后，在目标点形成“八方剑域”效果，区域内最多6个目标每0.6秒受到<SUB 18670 31>混元性内功伤害，并降低80%移动速度，“八方剑域”持续3秒，同时命中多个玩家时则伤害递减，最多递减50%。<TALENT 6910 1 目标数量降低3个，伤害提高30%><TALENT 21707 1 范围提高2尺，目标数量提高2个，会心命中一个目标则获得一柄“气剑”><TALENT 5826 1 每命中一个目标回复半格气，命中目标3次后，目标锁足2秒><TALENT 2672 3 招式命中目标后有10%几率使目标锁足2秒，若招式会心，则锁足的几率翻倍。若无法成功锁足，则目标还会获得“无形”不利效果><TALENT 2675 1 目标个数提高2个，伤害提高30%><TALENT 2675 2 目标个数提高4个，伤害提高60%><TALENT 5819 1 每次造成伤害，均使下一次伤害效果提高35%><TALENT 38516 1 ><TALENT 36099 1 >
18679	1	浮生	“六合独尊”运功1.5秒之后，在目标点形成“八方剑域”效果，区域内最多6个目标每0.6秒受到<SUB 18670 31>混元性内功伤害，并降低80%移动速度，“八方剑域”持续3秒，同时命中多个玩家时则伤害递减，最多递减50%。
18803	0	千机变·飞天	消耗30点神机值，在目标位置设置一个千机弩。千机弩可以变形成三种形态：1.连弩，1.5秒发射一枚弩箭，25尺攻击范围，对目标造成<SUB 3401 0>毒性内功伤害，持续2分钟。2.重弩，攻速慢，伤害高，2秒发射一枚弩箭，25尺攻击范围，可对目标周围4尺内最多5个敌方目标造成<SUB 3819 0>毒性内功伤害，持续2分钟。3.毒刹，范围伤害，10尺攻击范围，持续8秒，每秒对最多5个敌方目标造成<SUB 3367 0>毒性内功伤害。千机弩最多只能存在一个，同时命中多个玩家时伤害递减，最多递减50%。该招式消耗一个机关。释放“天绝地灭”，引爆每枚“暗藏杀机”时会为千机变注能，满3层注能时，会消耗注能并且下次攻击附带一次破招回复10点神机值。<TALENT 6506 1 位于千机变25尺范围内时，自身基础攻击提高15%><TALENT 6507 1 位于千机变25尺范围内时，自身受到的伤害降低15%且不受到减速效果影响><TALENT 3282 2 千机弩的每次攻击有10%几率使小队成员攻击提高20%，持续6秒><TALENT 6508 1 所有形态伤害提高15%。消耗3发“鬼斧弹药”时获得1发“鬼斧弹药”><TALENT 6778 1 毒刹伤害提高40%且对目标造成伤害后回复自身3%气血最大值，最多每1秒触发一次><TALENT 6495 1 连弩的攻击若会心，则自身毒性内功破防等级提高15%，持续6秒><TALENT 6498 1 重弩的溅射范围增加2尺，累计命中5次，则眩晕目标2秒><TALENT 6890 1 命中带有“化血”效果的目标，有70%几率使“化血”下一跳伤害立即生效><TALENT 25140 1 “连弩”会心几率提高10%，每1秒发射一枚弩箭，伤害变为原来的80%>
18804	0	天绝地灭·飞天	消耗30点神机值，在目标点投掷一个天绝地灭陷阱，每3秒对陷阱周围6尺范围内的最多8个目标造成一次<SUB 3301 0>毒性内功伤害，同时命中多个玩家时伤害递减，最多递减50%。陷阱只能存在15秒；首次踩到机关的人将被锁足，并将周围10尺范围内最多5个目标立即拉扯到机关所在点。该招式消耗一个机关。<TALENT 6493 1 目标数量降低5个，持续时间降低6秒，连续命中同一目标时额外造成一次180%“天绝地灭”伤害><TALENT 6492 1 “天绝地灭”神机值消耗降低20点，调息时间降低9秒><TALENT 21961 1 持续效果全部失效，持续时间固定9秒，期间可以被二段招式引爆并造成伤害。将“天绝地灭”周围范围内最多五个敌方目标和自身除“千机变”、“飞星遁影”以外的机关拉扯到“天绝地灭”所在点，并且延长10秒被拉扯机关持续时间。“天绝地灭”初始状态可牵引8尺范围目标，每过1秒拉扯范围增大1尺，最大拉扯范围15尺><EnchantID 10069 “天绝地灭”机关持续时间延长15秒，每命中一个目标，使自身回复20点神机值，最多回复40点。><TALENT 28371 1 命中“连弩”攻击的目标后额外造成一次伤害>
28554	0	归潮长生法	被动效果：自身招式造成的威胁值提高30%，百战招式，击破破绽造成的威胁值提高200%，来自不同招式的该被动可以叠加。\n自身施展的紫色招式击破破绽时，会回复自身<MONSTER nSpecialValue2 28554>点耐力。\n当气血值低于10%时，消耗<MONSTER nEnduranceCost 28554>点耐力使自身每秒回复<MONSTER nSpecialValue1 28554>点气血值，回复量与自身剩余精神成正比，持续15秒。该效果每三分钟只能触发一次，10分钟内重复触发，效果递减。\n招式达到三重后，耐力消耗大幅度降低，效果触发时使自身获得大量内功防御和外功防御，持续8秒，8秒后再触发回血，且效果不再递减。\n招式达到三重后，若使用者门派为七秀、长歌，效果触发时会额外卸除自身阳性、阴性不利效果各一个。\n招式到达五重后，招式可主动释放。消耗耐力提高自身气血值上限，同时降低自身被红色、蓝色技能造成会心的概率和被会心后的伤害，效果和自身御劲等级相关，持续10秒；并额外获得30秒“因陀罗气劲”。
