SkillID	Level	Name	Desc
136	0	水月无间	恢复20点墨意。10秒内若墨意高于20，使任意伤害或疗伤招式无需运功并消耗20墨意。同时自身获得“布散”气劲，使招式造成的威胁降低80%，混元内功基础攻击力和基础疗伤成效提高30%，持续10秒。并使自身免疫控制(击退和被拉除外)，持续6秒。<TALENT 14641 1 “布散”效果持续时间额外增加10秒，持续期间自身受到治疗提高20%><TALENT 2639 1 施展后恢复自身5%内力最大值><TALENT 2639 2 施展后恢复自身10%内力最大值><TALENT 5796 1 “水月无间”额外使2个招式无需运功，并立刻回复自身10%内力值><TALENT 21265 1 “水月无间”变为两层充能招式，立刻回复自身10%内力值，墨意上限提高至100点，并额外恢复40墨意><TALENT 5784 1 免疫控制效果持续时间延长至6秒。期间使自身免疫缴械和无法运功效果的影响，且运功不会被打断><TALENT 24907 1 “布散”效果持续期间，每次受到伤害时，消耗0.4%内力以格挡自身最大气血值1%的伤害值；施展疗伤技能额外消耗1%的内力，额外使其回复<SUB 25897 1>气血值。只在内力值高于30%时生效><TALENT 30737 1 释放后使自身获得5层“挥毫墨意”效果，加速提升15%。每次释放混元伤害技能将消耗一层并书写文字，当书写结束后将激活二段技能“翰墨永誓”：使目标无法受到伤害、治疗及平衡血量效果，持续8秒，该状态将在目标被“阳明指”“玉石俱焚”造成伤害之前结束。对友方施展时持续时间减半><TALENT 34583 1 施展“水月无间”时将挥洒墨圈对自身周围10尺范围最多5个侠士目标造成混元内功伤害，并沾染上墨滴，持续6秒。沾染上墨滴的目标施展招式命中目标几率降低60%><TALENT 37065 1 变为两层充能招式，充能时间50秒。“水月无间”免控效果期间，使自身免疫缴械和无法运功效果的影响，且运功不会被打断><TALENT 44481 1 >
574	0	蝶弄足	使自身移动速度提高55%，持续15秒，解除自身减速、锁足状态并使自身免疫控制效果，持续3秒。<TALENT 6572 1 充能时间降低20秒，施展后在免控期间激活二段招式：向前疾奔30尺，使路径上的10个目标附带“急曲”效果><TALENT 6575 1 免疫控制效果(被拉除外)时间额外增加2秒，使周围8尺的小队成员也获得8秒“迅影”效果。自身“迅影”持续期间，受到的“锁足”“定身”“眩晕”“击倒”控制效果持续时间降低20%><TALENT 35980 1 “蝶弄足”调息时间降低15秒，免控时间增加3秒，并使下一个“江海凝光”引爆“急曲”时根据层数造成额外伤害><TALENT 40130 1 充能时间降低20秒，免疫控制效果时间额外增加2秒，施展后在免控期间激活二段招式：向前疾奔30尺，回复自身10%气血>
6572	1	耐夜	“蝶弄足”充能时间降低35秒，免控时间延长2秒，并使下一个“江海凝光”引爆“急曲”时根据层数造成额外伤害，免控期间可激活二段招式：向前疾奔30尺，使路径上的10个目标附带“急曲”效果。
15165	1	二业依缘	使自身在“袈裟”“伏魔”状态下切换。\n“袈裟”状态：受到伤害降低10%，受到治疗效果提高10%，受到控制效果时获得<NounID 88>。“伏魔”状态：移动速度提高10%，自身伤害提高15%，威胁值降低20%。从“袈裟”状态切换为“伏魔”状态时，会获得持续15秒的免控效果（击退和被拉除外），每拥有1层<NounID 88>，该时长减少1.5秒。<TALENT 26762 1 在“袈裟”“伏魔”状态下切换将免疫控制效果（击退和被拉除外）持续3秒><TALENT 32651 1 “二业依缘”调息时间调整为60秒。切换“袈裟”状态后，下一次施展“守缺式”“横扫六合”无调息，施展后重置“二业依缘”调息时间，获得“业因”。切换“伏魔”时将“业因”转化为4层“果报”。每次施展“韦陀献杵”“拿云式”时消耗一层“果报”并且额外回复一点禅那，“业因”为“守缺式”则招式对非侠士目标造成额外伤害，“业因”为“横扫六合”时招式对非侠士目标造成范围伤害><TALENT 38957 1 “伏魔”状态下造成伤害无视目标60%内功防御><TALENT 42406 1 >
15166	1	二业依缘	使自身在“袈裟”“伏魔”状态下切换。\n“袈裟”状态：受到伤害降低10%，受到治疗效果提高10%，受到控制效果时获得<NounID 88>。“伏魔”状态：移动速度提高10%，自身伤害提高15%，威胁值降低20%。从“袈裟”状态切换为“伏魔”状态时，会获得持续15秒的免控效果（击退和被拉除外），每拥有1层<NounID 88>，该时长减少1.5秒。<TALENT 26762 1 在“袈裟”“伏魔”状态下切换将免疫控制效果（击退和被拉除外）持续3秒><TALENT 32651 1 “二业依缘”调息时间调整为45秒。切换“袈裟”状态后，下一次施展“守缺式”“横扫六合”无调息，施展后重置“二业依缘”调息时间，获得“业因”。切换“伏魔”时将“业因”转化为4层“果报”。每次施展“韦陀献杵”“拿云式”时消耗一层“果报”并且额外回复一点禅那，“业因”为“守缺式”则招式对非侠士目标造成额外伤害，“业因”为“横扫六合”时招式对非侠士目标造成范围伤害><TALENT 38957 1 “伏魔”状态下造成伤害无视目标60%内功防御>
18555	0	疾	门派轻功，向前冲刺，并对处于冲刺路径上的最多5名敌人造成<SUB 18556 0>外功伤害，并击倒目标2秒。<TALENT 5661 1 使冲刺路径上的目标眩晕2秒><TALENT 5685 1 命中目标降低自身“沧月”5秒调息时间，恢复自身5点战意><TALENT 18557 1 调息时间降低5秒且可以在马上施展，马上施展会击倒冲刺路径上的5个目标2秒并造成外功伤害，施展“任驰骋”会重置“疾”的调息时间><TALENT 24901 1 施展“疾”使得自身接下来一个“突”施展距离提高7尺，附带眩晕时间增加1秒，与目标距离每增加10尺，突的免控时间增加1秒>
19828	0	浮游天地	解除自身减速和锁足效果，蓄力快速跃起对6尺范围内的最多6个敌对目标造成200%武器伤害外加1段外功伤害，随后进入撑伞浮空状态并使自身2秒内免疫控制，15秒内基础攻击力提高10%。若自身距离地面高于20尺则不再跃起，非战斗状态下使用返还全额调息时间（每10秒最多触发1次），撑伞浮空持续30秒。施展后重置“碧海缥缈掌”套路招式调息时间。<TALENT 20351 1 变为2层充能招式，充能时间20秒。施展后重置“碧海缥缈掌”套路招式调息时间。><TALENT 20370 1 施展后无视目标50%外功防御，持续10秒><TALENT 20696 1 施展后3秒内，在半径20尺区域内施展“逸尘步虚”不消耗充能次数，此效果不在李渡鬼域、绝境战场等场景生效><TALENT 20756 1 伤害提高20%，挑起范围目标><TALENT 20701 1 在自身“驰风震域”的浪潮中施展“浮游天地”后，会生成“振翅图南”的飓风，持续5秒><TALENT 30912 1 “物化天行”移动至目标位置所需的时间降低，施展“浮游天地”后获得5秒内额外施展一次“物化天行”的机会><TALENT 38668 1 “浮游天地”使自身攻击力提高20%，持续15秒><TALENT 20718 1 “浮游天地”调息时间提高10秒，撑伞状态结束后获得免控，持续7秒。><TALENT 32594 1 >
20049	0	物化天行	2层充能招式，需持伞浮空姿态方可使用，自身荡至目标点位置，过程中若施展【碧海缥缈掌】招式则自身滞留并免控1秒，可手动释放二段招式再次借力撑伞进入撑伞浮空，若1秒内不施展招式则自动回到撑伞浮空，并免控1秒。<TALENT 20348 1 “物化天行”过程中施展“碧海缥缈掌”套路下伤害技能降低“定波砥澜”“浮游天地”1秒调息时间><TALENT 20695 1 变为3层充能招式，施展后返还“海运南冥”“溟海御波”5秒调息时间><TALENT 20699 1 “物化天行”过程中施展招式伤害提高20%，自身荡至目标点位置会滞留2秒，每次释放技能会延长滞留时间，可手动释放二段技能再次借力撑伞进入浮空状态并免控3秒，若2秒内不施展技能则自动回到撑伞姿态><TALENT 20751 1 8秒内连续对同一目标施展2次物化天行后，使自身外功会心几率提高15%，外功会心效果提高20%，持续8秒，并返还“海运南冥”“溟海御波”5秒调息时间><TALENT 20758 1 “物化天行”过程中自身伤害提高10%，每次使用“碧海飘渺掌”套路招式使自身下一个“跃潮斩波”会心几率提高10%，会心效果提高10%，效果最多叠加5层><TALENT 32488 1 处于非浮空状态下施展三次“碧海飘渺掌”会使得下一次在“物化天行”过程中首次施展“溟海御波”或“海运南冥”招式会返还6秒调息时间，并在自身位置生成4秒的“驰风震域”>
20601	1	鸿渐于飞	获得5秒免控效果，一段冲向目标把目标周围敌对目标挑飞造成100%武器伤害外加<SUB 20605 0>外功伤害，二段击落自身前方目标造成100%武器伤害外加<SUB 20632 0>外功伤害并在目标位置生成4秒的“驰风震域”，三段对前方目标造成100%武器伤害外加<SUB 36417 1>外功伤害，命中倒地状态目标则该次伤害提高50%。
20699	1	溯徊	“物化天行”过程中施展招式伤害提高20%，自身荡至目标点位置会滞留2秒，每次释放招式会延长滞留时间，可手动释放二段招式再次借力撑伞进入浮空状态并免控3秒。若2秒内不施展技能则自动回到撑伞姿态。
