# CoolDownList.tab rows (ID, Duration, MinDuration, note, Usage, MaxCount, MaxDuration, CanBackup, MaxOverDraftCount, CanAccelerate, NeedSyncOB)
16	1.5	0	江湖_技能公共CD	11	1	3		0	0	1
343	80	80	藏剑_灵峰剑式_风来吴山	6	1	80	1	0	1	1
444	2.5	2.5	后跳CD2.5秒	13	1	2.5		0	0	0
503	1	0	明教_技能公共CD	8	1	2	1	0	1	1
590	1.5	0	丐帮按键GCD	7	1	1.5	1	0	1	0
836	0.5	0	隐刀0.5	68	1	0.5	1	0	1	0
938	5	5	表现交互公共CD5秒	13	1	5		0	0	0
1403	2	2	雕系技能公共CD	73	1	2	1	0	1	0
1559	1	1	神机车公共CD	10	1	1	1	0	1	0
2113	20	20	霸刀吸人技能CD	71	1	20	1	3	1	1
2114	0.5	0.5	霸刀吸人保护CD	71	1	0.5	1	0	1	0
2437	1.5	0	擒拿GCD	80	1	3		0	0	0
2502	1.5	1.5	百战通用gcd	11	1	1.5		0	0	0
2617	60	60	洱海绝境_飞爪	0	3	60	0	0	0	0
2989	45	45	绝境楚河汉界40秒调息	46	3	45	1	0	1	1
3086	1.25	1.25	烟雨行保护CD	11	1	1.25	1	0	1	0
