script	school	kind	fields_json	levels_json	calls	attrs
Default.lua		plain	{}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
Carrier\神机台_扫射低伤.lua	Carrier	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "35 * LENGTH_BASE", "nAngleRange": "64", "nAreaRadius": "35 * LENGTH_BASE", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.5", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.5", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.6", "nDamageRand": "0", "nCostMana": "0"}]		CALL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE_RAND
Carrier\神机台_扫射低火伤.lua	Carrier	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "35 * LENGTH_BASE", "nAngleRange": "64", "nAreaRadius": "35 * LENGTH_BASE", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.5", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.5", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.6", "nDamageRand": "0", "nCostMana": "0"}]		CALL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE_RAND
Carrier\神机台_扫射高伤.lua	Carrier	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "35 * LENGTH_BASE", "nAngleRange": "64", "nAreaRadius": "35 * LENGTH_BASE", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 2", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 2", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 2.1", "nDamageRand": "0", "nCostMana": "0"}]		CALL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE_RAND
Carrier\神机台_扫射高火伤.lua	Carrier	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "35 * LENGTH_BASE", "nAngleRange": "64", "nAreaRadius": "35 * LENGTH_BASE", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 1.1", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 2", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 2", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "nDamageStandard * 2.1", "nDamageRand": "0", "nCostMana": "0"}]		CALL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE;SKILL_ADAPTIVE_DAMAGE_RAND
Carrier\神机台_穿心弩.lua	Carrier	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "64", "nAreaRadius": "35 * LENGTH_BASE", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]	SetNormalCoolDown(1, 723)	EXECUTE_SCRIPT
include\21年10月新boss伤害data.lua	include	bytecode	{}	[]		
item\橙武_易筋经_韦陀献杵回豆.lua	item	plain	{"nMaxRadius": "25 * LENGTH_BASE", "nAngleRange": "256"}	[]		ACCUMULATE
item\橙武_花间游_重置花语酥心.lua	item	plain	{"nMaxRadius": "10 * LENGTH_BASE", "nAngleRange": "256"}	[]	SetCheckCoolDown(1, 444)	CLEAR_COOL_DOWN
item\真药（万花）.lua	item	bytecode	{}	[]		bIgnorePrepareState;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
