direction	name	protocol_id	size_bytes	payload_shape	evidence	confidence	notes
C2S	KPlayerClient::DoCharacterSkill	0x1B	0x1D (29)	hdr + u32@0xB + u8@0xF + u8@0x10(status) + u32@0x11 + u32@0x15 + u8@0x19	proof/pvp/netcode/disasm/KPlayerClient__DoCharacterSkill.txt (fn 0x180170B30; mov eax,0x1b @0x180170B52; mov r8d,0x1d @0x180170C04)	HIGH id/size; MED fields	Character (incl. NPC) skill action; status byte set to 2/3/4/5 by arg checks
C2S	KPlayerClient::DoCastProfessionSkill	0x49	0x20 (32)	hdr + u32@0xB + u32@0xF + u8@0x13 + u32@0x14 + u32@0x18 + u32@0x1C	proof/pvp/netcode/disasm/KPlayerClient__DoCastProfessionSkill.txt (fn 0x180170270; mov eax,0x49 @0x1801702CB; r8d=0x20 @0x1801703B4)	HIGH id/size; MED fields	Primary player cast intent (profession skill); 4 dwords + 1 byte
C2S	KPlayerClient::DoCastHoardSkill	0x104	0x1F (31)	hdr + u32@0xB + u32@0xF + u32@0x13 + u32@0x17 + u32@0x1B	proof/pvp/netcode/disasm/KPlayerClient__DoCastHoardSkill.txt (fn 0x1801701C0; mov eax,0x104 @0x1801701D3; r8d=0x1F @0x1801701FD)	HIGH id/size; MED fields	Hoard (蓄力/store) skill execution: 5 dwords after header
C2S	KPlayerClient::DoStartHoardSkill	0x103	0x21 (33)	hdr + u32@0xB + u8@0xF + u32@0x10 + u8@0x14(status) + u32@0x15 + u32@0x19 + u8@0x1D	proof/pvp/netcode/disasm/KPlayerClient__DoStartHoardSkill.txt (fn 0x18017A6C0; mov eax,0x103 @0x18017A6E2; r8d=0x21 @0x18017A79C)	HIGH id/size; MED fields	Start hoard/charge; mirrors DoCharacterSkill shape (status byte)
C2S	KPlayerClient::DoPlayerReviveRequest	0xB9	0xF (15)	hdr + u32@0xB	proof/pvp/netcode/disasm_deep2/KPlayerClient__DoPlayerReviveRequest.txt (fn 0x180176A90; mov eax,0xb9 @0x180176AA3; r8d=0xF @0x180176AB6)	HIGH id/size	Revive request: one u32 (revive type / point id) at +0xB
C2S	KPlayerClient::DoApplyCharacterBuffList	0x20	0xF (15)	hdr + u32@0xB	proof/pvp/netcode/disasm/KPlayerClient__DoApplyCharacterBuffList.txt (fn 0x18016B6F0; mov eax,0x20 @0x18016B736; r8d = eax-0x11 = 0xF @0x18016B749)	HIGH id/size	Request/apply buff list for a character (id param)
C2S	KPlayerClient::DoSyncBattlefieldCompetitorSkillCDStateRequest	0x161	0xF (15)	hdr + u32@0xB = [request+8]	proof/pvp/netcode/disasm/KPlayerClient__DoSyncBattlefieldCompetitorSkillCDStateRequest.txt (fn 0x18017AAE0; mov eax,0x161 @0x18017AAF3; r8d=0xF @0x18017AAF8; param from [rdx+8])	HIGH id/size	Subscribe/pull a competitor's skill-CD state (battlefield)
C2S	KPlayerClient::DoCancelSyncBattlefieldCompetitorSkillCDStateRequest	0x162	0xB (11)	hdr only	proof/pvp/netcode/disasm/KPlayerClient__DoCancelSyncBattlefieldCompetitorSkillCDStateRequest.txt (fn 0x1801700A0; mov eax,0x162 @0x1801700B3; r8d=0xB @0x1801700BD)	HIGH	Cancel the competitor CD subscription
C2S	KPlayerClient::DoSyncBattlefieldCompetitorsListRequest	0x164	0xB (11)	hdr only; reader uses [request+9],[request+0xD]	proof/netcode/JX3_PROTOCOL_SPEC.md:35; proof/pvp/netcode/disasm/KPlayerClient__DoSyncBattlefieldCompetitorsListRequest.txt (fn 0x1801A9470; reads [rdx+9],[rdx+0xD])	HIGH id/size (spec)	Pull battlefield competitor base/variable info; 11-byte request per protocol spec
C2S	KPlayerClient::DoSyncOBCompetitorSkillList	0x71	0x3B (59)	hdr + u32@0xB + u32@0xF + u32@0x13 + u32@0x17 + 32B@0x1B + u8@0x3A	proof/pvp/netcode/disasm/KPlayerClient__DoSyncOBCompetitorSkillList.txt xref1 (fn 0x18017B0F0; mov eax,0x71 @0x18017B110; r8d=0x3B @0x18017B161; 0x20B copy at 0x18017B156)	HIGH id/size; MED fields	OB/spectator competitor skill list; 32-byte payload (name/keys)
