Usage	count	inferred_meaning	confidence	sample_rows(ID;Duration;Min;Max;Count;OverDraft;Accel;SyncOB;note)
13	329	系统/道具/交互	MED	1|5|5|5|1|0|0|0|仇杀的CD ;; 3|5|5|5|1|0|0|0|屠杀的CD ;; 35|2|2|2|1|0|0|0|道具CD1
0	319	系统/其他(含加速、配方、活动)	MED	13|10|10|10|1|0|0|0|加速 ;; 129|0.1|0.1|0.1|1|0|0|0|普通配方 ;; 134|120|120|120|1|0|0|0|特殊品1_2分钟
46	317	活动/节日	MED	320|60|60|60|1|0|0|0|元旦活动_掌门送礼 ;; 321|30|30|30|1|0|0|0|元旦活动_五彩球 ;; 357|14400|14400|14400|1|0|0|0|消除传功Debuff_4小时
11	207	江湖/通用(含公共CD、轻功、道具)	MED	8|0.5|0.5|0.5|1|0|1|0|江湖_普通攻击 ;; 12|10|10|10|1|0|1|0|江湖_二段跳CD ;; 14|5|5|5|1|0|1|0|江湖_回风扫叶
12	186	NPC技能	MED	7|2|2|2|1|0|0|0|NPC技能CD ;; 593|5|5|5|1|0|0|0|大明宫_马球_击球CD ;; 594|8|8|8|1|0|0|0|大明宫_马球_冲撞
79	123	康宴别/ACT NPC	MED	2368|0.5|0.5|0.5|1|0|1|0|康宴别轻击一段GCD ;; 2371|0.625|0.625|0.625|1|0|1|0|康宴别轻击二段GCD ;; 2372|0.6875|0.6875|0.6875|1|0|1|0|康宴别轻击三段GCD
9	110	五毒	MED	385|12|12|12|1|0|1|1|五毒_五仙图录_蟾啸 ;; 387|30|30|30|1|0|1|0|宠物公共CD ;; 388|27|27|27|1|0|1|0|圣蝎引
42	102	装备/活动	MED	254|300|300|300|1|0|0|0|天尊赤火 ;; 255|600|600|600|1|0|0|0|武尊玄冰 ;; 314|0.5|0.5|0.5|1|0|0|0|新建装备
69	94	长歌(曲/音域)	MED	873|50|50|50|1|0|1|0|斗室无尘 ;; 874|90|90|90|1|0|1|0|万籁之寂 ;; 875|240|240|240|1|0|1|0|夜引风岚
84	90	绝境战场/奇境寻宝	MED	3153|12|12|12|1|0|1|0|奇境_剑·徵调息时间 ;; 3154|5|5|5|1|0|1|0|奇境_易筋经_韦陀献杵 ;; 3155|15|15|15|1|0|1|0|奇境_不愧君调息时间
10	89	唐门	MED	462|15|15|15|1|0|1|1|孔雀翎 ;; 463|12|12|12|1|0|1|1|追命箭 ;; 464|20|20|20|2|0|1|1|穿心弩
5	85	少林	MED	4|20|20|20|1|0|1|0|少林普渡棍法之拈花献佛CD ;; 5|30|30|30|1|0|1|0|少林洗髓经佛光普照CD ;; 6|30|30|30|1|0|1|0|少林易筋经金刚护体CD
3	84	纯阳	MED	2|5|5|5|1|0|1|0|纯阳_乌龟饲料 ;; 80|15|15|15|1|0|1|1|纯阳-九转归真 ;; 81|29|29|29|1|0|1|1|纯阳_八卦洞玄
4	83	七秀	MED	58|30|30|30|1|0|1|0|七秀_剑器浑脱_龙池乐 ;; 110|120|120|120|1|0|1|1|七秀_剑气浑脱_满堂势 ;; 111|1800|1800|1800|1|0|1|1|七秀_剑气浑脱_心鼓弦
71	79	霸刀(姿态/透支)	MED	1060|0.5|0.5|0.5|1|0|1|0|沉秋风子技能公共CD ;; 1061|6|6|6|1|0|1|0|崩雪潮调息时间 ;; 1062|6|6|6|1|0|1|0|绝沧海调息时间
2	77	万花	MED	18|60|60|60|1|0|1|0|万花自封经脉技能CD ;; 19|60|60|60|1|0|1|0|万花大小截穴技能CD ;; 20|120|120|120|1|0|1|0|万花强化经脉技能
64	77	墨家密殿(活动)	MED	712|1200||2400|1|0|0|0|墨家密殿限时任务 ;; 761|30|30|30|1|0|0|0|道具1 ;; 762|30|30|30|1|0|0|0|道具2
74	77	刀宗(套路)	MED	1580|20|20|20|1|0|1|1|骤雨寒江 ;; 1581|8|8|8|1|0|1|1|金戈回澜 ;; 1582|20|20|20|2|0|1|1|血覆黄泉
30	74	活动/场景交互	MED	2682|5|5|5|1|0|0|0|九老洞_画卦象 ;; 2737|60|60|60|1|0|0|0|九老洞_龙须幼苗60秒CD ;; 2738|5|5|5|1|0|0|0|九老洞_增益道具5秒CD
78	70	北天药宗	MED	2012|10|10|10|1|0|1|1|银光照雪 ;; 2013|30|30|30|1|0|1|1|惊鸿掠水 ;; 2014|1.5|1.5|1.5|1|0|1|1|钩吻断肠
8	63	明教	MED	503|1|0|2|1|0|1|1|明教_技能公共CD ;; 504|0.5|0.5|0.5|1|0|1|0|明教_幽月轮_三下之间间隔 ;; 505|6|6|6|1|0|1|1|明教_银月斩
1	58	天策	MED	91|2|0|4|1|0|1|1|天策-穿云 ;; 92|3|0|6|1|0|1|0|天策-破风 ;; 93|8|8|8|1|0|1|1|天策-定军
68	58	苍云(盾/刀姿态)	MED	796|1.5|0|1.5|1|0|1|0|劫刀 ;; 797|1|0|2|1|0|1|0|盾刀三段内部CD ;; 798|30|30|30|1|0|1|1|无惧CD
73	56	蓬莱(雕系)	MED	1397|5|5|5|1|0|1|1|木落雁归 ;; 1398|17|17|17|1|0|1|1|浮游天地 ;; 1400|10|10|10|1|0|1|1|湛然若海
25	53	技艺-阅读/抄录	MED	210|3600|3600|3600|1|0|0|0|技艺-阅读绿色CD ;; 211|21600|21600|21600|1|0|0|0|技艺-阅读蓝色CD ;; 212|86400|86400|86400|1|0|0|0|技艺-阅读紫色CD
7	49	丐帮	MED	590|1.5|0|1.5|1|0|1|0|丐帮按键GCD ;; 596|30|30|30|1|0|1|1|蜀犬吠日 ;; 597|20|20|20|1|0|1|1|棒打狗头
6	48	藏剑	MED	332|15|15|15|1|0|1|1|藏剑_秀水剑法_玉虹贯日 ;; 333|1.5|1.5|1.5|1|0|1|1|藏剑_秀水剑法_九溪弥烟 ;; 334|30|30|30|1|0|1|1|藏剑_秀水剑法_玉泉鱼跃
76	48	衍天(占术)	MED	1773|25|25|25|1|0|1|1|占术_起卦CD ;; 1774|0.5|0.5|0.5|1|0|1|0|占术套路公共CD ;; 1775|25|25|25|1|0|1|1|占术_变卦CD
20	45	战场/NPC阵营公共CD	MED	207|15|15|15|1|0|0|0|洛道任务——赶走军马CD ;; 1348|1.5|1.5|1.5|1|0|0|0|战士_大_公共CD ;; 1349|1.5|1.5|1.5|1|0|0|0|战士_小_公共CD
59	37	战场技能(锻打/射箭/暗杀)	MED	628|15|15|15|1|0|0|0|锻打真CD1 ;; 629|15|15|15|1|0|0|0|锻打假CD1 ;; 630|2|2|2|1|0|0|0|射箭CD
75	36	家园/交互状态	MED	1716|3|3|3|1|0|0|0|通用状态切换3s ;; 1717|25|25|25|1|0|0|0|双人床_小动作 ;; 1718|25|25|25|1|0|0|0|书桌_状态切换
82	35	万灵山庄	MED	2676|10|10|10|1|0|1|1|饮羽簇 ;; 2677|10|10|10|1|0|1|1|霖集簇 ;; 2678|4.5|4.5|4.5|1|0|1|1|白羽流星
85	32	百战异闻录(傀儡/空蝉)	MED	3218|30|30|30|1|0|1|1|切人cd ;; 3221|1.5|0|3|1|0|0|0|傀儡gcd ;; 3222|8|8|8|2|0|1|1|傀儡冲刺cd
