ID	Activity	ParentID1	ParentID2	StartTimeRule	Cycle	Duration	ShowUI	ServerScript	CenterScript	IsSyncState
16	战场-神农洇	70		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
18	战场-神农洇	70		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
27	战场-九宫棋谷	71		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
28	战场-九宫棋谷	71		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
31	战场-云湖天池	72		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
41	阵营攻防战（旧版弃用）			Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:13,19;Minute:0;		7200				
44	战场-云湖天池	72		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
45	逐鹿赛隐藏父活动			Calendar:Solar;Year:*;Month:*;MDay:1-7;WDay:1;Hour:20;Minute:30;	0	266400				
46	帮会擂台逐鹿赛	45			86400	7200		scripts\Activity\帮会擂台赛\每日子活动开始.lua		
53	下月逐鹿帖争夺赛		0	Calendar:Solar;Year:2001;Month:1;MDay:1;WDay:1;Hour:7;Minute:20;	0	604800	0	scripts\Activity\帮会擂台赛\每日子活动开始.lua		
70	战场日-神农洇			Calendar:Solar;Year:2019;Month:7;MDay:2;WDay:*;Hour:7;Minute:0;	518400	86400	1			
71	战场日-九宫棋谷			Calendar:Solar;Year:2019;Month:7;MDay:5;WDay:*;Hour:7;Minute:0;	1036800	86400	1			
72	战场日-云湖天池			Calendar:Solar;Year:2019;Month:7;MDay:1;WDay:*;Hour:7;Minute:0;	518400	86400	1			
75	战场日-西风古道			Calendar:Solar;Year:2019;Month:7;MDay:11;WDay:*;Hour:7;Minute:0;	1036800	86400	1			
76	战场-西风古道	75		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
77	战场-西风古道	75		Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
88	阵营战性能统计	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12,18;Minute:0;	0	14400	0	scripts\Activity\CampFightStat.lua		
97	攻防期间南屏昆仑场景处理	0	0	Calendar:Solar;Year:2001;Month:1;MDay:1;WDay:1;Hour:7;Minute:0;			0	scripts\Activity\阵营攻防战\南屏昆仑任务NPC创建.lua		
103	阵营战BOSS击伤个数重置	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6;Hour:0;Minute:0;	0	28800	0		center_scripts\Activity\Camp\CampBossCountReset.lua	
