ID	Name	Useage	BuffType	Level	MaxStackNum	Interval	MapBanMask
2554	任务_竞技场时间控制	54		1	1	640	
3360	唐门_暗藏杀机	7		1	1	12	
3361	唐门_机关隐藏BUFF	7		1	1	0	
3362	唐门密室_小机甲_致伤	30		1	50	160	
3364	茶馆_正在吃茶	51		1	1	160	
3364	茶馆_西山白露	51		2	1	240	
3364	茶馆_顾渚紫笋	51		3	1	240	
3364	茶馆_仙崖石花	51		4	1	240	
3364	茶馆_峨眉白芽	51		5	1	240	
3364	茶馆_蒙顶石花	51		6	1	240	
3365	茶馆_完成次数	51		1	100	960	
3366	茶馆_老板娘的愤怒	51		1	1	960	
3367	茶馆_石头的伪装	51		1	1	0	520
3368	荻花圣殿_9号BOSS_狂蟒之怒_提高消耗	30		1	1	240	
3369	竞技场_删辅助类食品	42		1	1	16	
3370	竞技场_删增强类食品	42		1	1	16	
3371	竞技场_删宴席	42		1	1	16	
3372	竞技场_删辅助类药品	42		1	1	16	
3373	竞技场_删增强类药品	42		1	1	16	
3374	唐门密室_机甲无敌	30		1	1	0	
3375	漩涡_加速加血	62		1	1	16	
3376	唐莲_减伤	62		1	1	0	
3377	唐门_飞星遁影_距离标记	7		1	1	8	
3378	唐门密室_汉唐_浮空	30		1	1	0	
3379	唐门密室_汉唐_定身	30		1	1	0	
3380	唐门密室_柳惊涛_成就	30		1	1	0	
3381	竞技场_战旗A	42		1	1	57600	
3382	PVE套装通用_加10%攻击	39		1	1	96	
3382	PVE套装通用_加10%疗效	39		2	1	96	
3382	PVE套装通用_加10%防御	39		3	1	96	
3383	PVE套装通用_内置CD	39		1	1	96	
3384	美人图活动_影遁	51		1	1	320	
3386	竞技场_战旗B	42		1	1	57600	
3387	竞技场_删撼如雷	42		1	1	16	
3388	竞技场_删清心静气	42		1	1	16	
3389	竞技场_删秀气	42		1	1	16	
3390	竞技场_删雨霖铃	42		1	1	16	
3391	竞技场_删般若诀	42		1	1	16	
3392	竞技场_删药石气劲	42		1	1	16	
3393	竞技场_删BUFF用I	42		1	1	0	
3394	竞技场_删BUFF用I	42		1	1	0	
3395	竞技场_删BUFF用I	42		1	1	0	
3396	竞技场_删BUFF用I	42		1	1	0	
3397	竞技场_删BUFF用I	42		1	1	0	
3398	竞技场_删BUFF用I	42		1	1	0	
3399	唐门_夺魄箭计数	7		1	3	480	
3400	唐门_6下夺魄箭计数	7		1	6	480	
3449	竞技场_标记战阶	42		1	1	16	
3602	竞技场_清内功标记	42		1	1	28800	
3849	竞技场_回蓝回豆	42		1	1	16	
3913	竞技场_删玄水	42		1	1	16	
5015	竞技场_反隐形BUFF	13		1	1	16	
# matched 52 (limit 400)
