ID	Name	Useage	BuffType	Level	MapBanMask	ScriptFile
574	剑冲阴阳_debuff	3		1		纯阳/套路及子技能/减疗被驱散删除实际效果.lua
711	兰摧玉折_DOT	2		1		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		2		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		3		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		4		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		5		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		6		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		7		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		8		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		9		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		10		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		11		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		12		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		13		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		14		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		15		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		16		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		17		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		18		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT	2		19		万花\万花_兰摧玉折_被驱散脚本.lua
711	兰摧玉折_DOT_飞白强化	2		20		万花\万花_兰摧玉折_被驱散脚本.lua
1072	御劲	42		1		
1072	御劲	42		2		
1189	神农洇_战场BOSS_大毒尸_狂暴	44		1		
1260	阵营轻功防止被其他换模换动作Buff叠加用Buff	0		1		
1298	草上飞_浩气盟	11		1		
1299	草上飞_恶人谷	11		1		
1412	屹立不倒回复BUFF	43		1	520	
1444	T增加御劲	39		1		
1444	T增加御劲	39		2		
1444	T增加御劲	39		3		
1455	增加化劲	14		1		
1458	增加御劲	14		1		
1762	阵营BOSS暴怒BUFF	40		1		
1762	阵营BOSS暴怒BUFF	40		2		
1800	藏剑_快剑40级内功_梅隐香增加御劲值	6		1		
1854	藏剑_西子情_梅隐香_香梅(带化劲)	6		1		
1854	藏剑_西子情_梅隐香_香梅(带化劲)	6		2		
1854	藏剑_西子情_梅隐香_香梅(带化劲)	6		3		
1854	藏剑_西子情_梅隐香_香梅(带化劲)	6		4		
1854	藏剑_西子情_梅隐香_香梅(带化劲)	6		5		
1880	25人天王殿_御劲壁垒	30		1		
1880	25人天王殿_御劲壁垒	30		2		
2101	阵营主城_活动总控_计时BUFF	53		1		
2102	阵营主城_玩家_任务BUFF	53		1		
2103	阵营主城_阵营首领_不殆	53		1		
2104	阵营主城_玩家_一触即发	53		1		
2105	阵营主城_玩家_偃旗息鼓	53		1		
2198	铁壁_加20%御劲	39		1		
2199	溃甲_减20%御劲	39		1		
2228	阵营攻防战_若神	53		1		
2230	转阵营CD标记DEBUFF	53		1		
2238	阵营攻防战_玩家_战鼓	53		1		
2538	战阶防刷标记1	53		1		
2539	战阶防刷标记2	53		1		
2540	战阶防刷无积分标记	53		1		
2554	任务_竞技场时间控制	54		1		
2662	帮会_擂台_减疗伤成效	55		1		
2662	帮会_擂台_减疗伤成效	55		2		
2662	帮会_擂台_减疗伤成效	55		3		
3137	碎星辰_气场NPC_攻防战优化	3		1		
3137	碎星辰_气场NPC_攻防战优化	3		2		
3137	碎星辰_气场NPC_攻防战优化	3		3		
3137	碎星辰_气场NPC_攻防战优化	3		4		
3137	碎星辰_气场NPC_攻防战优化	3		5		
3137	碎星辰_气场NPC_攻防战优化	3		6		
3137	碎星辰_气场NPC_攻防战优化	3		7		
3138	生太极_减益_气场NPC_攻防战优化	3		1		
3139	凌太虚_气场NPC_攻防战优化	3		1		
3139	凌太虚_气场NPC_攻防战优化	3		2		
3139	凌太虚_气场NPC_攻防战优化	3		3		
3139	凌太虚_气场NPC_攻防战优化	3		4		
3139	凌太虚_气场NPC_攻防战优化	3		5		
3140	化三清_减益_气场NPC_攻防战优化	3		1		
3141	化三清_增益_气场NPC_攻防战优化	3		1		
3149	战场举报_偷懒耍滑	42		1		
3150	战场举报_内置CD	42		1		
3152	战场举报_被举报的debuff	42		1		
3215	唐门_荆天棘地	7		1		
3224	唐门_迷神钉_后3秒无递减	7		3		
3250	阵营_击杀首领_鼓舞	53		1		
3250	阵营_击杀首领_鼓舞	53		2		
3250	阵营_击杀首领_鼓舞	53		3		
3250	阵营_击杀首领_鼓舞	53		4		
3250	阵营_击杀首领_鼓舞	53		5		
3250	阵营_击杀首领_鼓舞	53		6		
3250	阵营_击杀首领_鼓舞	53		7		
3250	阵营_击杀首领_鼓舞	53		8		
3250	阵营_击杀首领_鼓舞	53		9		
3250	阵营_击杀首领_鼓舞	53		10		
3250	阵营_击杀首领_鼓舞	53		11		
3250	阵营_击杀首领_鼓舞	53		12		
3250	阵营_击杀首领_鼓舞	53		13		
3250	阵营_击杀首领_鼓舞	53		14		
3250	阵营_击杀首领_鼓舞	53		15		
3250	阵营_击杀首领_鼓舞	53		16		
3250	阵营_击杀首领_鼓舞	53		17		
3250	阵营_击杀首领_鼓舞	53		18		
3250	阵营_击杀首领_鼓舞	53		19		
3250	阵营_击杀首领_鼓舞	53		20		
3313	阵营_刷战阶惩罚_伪英雄	53		1		
3369	竞技场_删辅助类食品	42		1		
3370	竞技场_删增强类食品	42		1		
3371	竞技场_删宴席	42		1		
3372	竞技场_删辅助类药品	42		1		
3373	竞技场_删增强类药品	42		1		
3381	竞技场_战旗A	42		1		
3386	竞技场_战旗B	42		1		
3387	竞技场_删撼如雷	42		1		
3388	竞技场_删清心静气	42		1		
3389	竞技场_删秀气	42		1		
3390	竞技场_删雨霖铃	42		1		
3391	竞技场_删般若诀	42		1		
3392	竞技场_删药石气劲	42		1		
3393	竞技场_删BUFF用I	42		1		
3394	竞技场_删BUFF用I	42		1		
3395	竞技场_删BUFF用I	42		1		
3396	竞技场_删BUFF用I	42		1		
3397	竞技场_删BUFF用I	42		1		
3398	竞技场_删BUFF用I	42		1		
3430	增加御劲50点	0		1		
3431	增加化劲50点	0		1		
3434	减御劲50点	0		1		
3435	减化劲50点	0		1		
3449	竞技场_标记战阶	42		1		
3602	竞技场_清内功标记	42		1		
3671	阵营_老玩家回归战阶处理	53		1		
3760	攻防战_无极·御	51		1		
3761	攻防战_无极·战	51		1		
3761	攻防战_无极·战	51		2		
3761	攻防战_无极·战	51		3		
3761	攻防战_无极·战	51		4		
3761	攻防战_无极·战	51		5		
3761	攻防战_无极·战	51		6		
3761	攻防战_无极·战	51		7		
3761	攻防战_无极·战	51		8		
3761	攻防战_无极·战	51		9		
3761	攻防战_无极·战	51		10		
3820	攻防战_无极·怒	51		1		
3837	李林的隐藏buff	51		1		
3849	竞技场_回蓝回豆	42		1		
3872	阵营_参与击杀首领数	53		1		
3873	阵营_无极·殇	53		1		
3895	伟龙419需求执行脚本	51		1		
3913	竞技场_删玄水	42		1		
4037	循环检测3620	51		1		
4122	战场标记	51		1		
4128	攻防标记	51		1		
4303	阵营_载具定身	53		1		
4332	阵营_操作箭弩车	53		1		
4459	明教_贪魔体_实际换模	8		1		
4459	明教_贪魔体_实际换模	8		2		
4759	特殊属性·雷·海纳27600阵营拍卖	39		73		
4759	特殊属性·雷·灭气27600阵营拍卖	39		74		
4759	特殊属性·雷·锐刃27600阵营拍卖	39		75		
4759	特殊属性·雷·御受27600阵营拍卖	39		76		
4761	2300阵营拍卖水·百川	39		22		
4761	2300阵营拍卖水·灭虚	39		23		
4761	2300阵营拍卖水·斩流	39		24		
4761	2300阵营拍卖水·封山	39		25		
5015	竞技场_反隐形BUFF	13		1		
5315	大唐监狱_杀气	55		1		
5384	大唐监狱_屠戮	55		1		
5386	大唐监狱_绝世	55		1		
5388	大唐监狱_灭界	55		1		
5427	大唐监狱_杀气01	55		1		
5512	90级阵营_PQ界面刷新buff	53		1		
5514	90级阵营_保护牛车	53		1		
5529	90级阵营_争夺牛车	53		1		
5531	90级阵营_粮草车	53		1		
5532	90级阵营_粮草车	53		1		
5543	90级阵营_减伤	53		1		
5544	90级阵营_突眩晕	53		1		
5748	90级阵营_无敌定身buff	53		1		
5982	逃兵	42		1		
6135	乱世天策新小怪进战斗	88		1		
6360	2300阵营拍卖腰坠·风·百川	39		31		
6360	2300阵营拍卖腰坠·风·灭虚	39		32		
6360	2300阵营拍卖腰坠·风·斩流	39		33		
6360	2300阵营拍卖腰坠·风·御灵	39		34		
6360	2300阵营拍卖腰坠·风·守山	39		35		
6360	2600阵营拍卖腰坠·风·百川	39		41		
6360	2600阵营拍卖腰坠·风·灭虚	39		42		
6360	2600阵营拍卖腰坠·风·斩流	39		43		
6360	2600阵营拍卖腰坠·风·御灵	39		44		
6360	2600阵营拍卖腰坠·风·守山	39		45		
6360	2940阵营拍卖腰坠·风·百川	39		51		
6360	2940阵营拍卖腰坠·风·灭虚	39		52		
6360	2940阵营拍卖腰坠·风·斩流	39		53		
6360	2940阵营拍卖腰坠·风·御灵	39		54		
6360	2940阵营拍卖腰坠·风·守山	39		55		
6360	3300阵营拍卖腰坠·风·百川	39		61		
6360	3300阵营拍卖腰坠·风·灭虚	39		62		
6360	3300阵营拍卖腰坠·风·斩流	39		63		
6360	3300阵营拍卖腰坠·风·御灵	39		64		
6360	3300阵营拍卖腰坠·风·守山	39		65		
6360	46905140阵营拍卖腰坠·风·百川	39		71		
6360	46905140阵营拍卖腰坠·风·灭虚	39		72		
6360	46905140阵营拍卖腰坠·风·斩流	39		73		
6360	46905140阵营拍卖腰坠·风·御灵	39		74		
6360	46905140阵营拍卖腰坠·风·守山	39		75		
6360	5760阵营拍卖腰坠·风·百川	39		81		
6360	5760阵营拍卖腰坠·风·灭虚	39		82		
6360	5760阵营拍卖腰坠·风·斩流	39		83		
6360	5760阵营拍卖腰坠·风·御灵	39		84		
6360	5760阵营拍卖腰坠·风·守山	39		85		
6360	6430阵营拍卖腰坠·风·百川	39		90		
6360	6430阵营拍卖腰坠·风·灭虚	39		91		
6360	6430阵营拍卖腰坠·风·斩流	39		92		
6360	7500阵营拍卖腰坠·风·百川	39		97		
6360	7500阵营拍卖腰坠·风·灭虚	39		98		
6360	7500阵营拍卖腰坠·风·斩流	39		99		
6360	1130011800阵营拍卖腰坠·风·百川	39		104		
6360	1130011800阵营拍卖腰坠·风·灭虚	39		105		
