ID	Name	Useage	BuffType	Level	MapBanMask	MapInvalidMask	ScriptFile
574	剑冲阴阳_debuff	3		1			纯阳/套路及子技能/减疗被驱散删除实际效果.lua
1189	神农洇_战场BOSS_大毒尸_狂暴	44		1			
1260	阵营轻功防止被其他换模换动作Buff叠加用Buff	0		1			
1298	草上飞_浩气盟	11		1			
1299	草上飞_恶人谷	11		1			
1412	屹立不倒回复BUFF	43		1	520		
1762	阵营BOSS暴怒BUFF	40		1			
2101	阵营主城_活动总控_计时BUFF	53		1			
2102	阵营主城_玩家_任务BUFF	53		1			
2103	阵营主城_阵营首领_不殆	53		1			
2104	阵营主城_玩家_一触即发	53		1			
2105	阵营主城_玩家_偃旗息鼓	53		1			
2228	阵营攻防战_若神	53		1			
2230	转阵营CD标记DEBUFF	53		1			
2238	阵营攻防战_玩家_战鼓	53		1			
2538	战阶防刷标记1	53		1			
2539	战阶防刷标记2	53		1			
2540	战阶防刷无积分标记	53		1			
2554	任务_竞技场时间控制	54		1			
2662	帮会_擂台_减疗伤成效	55		1			
3137	碎星辰_气场NPC_攻防战优化	3		1			
3138	生太极_减益_气场NPC_攻防战优化	3		1			
3139	凌太虚_气场NPC_攻防战优化	3		1			
3140	化三清_减益_气场NPC_攻防战优化	3		1			
3141	化三清_增益_气场NPC_攻防战优化	3		1			
3149	战场举报_偷懒耍滑	42		1			
3150	战场举报_内置CD	42		1			
3152	战场举报_被举报的debuff	42		1			
3250	阵营_击杀首领_鼓舞	53		1			
3313	阵营_刷战阶惩罚_伪英雄	53		1			
3369	竞技场_删辅助类食品	42		1			
3370	竞技场_删增强类食品	42		1			
3371	竞技场_删宴席	42		1			
3372	竞技场_删辅助类药品	42		1			
3373	竞技场_删增强类药品	42		1			
3381	竞技场_战旗A	42		1			
3386	竞技场_战旗B	42		1			
3387	竞技场_删撼如雷	42		1			
3388	竞技场_删清心静气	42		1			
3389	竞技场_删秀气	42		1			
3390	竞技场_删雨霖铃	42		1			
3391	竞技场_删般若诀	42		1			
3392	竞技场_删药石气劲	42		1			
3393	竞技场_删BUFF用I	42		1			
3394	竞技场_删BUFF用I	42		1			
