CATS	ID	Name	DisplayName	Type	MaxCopyCount	MinPlayerCount	MaxPlayerCount	KeepTime	ReviveInSitu	RevieCycle	BanSkillMask	BattleRelationMask	CampType	FightList	NeedCampBuff	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	InvalidBuffMask	BanChangeTalent	CanSprint	QueueForSwitchWhenFull	CampQueue	IsTongWarMap	IsBattlefield	OperationMask	IsTongLeagueMap	bCanPK	bCanDuel	ResourcePath	ScriptFile
CAMPFIGHT,TONGWAR_CAN	9	洛道	洛道	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	data\source\maps\洛道\洛道.jsonmap	
TONGWAR_CAN	10	寇岛	寇岛	0	1	1	1024	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	0					1	1	data\source\maps\寇岛\寇岛.jsonmap	
TONGWAR_CAN	12	枫华谷	枫华谷	0	1	1	1024	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	0					1	1	data\source\maps\枫华谷\枫华谷.jsonmap	
CAMPFIGHT,TONGWAR_CAN	13	金水镇	金水镇	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	1	0	0	1	1	1					1	1	data\source\maps\金水镇\金水镇.jsonmap	
CAMPFIGHT,TONGWAR_CAN	21	巴陵县	巴陵县	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	data\source\maps\巴陵县\巴陵县.jsonmap	
CAMPFIGHT,TONGWAR_CAN	22	南屏山	南屏山	0	1	1	1000	10	1	0	0	0	5	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	data\source\maps\南屏山\南屏山.jsonmap	
CAMPFIGHT,TONGWAR_CAN	23	龙门荒漠	龙门荒漠	0	1	1	1200	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	data\source\maps\龙门荒漠\龙门荒漠.jsonmap	
CAMPFIGHT	25	浩气盟	浩气盟	0	10	1	1400	10	1	0	0	0	5	0	1	0	1	16	1	0	1	0	0	0	1	1	1					0	1	data\source\maps\浩气盟\浩气盟.jsonmap	
CAMPFIGHT	27	恶人谷	恶人谷	0	10	1	1400	10	1	0	0	0	5	0	1	0	1	16	1	0	1	0	0	0	1	1	1					0	1	data\source\maps\恶人谷\恶人谷.jsonmap	
CAMPFIGHT,TONGWAR_CAN	30	昆仑	昆仑	0	1	1	1000	10	1	0	0	0	5	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	data\source\maps\昆仑\昆仑.jsonmap	
CAMPFIGHT,TONGWAR_CAN	35	瞿塘峡	瞿塘峡	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	data\source\maps\瞿塘峡\瞿塘峡.jsonmap	
