CAT	ID	Name	DisplayName	Type	MaxCopyCount	MinPlayerCount	MaxPlayerCount	KeepTime	ReviveInSitu	RevieCycle	BanSkillMask	BattleRelationMask	CampType	FightList	NeedCampBuff	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	InvalidBuffMask	BanChangeTalent	CanSprint	QueueForSwitchWhenFull	CampQueue	IsTongWarMap	IsBattlefield	OperationMask	IsTongLeagueMap	bCanPK	bCanDuel	LimitTimes	ResourcePath	ScriptFile
arena	2	万花	万花	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\万花\万花.jsonmap	
arena	5	少林	少林	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\少林\少林.jsonmap	
arena	6	扬州	扬州	0	1	1	1200	10	1	0	16	0	1	0	0	0	1	16	1	0	0	1	16	0	1	1	0					0	1	0	data\source\maps\扬州\扬州.jsonmap	
arena	7	纯阳	纯阳	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\纯阳\纯阳.jsonmap	
arena	8	洛阳	洛阳	0	1	1	1500	10	1	0	16	0	1	0	0	0	1	16	1	0	0	1	16	0	1	1	0					0	1	0	data\source\maps\洛阳\洛阳.jsonmap	
arena	9	洛道	洛道	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\洛道\洛道.jsonmap	
arena	10	寇岛	寇岛	0	1	1	1024	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	0					1	1	0	data\source\maps\寇岛\寇岛.jsonmap	
arena	11	天策	天策	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\天策\天策.jsonmap	
arena	12	枫华谷	枫华谷	0	1	1	1024	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	0					1	1	0	data\source\maps\枫华谷\枫华谷.jsonmap	
arena	13	金水镇	金水镇	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	1	0	0	1	1	1					1	1	0	data\source\maps\金水镇\金水镇.jsonmap	
arena	15	长安	长安	0	1	1	1500	10	1	0	16	0	1	0	0	0	1	16	1	0	0	1	16	0	1	1	0					0	1	0	data\source\maps\长安\长安.jsonmap	
arena	16	七秀	七秀	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\七秀\七秀.jsonmap	
arena	21	巴陵县	巴陵县	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\巴陵县\巴陵县.jsonmap	
arena	22	南屏山	南屏山	0	1	1	1000	10	1	0	0	0	5	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\南屏山\南屏山.jsonmap	
arena	23	龙门荒漠	龙门荒漠	0	1	1	1200	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\龙门荒漠\龙门荒漠.jsonmap	
arena	25	浩气盟	浩气盟	0	10	1	1400	10	1	0	0	0	5	0	1	0	1	16	1	0	1	0	0	0	1	1	1					0	1	0	data\source\maps\浩气盟\浩气盟.jsonmap	
arena	27	恶人谷	恶人谷	0	10	1	1400	10	1	0	0	0	5	0	1	0	1	16	1	0	1	0	0	0	1	1	1					0	1	0	data\source\maps\恶人谷\恶人谷.jsonmap	
arena	30	昆仑	昆仑	0	1	1	1000	10	1	0	0	0	5	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\昆仑\昆仑.jsonmap	
arena	35	瞿塘峡	瞿塘峡	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\瞿塘峡\瞿塘峡.jsonmap	
arena	49	藏剑山庄	藏剑山庄	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\藏剑山庄\藏剑山庄.jsonmap	
arena	100	白龙口	白龙口	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\白龙口\白龙口.jsonmap	
arena	101	无量山	无量山	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\无量山\无量山.jsonmap	
arena	102	五毒	五毒	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\五毒\五毒.jsonmap	
arena	103	融天岭	融天岭	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\融天岭\融天岭.jsonmap	
arena	104	黑龙沼	黑龙沼	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\黑龙沼\黑龙沼.jsonmap	
arena	105	苍山洱海	苍山洱海	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\苍山洱海\苍山洱海.jsonmap	
arena	108	成都	成都	0	1	1	1200	10	1	0	16	0	1	0	0	0	1	16	1	0	0	1	16	0	1	1	0					0	1	0	data\source\maps\成都\成都.jsonmap	
arena	122	唐门	唐门	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\唐门\唐门.jsonmap	
arena	127	天山碎冰谷	天山碎冰谷	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	0	data\source\maps\天山碎冰谷\天山碎冰谷.jsonmap	
arena	128	乐山大佛窟	乐山大佛窟	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	0	data\source\maps\乐山大佛窟\乐山大佛窟.jsonmap	
arena	129	华山之巅	华山之巅	2	2048	1	1024	2	0	0	8	2	4	0	0	0	0	1	0	1	0	0	8	0	0	1	0			7		0	0	0	data\source\maps\华山之巅\华山之巅.jsonmap	
arena	137	大漠楼兰	大漠楼兰	2	2048	1	1024	2	0	0	8	2	4	1	0	0	0	1	0	1	0	0	8	1	0	1	0			7		0	0	0	data\source\maps\大漠楼兰\大漠楼兰.map	
arena	139	枫华谷_安史之乱	枫华谷·战乱	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	0	0	0	1	1	1					1	1	0	data\source\maps\枫华谷_安史之乱\枫华谷_安史之乱.jsonmap	
arena	150	明教	明教	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					0	1	0	data\source\maps\明教\明教.jsonmap	
arena	151	洛阳_安史之乱	洛阳·战乱	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	1					1	1	0	data\source\maps\洛阳_安史之乱\洛阳_安史之乱.jsonmap	
arena	153	马嵬驿	马嵬驿	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	1	1	0	0	1	1	1					1	1	0	data\source\maps\马嵬驿\马嵬驿.jsonmap	
arena	156	长安_安史之乱	长安·战乱	0	1	1	1800	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	0					1	1	0	data\source\maps\长安_安史之乱\长安_安史之乱.jsonmap	
arena	158	天策_安史之乱	天策·战乱	0	1	1	1800	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	0	0	1	1	0					1	1	0	data\source\maps\天策_安史之乱\天策_安史之乱.jsonmap	
arena	159	丐帮	丐帮	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	131	0	1	1	0					0	1	0	data\source\maps\丐帮\丐帮.jsonmap	
arena	172	长安内城	长安城	0	1	1	1800	10	1	0	16	0	1	0	0	0	1	16	1	0	0	1	16	0	0	1	0					0	1	0	data\source\maps\长安内城\长安内城.jsonmap	
arena	193	苍云	苍云	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	131	0	1	1	0					0	1	0	data\source\maps\苍云\苍云.jsonmap	
arena	194	太原	太原	0	1	1	1000	10	1	0	16	0	1	0	0	0	1	16	1	0	0	1	16	0	1	1	0					0	1	0	data\source\maps\太原\太原.jsonmap	
arena	213	长歌门	长歌门	0	2	1	1500	10	1	0	0	0	1	0	0	0	1	16	1	0	0	0	131	0	1	1	0					0	1	0	data\source\maps\长歌门\长歌门.jsonmap	
arena	214	五台山	五台山	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	1					1	1	0	data\source\maps\五台山\五台山.jsonmap	
arena	215	千岛湖	千岛湖	0	1	1	1000	10	1	0	0	0	4	0	0	1	1	16	1	0	0	0	0	0	1	1	1					1	1	0	data\source\maps\千岛湖\千岛湖.jsonmap	
