SkillName	SkillID	BelongSchool	KindType	FunctionType	MapBanMask	IgnoreCamp
傲血战意_重置疾如风	1830	16	Physics	Normal	8	
铁牢律_重置掠如火	1831	16	Physics	Normal	8	
傲血战意_加buff	1850	16	None	Normal	8	
铁牢律_加buff	1851	16	None	Normal	8	
太虚剑意_加buff	1852	16	None	Normal	8	
紫霞功_加buff	1853	16	None	Normal	8	
易筋经_加buff	1854	16	None	Normal	8	
洗髓经_加buff	1855	16	None	Normal	8	
花间游_加buff	1856	16	None	Normal	8	
离经易道_上春泥	1857	16	NeutralMagic	Normal	8	
冰心诀_加BUFF	1858	16	LunarMagic	Normal	8	
云裳心经_翔莺舞柳AOE	1859	16	LunarMagic	Normal	8	
问水诀_加buff	1881	16	None	Normal	8	
山居剑意_加buff	1882	16	None	Normal	8	
毒经_加BUFF	3065	16	Poison	Normal	8	
补天_治疗AOE	3066	16	Poison	Normal	8	
荻花圣殿_藏剑武器特效_起跳	3352	16	Physics	Normal	8	
荻花圣殿_藏剑武器特效_AOE	3353	16	Physics	Damage	8	
惊羽诀_加BUFF	3476	16	None	Normal	8	
天罗诡道_加BUFF	3477	16	None	Normal	8	
荻花圣殿_少林特殊武器开始读条	4099	16	LunarMagic	Normal	8	
烛龙殿_五毒特殊武器母技能	4111	16	None	Normal	8	
唐门特殊武器_惊羽读条3秒	4131	16	Physics	Normal	8	0
唐门特殊武器_天罗读条4秒	4132	16	Physics	Normal	8	0
雷(2级)	4876	16	None	Normal	8	0
水(2级)	4877	16	None	Normal	8	0
破(2级)	4878	16	None	Normal	8	0
风(2级)	4879	16	None	Normal	8	0
疾减益	4880	16	None	Normal	8	0
疾加血	4881	16	None	Normal	8	0
疾(2级)	4882	16	None	Normal	8	0
橙武_明教dps_加BUFF	4940	16	Physics	Normal	8	
橙武_明教T_加BUFF	4941	16	Physics	Normal	8	
气纯特殊武器_白鹤腾空	5130	16	NeutralMagic	Normal	8	0
剑纯特殊武器_画影残月	5209	16	Physics	Damage	8	0
天策特殊武器_向前冲刺副本内	5215	16	Physics	Normal	8	0
剑纯特殊武器_斩杀小怪用	5218	16	Physics	Damage	8	0
明教特殊武器_非战斗召唤npc	5244	16	LunarMagic	Normal	8	0
剑纯特殊武器_画影残月关卡调用	5248	16	Physics	Damage	8	0
风府	6215	0	None	Normal	8	
百会	6216	0	None	Normal	8	
外丘	6217	0	None	Normal	8	
太乙	6218	0	None	Charm	8	0
脑户	6219	0	None	Normal	8	
风（2级）	6800	16	None	Normal	8	0
丐帮_橙武_挂buff	6950	7	Physics	Normal	8	0
咸鱼挂件起始技能	8561	11	None	Normal	8	1
苍云橙武加buff	13410	16	None	Normal	8	
莫问加buff	15183	16	LunarMagic	Normal	8	
相知加buff	15184	16	LunarMagic	Normal	8	
长歌门特殊武器_萧琴剑	15501	16	LunarMagic	Normal	8	0
苍云特殊武器_使用武器出特殊技能栏	15988	16	Physics	Normal	8	0
北傲诀_破釜沉舟无CD和能量消耗	16984	16	None	Normal	8	
丐帮特殊武器_起手扶摇跳	17030	16	Physics	Normal	8	0
橙武_云裳_无限风袖	18977	16	LunarMagic	Normal	8	
周围的队友喊话支持	19440	12	None	Normal	8	0
凌海诀_木落无CD_溟海无CD	21185	16	None	Normal	8	
画影残月（剑纯）	21317	16	Physics	Damage	8	0
白鹤腾空（气纯）	21318	16	NeutralMagic	Normal	8	0
MOBA战场装备	21762	16	None	Normal	8	0
鲲鹏岛_增伤	22008	16	None	Normal	8	0
鲲鹏岛_爆发	22009	16	None	Normal	8	0
鲲鹏岛_反击	22010	16	Physics	Normal	8	0
鲲鹏岛_反击_外功伤害	22011	16	Physics	Normal	8	0
鲲鹏岛_反击_阳性内功伤害	22012	16	SolarMagic	Normal	8	0
蝮蛇出洞（藏剑）	22289	16	Physics	Damage	8	
春日竹叶吟（藏剑）	22334	16	Physics	Damage	8	
秋松金环戴（藏剑）	22338	16	Physics	Damage	8	
金蛇出洞（藏剑）	22373	16	Physics	Damage	8	
水特效	23230	13	None	Normal	8	0
风特效	23231	13	None	Normal	8	0
