SkillName	SkillID	BelongSchool	KindType	FunctionType	MapBanMask	IgnoreCamp
攻防神机车_箭弩连射	14376	13	None	Normal	504	0
攻防神机车_箭弩连射子技能	14377	13	None	Normal	504	0
攻防神机车_燃火箭	14378	13	None	Normal	504	0
攻防神机车_燃火箭子技能低伤	14379	13	None	Damage	504	0
攻防神机车_过热	14380	13	None	Normal	504	0
攻防神机车_过热子技能低伤	14381	13	None	Damage	504	0
攻防神机台_穿心弩	14382	13	None	Normal	504	0
攻防神机台_穿心弩子技能	14383	13	None	Normal	504	0
攻防神机台_扫射	14387	13	None	Normal	504	0
攻防神机台_扫射子技能低伤	14388	13	None	Damage	504	0
攻防神机台_扫射子技能高伤	14404	13	None	Damage	504	0
攻防神机车_箭弩连射子技能低伤	14475	13	None	Normal	504	0
攻防神机车_箭弩连射子技能高伤	14476	13	None	Normal	504	0
攻防神机车_燃火箭子技能高伤	14477	13	None	Damage	504	0
攻防神机车_过热子技能高伤	14478	13	None	Damage	504	0
攻防神机台_穿心弩子技能低伤	14479	13	None	Normal	504	0
攻防神机台_穿心弩子技能高伤	14480	13	None	Normal	504	0
攻防神机台_穿心弩子技能低火伤	14481	13	None	Normal	504	0
攻防神机台_穿心弩子技能高火伤	14483	13	None	Normal	504	0
攻防神机台_扫射子技能低火伤	14484	13	None	Damage	504	0
攻防神机台_扫射子技能高火伤	14485	13	None	Damage	504	0
攻防神机车_十矢俱发	14786	13	None	Normal	504	0
攻防神机车_十矢俱发子技能	14787	13	None	Normal	504	0
攻防神机车_十矢俱发子技能低伤	14788	13	None	Normal	504	0
攻防神机车_十矢俱发子技能高伤	14789	13	None	Normal	504	0
攻防神机台_火油箭	14978	13	None	Normal	504	0
神机台_火子弹表现	14979	13	None	Normal	504	0
攻防神机台_火油箭子技能低伤	14980	13	None	Normal	504	0
攻防神机台_火油箭子技能高伤	14981	13	None	Normal	504	0
黑戈壁神机车_箭弩连射	15005	13	None	Normal	504	0
黑戈壁神机车_箭弩连射子技能	15006	13	None	Normal	504	0
黑戈壁神机车_箭弩连射子技能低伤	15007	13	None	Normal	504	0
黑戈壁神机车_箭弩连射子技能高伤	15008	13	None	Normal	504	0
黑戈壁神机车_燃火箭	15009	13	None	Normal	504	0
黑戈壁神机车_燃火箭子技能低伤	15010	13	None	Damage	504	0
黑戈壁神机车_燃火箭子技能高伤	15011	13	None	Damage	504	0
黑戈壁神机车_过热	15012	13	None	Normal	504	0
黑戈壁神机车_过热子技能低伤	15013	13	None	Damage	504	0
黑戈壁神机车_过热子技能高伤	15014	13	None	Damage	504	0
黑戈壁神机台_穿心弩	15015	13	None	Normal	504	0
黑戈壁神机台_穿心弩子技能	15016	13	None	Normal	504	0
黑戈壁神机台_穿心弩子技能低火伤	15017	13	None	Normal	504	0
黑戈壁神机台_穿心弩子技能低伤	15018	13	None	Normal	504	0
黑戈壁神机台_穿心弩子技能高火伤	15019	13	None	Normal	504	0
黑戈壁神机台_穿心弩子技能高伤	15020	13	None	Normal	504	0
黑戈壁神机台_扫射	15021	13	None	Normal	504	0
黑戈壁神机台_扫射子技能低火伤	15022	13	None	Damage	504	0
黑戈壁神机台_扫射子技能低伤	15023	13	None	Damage	504	0
黑戈壁神机台_扫射子技能高火伤	15024	13	None	Damage	504	0
黑戈壁神机台_扫射子技能高伤	15025	13	None	Damage	504	0
蔷薇列岛神机台_追星	22842	13	None	Normal	504	0
蔷薇列岛神机台_追星子技能	22843	13	None	Normal	504	0
蔷薇列岛神机台_追星技能伤害	22845	13	None	Normal	504	0
蔷薇列岛神机台_箭雨	22846	13	None	Normal	504	0
蔷薇列岛神机台_箭雨子技能	22847	13	None	Normal	504	0
蔷薇列岛神机台_箭雨技能伤害	22848	13	None	Normal	504	0
蔷薇列岛神机台_扫射	22861	13	None	Normal	504	0
蔷薇列岛神机台_扫射技能伤害	22862	13	None	Damage	504	0
河西瀚漠神机台_穿心弩	39638	13	None	Normal	504	0
河西瀚漠神机台_穿心弩子技能	39639	13	None	Normal	504	0
河西瀚漠神机台_穿心弩子技能低火伤	39640	13	None	Normal	504	0
河西瀚漠神机台_穿心弩子技能低伤	39641	13	None	Normal	504	0
河西瀚漠神机台_穿心弩子技能高火伤	39642	13	None	Normal	504	0
河西瀚漠神机台_穿心弩子技能高伤	39643	13	None	Normal	504	0
河西瀚漠神机台_扫射	39644	13	None	Normal	504	0
河西瀚漠神机台_扫射子技能低火伤	39645	13	None	Damage	504	0
河西瀚漠神机台_扫射子技能低伤	39646	13	None	Damage	504	0
河西瀚漠神机台_扫射子技能高火伤	39647	13	None	Damage	504	0
河西瀚漠神机台_扫射子技能高伤	39648	13	None	Damage	504	0
