SkillName	SkillID	KindType	FunctionType	BelongKungfu	BelongSchool	IgnoreCamp	MapBanMask	ScriptFile	Design_Effect
阵营攻防战_若神_子技能	2167	None	Normal	10133	12			npc\副本BOSS\浩气盟\阵营攻防战_若神_子技能.lua	直接伤害技能
GM用_死亡无名剑	2925	None	Normal	10209	11		0	test\GM用_死亡无名剑.lua	直接伤害技能
阵营攻防_弩箭	3779	Physics	Damage	10133	12		0	npc\副本BOSS\浩气盟\阵营攻防_弩箭.lua	直接伤害技能
阵营攻防_投石	3780	Physics	Damage	10133	12		0	npc\副本BOSS\浩气盟\阵营攻防_投石.lua	直接伤害技能
90级阵营_牛车AOE	5517	None	Normal	10133	12	0	0	npc\副本BOSS\浩气盟\90级阵营_牛车AOE.lua	直接伤害技能
90级阵营_突复制	5551	Physics	Damage	10133	12	0	0	npc\副本BOSS\浩气盟\90级阵营_突复制.lua	直接伤害技能
神农洇_战场BOSS_大毒尸_普通攻击	7184	Physics	Damage	10123	13		0	Quest\神农洇_战场BOSS_大毒尸_普通攻击.lua	直接伤害技能
神农洇_战场BOSS_大毒尸_狂暴	7186	Physics	Normal	10123	13		0	Quest\神农洇_战场BOSS_大毒尸_狂暴.lua	直接伤害技能
神农洇_战场BOSS_大毒尸_剧毒喷溅	7187	Poison	Damage	10123	13		0	Quest\神农洇_战场BOSS_大毒尸_剧毒喷溅.lua	直接伤害技能
神农洇_战场NPC_前锋_AOE	7214	Physics	Damage	10123	13		0	Quest\神农洇_战场NPC_前锋_AOE.lua	直接伤害技能
无名剑清除传功限制技能	7325	None	Normal	10006	13		0	test\清楚传功限制.lua	直接伤害技能
神农洇_战场NPC_守卫_击退	7334	Physics	Normal	10123	13		0	Quest\神农洇_战场NPC_守卫_击退.lua	直接伤害技能
神农洇_战场BOSS_大将_AOE	7335	Physics	Normal	10123	13		0	Quest\神农洇_战场BOSS_大将_AOE.lua	直接伤害技能
攻防战＿远程范围AOE	7431	Physics	Damage	10211	13		0	Quest\攻防战＿远程范围AOE.lua	直接伤害技能
清除CD和BUFF	7525	Physics	Normal	10231	13		0	Quest\竞技场_清除CD和BUFF.lua	直接伤害技能
出场清CD	7547	Physics	Normal	10231	13		0	Quest\竞技场_出场清CD.lua	直接伤害技能
血战天策_保护清雅牧场_狼牙据点_挂邪心毒	8315	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_保护青雅牧场_狼牙据点_添加邪心毒.lua	直接伤害技能
血战天策_保护清雅牧场_狼牙据点_挂灼烧	8316	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_保护清雅牧场_狼牙据点_挂灼烧.lua	直接伤害技能
血战天策_狼牙据点_横扫千军	8318	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_横扫千军.lua	直接伤害技能
血战天策_狼牙据点_横扫千军_AOE	8319	NeutralMagic	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_横扫千军_AOE.lua	直接伤害技能
血战天策_狼牙据点_删除骨折	8320	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_删除骨折.lua	直接伤害技能
血战天策_狼牙据点_蚀心引	8321	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_蚀心引.lua	直接伤害技能
血战天策_狼牙据点_蚀心引_治疗	8322	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_蚀心引_治疗.lua	直接伤害技能
血战天策_狼牙据点_飞镖	8323	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_飞镖.lua	直接伤害技能
血战天策_狼牙据点_爆炸1	8324	SolarMagic	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_爆炸1.lua	直接伤害技能
血战天策_狼牙据点_爆炸2	8325	SolarMagic	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_爆炸2.lua	直接伤害技能
血战天策_狼牙据点_左转大炮	8326	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_左转大炮.lua	直接伤害技能
血战天策_狼牙据点_右转大炮	8327	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_右转大炮.lua	直接伤害技能
血战天策_狼牙据点_开炮轰击	8328	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_开炮轰击.lua	直接伤害技能
血战天策_狼牙据点_减少射程	8329	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_减少射程.lua	直接伤害技能
血战天策_狼牙据点_增加射程	8330	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_增加射程.lua	直接伤害技能
血战天策_狼牙据点_邪心毒	8331	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_邪心毒.lua	直接伤害技能
血战天策_狼牙据点_链状表现	8332	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_链状表现.lua	直接伤害技能
血战天策_狼牙据点_普通炮击	8376	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_普通炮击.lua	直接伤害技能
血战天策_狼牙据点_普通炮击伤害	8381	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_普通炮击伤害.lua	直接伤害技能
(8395) 血战天策_狼牙据点_横扫千军	8395	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策-狼牙据点-横扫千军.lua	直接伤害技能
血战天策_狼牙据点_蚀心引_被打断	8463	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_蚀心引_被打断.lua	直接伤害技能
血战天策_狼牙据点_炮击成就	8596	Physics	Normal	10303	12	0	0	npc\副本BOSS\血战天策\血战天策_狼牙据点_炮击成就.lua	直接伤害技能
