source	offset	encoding	text
JX3ClientX64_exe_net_strings.txt	0x007C0300	ascii	KPlayerClient::OnSkillChannel
JX3ClientX64_exe_net_strings.txt	0x008062E0	ascii	SceneChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x008062F8	ascii	WorldChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00806310	ascii	ForceChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00806328	ascii	CampChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00806340	ascii	MentorChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00806358	ascii	FriendsChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00806378	ascii	IdentityChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00806398	ascii	NearbyChannelCoolDownID
JX3ClientX64_exe_net_strings.txt	0x00820BE8	ascii	KVideoReplayer::OnUIDataSKillChannelProgress
JX3ClientX64_exe_net_strings.txt	0x0082DE40	ascii	KCharacter::OnSkillChannel
JX3ClientX64_exe_net_strings.txt	0x0082DF28	ascii	KCharacter::OnSkillChannelOTActionEnd
JX3ClientX64_exe_net_strings.txt	0x0082DF50	ascii	[KCharacter::OnSkillChannelOTActionEnd] m_bOnOTActionEnd skill:(%u, %u)
JX3ClientX64_exe_net_strings.txt	0x00849DD0	ascii	KRecorderSocketClientReplay::Connect
JX3ClientX64_exe_net_strings.txt	0x00849F80	ascii	KRecorderSocketServerReplay::Init
JX3ClientX64_exe_net_strings.txt	0x00849FA8	ascii	KRecorderSocketServerReplay::Wait
JX3ClientX64_exe_net_strings.txt	0x0084E468	ascii	GetSkillChannel
JX3ClientX64_exe_net_strings.txt	0x0084E478	ascii	GetSkillChannelInterval
JX3ClientX64_exe_net_strings.txt	0x00853EB8	ascii	KPlayer::LuaGetSkillChannel
JX3ClientX64_exe_net_strings.txt	0x00853ED8	ascii	KPlayer::LuaGetSkillChannelInterval
JX3ClientX64_exe_net_strings.txt	0x00875378	ascii	KRecorderSocketStreamReplay::SetTimeout
JX3ClientX64_exe_net_strings.txt	0x008753A0	ascii	KRecorderSocketStreamReplay::Send
JX3ClientX64_exe_net_strings.txt	0x008753C8	ascii	KRecorderSocketStreamReplay::CheckCanRecv
JX3ClientX64_exe_net_strings.txt	0x008753F8	ascii	KRecorderSocketStreamReplay::Recv
JX3ClientX64_exe_net_strings.txt	0x00875440	ascii	KRecorderSocketStreamReplay::IsAlive
JX3ClientX64_exe_net_strings.txt	0x00875468	ascii	KRecorderAsyncSocketStreamReplay::Send
JX3ClientX64_exe_net_strings.txt	0x00875490	ascii	KRecorderAsyncSocketStreamReplay::Recv
JX3ClientX64_exe_net_strings.txt	0x008754C8	ascii	KRecorderAsyncSocketStreamReplay::GetRemoteAddress
JX3ClientX64_exe_net_strings.txt	0x00A3DBB0	ascii	.?AVKRecorderSocketClientReplay@@
JX3ClientX64_exe_net_strings.txt	0x00A3DC58	ascii	.?AVKRecorderSocketServerReplay@@
JX3ClientX64_exe_net_strings.txt	0x00A3F7E0	ascii	.?AVKRecorderSocketStreamReplay@@
JX3ClientX64_exe_net_strings.txt	0x00A3F850	ascii	.?AVKRecorderAsyncSocketStreamReplay@@
JX3ClientX64_exe_net_strings.txt	0x007C0710	ascii	KPlayerClient::OnSkillBeatBack
JX3ClientX64_exe_net_strings.txt	0x007C1BC0	ascii	KPlayerClient::OnSyncFightflagList
JX3ClientX64_exe_net_strings.txt	0x007C9368	ascii	KPlayerClient::OnSyncBattleStatFlag
JX3ClientX64_exe_net_strings.txt	0x007CC158	ascii	pReplayer
JX3ClientX64_exe_net_strings.txt	0x007FA728	ascii	g_pSO3World->m_VideoManager.m_VideoReplayer.m_bWorkFlag
JX3ClientX64_exe_net_strings.txt	0x00808680	ascii	FirstAttackOnCampFoe
