AnimationID	KindID	SheathType	AnimationRatio	AnimationSpeed	IsLoop	AnimationFile	ShadowFile	是否禁止自动转头	IsLookAtCamera(0面朝前方，1跟随焦点，2无视该功能）	PoseState	锁定朝向
0	0	0	1.15	1	0			0	0	0	
1	22	1			0	Data\source\player\M1\动作\M1b02zd死亡.tani			2		
2	22				0	Data\source\player\M1\动作\M1b02占位用资源.tani					
3	22				0	Data\source\player\M1\动作\M1b02占位用资源.tani					
4	22				0	Data\source\player\M1\动作\M1b02占位用资源.tani					
5	23	1			0	Data\source\player\M1\动作\M1b02zd爬起.tani					
6	23				0	Data\source\player\M1\动作\M1b02占位用资源.tani					
7	23				0	Data\source\player\M1\动作\M1b02占位用资源.tani					
8	23				0	Data\source\player\M1\动作\M1b02占位用资源.tani					
9	56				1	Data\source\player\M1\动作\M1b02yd行走.tani					
10	56				1	Data\source\player\M1\动作\m1b04sl行走.tani					
11	56				1	Data\source\player\M1\动作\M1b04ty行走.tani					
12	56				1	Data\source\player\M1\动作\M1b03ty行走.tani					
13	56				1	Data\source\player\M1\动作\M1b05ty行走.tani					
14	5				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
15	5				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
16	5			1.2	1	Data\source\player\M1\动作\M1b02yd奔跑.tani			1		
17	5			1.2	1	Data\source\player\M1\动作\M1b04ty奔跑02.tani			1		
18	5			1.2	1	Data\source\player\M1\动作\M1b04ty奔跑.tani			1		
19	5			1.2	1	Data\source\player\M1\动作\M1b03ty奔跑.tani			1		
20	5			1.2	1	Data\source\player\M1\动作\M1b05ty奔跑01.tani			1		
21	5				1	Data\source\player\M1\动作\M1b02yd奔跑.tani					
22	5				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
23	57				1	Data\source\player\M1\动作\M1b01ty后退01.tani			1		
24	57	2			1	Data\source\player\M1\动作\M1b01qt战斗待机后退01.tani					
25	57	2			1	Data\source\player\M1\动作\M1b03ty战斗待机后退01.tani					
26	57	2			1	Data\source\player\M1\动作\M1b04ty战斗待机后退01.tani					
27	57	2			1	Data\source\player\M1\动作\M1b05ty战斗待机后退01.tani					
28	5				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
29	5				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
30	1	1			1	Data\source\player\M1\动作\M1b01ty普通待机01.ani			1		
31	1	2			1	Data\source\player\M1\动作\M1b04ty持武器普通待机02.ani			1		
32	1	2			1	Data\source\player\M1\动作\M1b04ty持武器普通待机01.tani			1		
33	1	2			1	Data\source\player\M1\动作\M1b03ty持武器普通待机02.ani			1		
34	1	2			1	Data\source\player\M1\动作\M1b03ty持武器普通待机01.ani			1		
35	1	2			1	Data\source\player\M1\动作\M1b01qt持武器普通待机03.ani			1		
36	1	2			1	Data\source\player\M1\动作\M1b01qt持武器普通待机02.ani			1		
37	1	2			1	data\source\player\m1\动作\m1b03ty持武器普通待机01.ani			1		
38	1	2			1	Data\source\player\M1\动作\M1b05ty持武器普通待机01.ani			1		
39	1	2			1	Data\source\player\M1\动作\M1b01bi持武器普通待机01.ani			1		
40	1	1			1	Data\source\player\M1\动作\M1b04ty空手普通待机.ani			1		
41	1	1			1	Data\source\player\M1\动作\M1b04ty空手普通待机.ani			1		
42	1	1			1	Data\source\player\M1\动作\M1b03ty空手普通待机.ani			1		
43	1	1			1	Data\source\player\M1\动作\M1b05ty空手普通待机.ani			1		
44	11				1	Data\source\player\M1\动作\M1b05ty空手普通待机.ani			1		
45	1				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
46	1				1	Data\source\player\M1\动作\M1b02占位用资源.tani					
47	2	2			1	Data\source\player\M1\动作\M1b04ty战斗待机.ani					
48	2	2			1	Data\source\player\M1\动作\M1b04tc战斗待机01.ani					
49	2	2			1	Data\source\player\M1\动作\M1b03ty战斗待机.ani					
50	2				1	Data\source\player\M1\动作\M1b01qt战斗待机01.ani					
51	2	2			1	Data\source\player\M1\动作\M1b05ty战斗待机01.ani					
52	2	2			1	Data\source\player\M1\动作\M1b01bi战斗待机02.ani					
53	2	2			1	Data\source\player\M1\动作\M1b01aq战斗待机03.ani					
54	12	2			0	data\source\player\M1\动作\M1b01qt攻击01.tani			2		
55	12	2			0	data\source\player\M1\动作\M1b01qt攻击05.tani			2		
