SerialID	Desc	Phase_A_AniID	Phase_B_AniID	Phase_C_AniID	Haste
0	打断	0	0	0	0
1	采金		155		
2	神农		156		
3	搜索		102		
4	烹饪		906		
5	缝纫		904		
6	铸造		903		
7	医术		102		
8	抄录		934		
10000	刷新动作表现标记				
10001	死亡1	1			
10002	死亡2	2			
10003	死亡3	3			
10005	复活1	5			
10006	复活2	6			
10007	复活3	7			
10008	复活4	8			
10009	行走1	9			
10010	行走2	10			
10011	行走3	11			
10012	行走4	12			
10013	跑步1	16			
10014	跑步2	17			
10015	跑步3	18			
10016	跑步4	19			
10030	普通待机1	30			
10031	普通待机2	31			
10032	普通待机3	32			
10033	普通待机4	33			
10034	普通待机5	34			
10035	普通待机6	35			
10044	特殊待机	44			
10047	战斗待机1	47			
10048	战斗待机2	48			
10049	战斗待机3	49			
10050	战斗待机4	50			
10054	战斗攻击1	54			
10055	战斗攻击2	55			
10056	战斗攻击3	56			
10057	战斗攻击4	57			
10058	战斗攻击5	58			
10059	战斗攻击6	59			
10060	战斗攻击7	60			
10061	战斗攻击8	61			
10062	战斗攻击9	62			
10063	战斗攻击10	63			
10064	战斗攻击11	64			
10065	战斗攻击12	65			
10066	战斗攻击13	66			
10067	战斗攻击14	67			
10068	战斗攻击15	68			
10069	战斗攻击16	69			
10070	战斗攻击17	70			
10071	战斗攻击18	71			
10072	战斗攻击19	72			
10073	被击1	73			
10074	被击2	74			
10075	被击3	75			
10076	被击4	76			
10080	被击飞1	80			
10081	被击飞2	81			
10082	被击飞3	82			
10083	被击飞4	83			
10102	主角站立引导b	102			
10103	主角站立引导c	103			
10107	召唤马	107			
10110	传功起	110			
10150	表情动作1_拱手	150			
10151	表情动作2_鼓掌	151			
10152	表情动作3_哭	152			
10153	表情动作4_笑	153			
10154	表情动作5_说话	154			
10155	表情动作6_坐下	175	176	177	
10156	表情动作7_吃	165			
10157	表情动作8_喝	166			
10158	表情动作9_点头	170			
10159	表情动作10_摇头	171			
10160	表情动作11_振臂	172			
10161	表情动作12_苦恼	173			
10164	表情动作12_摆摊	164			
10165	表情动作_吃饭	165			
10179	表情动作_打拳1	179			
10180	表情动作_打拳2	180			
10181	表情动作_打拳3	181			
10184	击鼓	184			
10185	放风筝	185			
10186	倒酒	186			
10188	蓄力	188			
10189	释放	189			
10190	特殊动作1	190			
10191	特殊动作2	191			
10192	特殊动作3	192			
10193	特殊动作4	193			
10194	特殊动作5	194			
10195	特殊动作6	195			
10196	特殊动作7	196			
10197	特殊动作8	197			
10198	特殊动作9	198			
10199	特殊动作10	199			
10200	主角拾取1	200			
10201	主角拾取2	201			
10247	呕吐_带特效		247		
10269	主角拾取2	269			
10289	倒下	289	291		
10290	起身	5			
10298	老虎召唤	298	299		
10299	老虎待机	299			
10300	老虎召回	300			
10310	技能释放1	310			
10311	技能释放2	311			
10312	技能释放3	312			
10313	技能释放4	313			
10314	握针	314			
10318	彼针施放	318			
10323	商阳指	323			
10330	浮花浪蕊施放	330			
10334	主角动作334	334			
10338	主角动作338	338			
10343	主角动作343	343			
10357	老虎交互	357	299		
10358	主角大笑	358			
10438	舟雨眠_伞舞	438			
10439	舟雨眠_伞开	439			
10440	舟雨眠_伞收	440			
10455	龙牙	455			
10473	沧月	473			
10479	天策特殊武器	10479			
10501	剑主天地	501			
10504	剑转流云	504			
10509	跳珠憾玉	509			
10510	左旋右转	547			
10514	恒河劫沙	1614			
10517	雷霆震怒	517			
10522	抢珠式	1622			
10530	心鼓弦吟唱	546			
10531	心鼓弦释放	531			
10542	妙舞吟唱	548			
10543	妙舞释放	543			
10578	拿出佩囊猫	578			
10586	收起佩囊猫	586			
10587	拿出佩囊狗	587			
10595	收起佩囊狗	595			
10606	无我无剑	606			
10607	大道无术	607			
10610	两仪化形	610			
10618	八卦洞玄	618			
10637	凝神聚气	637			
10725	醉月	725			
10741	用以打断鹤归孤山和风来吴山的动作	741			
10745	踏雪寻梅	745			
10749	藏剑特殊武器动作1	749			
10750	藏剑特殊武器动作2	750			
10751	向下冲刺	751			
10806	千丝	806			
10817	灵蛇引	817			
10865	圣手织天	865			
10873	情人节阵法	873			
10902	主角喝药	902			
10906	主角烹饪	906			
10907	主角请客	907			
10908	主角送礼	908			
10911	吃东西	911			
10920	主角敲棍子	920			
10923	表情动作_猜拳布	923			
10924	表情动作_猜拳剪刀	924			
10925	表情动作_猜拳拳头	925			
10927	表情动作_如来神掌	927			
10931	表情动作_演奏	931			
10932	任务动作_打井水	932			
10933	任务动作_洗衣服	933			
10934	主角抄录动作	934			
10935	表情动作_表白	935			
10936	表情动作_惩罚	936			
10937	表情动作_调戏	937			
10938	表情动作_耳光	938			
10939	表情动作_高兴	939			
10940	表情动作_害羞	940			
10941	表情动作_亲吻	941			
10942	表情动作_口哨	942			
10946	表情动作_撒娇	946			
10947	表情动作_生气	947			
10948	表情动作_思考	948			
10949	表情动作_踢	949			
10950	表情动作_挑衅	950			
10951	表情动作_上香	951			
10954	表情动作_推倒	954			
10958	表情动作_吃糖葫芦	958			
10959	表情动作_弹弓	959			
10960	表情动作_扭秧歌	960			
10962	表情动作_敲锣鼓弹琵琶	962			
10963	表情动作_吹叶子	963			
10964	表情动作_拿扇子	964			
10965	表情动作_吹笛子有声	965			
10966	用于打断表情动作的待机动作	966			
10968	表情动作_说话01	968			
10969	表情动作_说话02	969			
10970	表情动作_匍匐开始	320005			
10971	表情动作_匍匐结束	320006			
10978	挥旗	978			
10979	解结（复用割皮动作）	979			
11005	龙门荒漠任务用甩鞭子动作	1005			
11011	天策演武动作	1011			
11012	纯阳演武动作	1012			
11013	万花演武动作	1013			
11014	少林或七秀演武动作	1014			
11032	道具用抛物线投掷动作	1032			
11102	孔雀翎	1102			
11104	迷神钉	1104			
11111	踢	11111			
11164	唐门回旋镖回收	1164			
11166	唐门八相弩操作	1166			
11307	主角吃月饼动作	1307			
11314	主角开伞动作_D001003	1314			
11315	主角收伞动作_D001003	1315			
11317	主角开伞动作_D001003b	1317			
11318	主角收伞动作_D001003b	1318			
11319	主角开伞动作_D001003c	1319			
11320	主角收伞动作_D001003c	1320			
11321	主角开伞动作_D001003d	1321			
11322	主角收伞动作_D001003d	1322			
11338	主角拉弓动作	1338			
11339	主角射箭动作	1339			
11340	主角点燃草堆动作资源	1340			
11343	主角开伞动作_D001013	1343			
11344	主角收伞动作_D001013	1344			
11345	主角开伞动作_D001014	1345			
11346	主角收伞动作_D001014	1346			
11347	主角开伞动作_戏鱼渊	1347			
11348	主角收伞动作_戏鱼渊	1348			
11354	主角钓鱼动作资源	1354			
11355	主角抛竿动作资源	1355			
11356	主角上钩动作资源	1356			
11357	主角收竿动作资源	1357			
11358	主角浇水动作资源	1358			
11359	主角抓虫动作资源	1359			
11360	主角扫地动作资源	1360			
11361	主角施肥动作资源	1361			
11362	主角祝福动作资源	1362			
11363	主角播种动作资源	1363			
11364	主角钓鱼收空竿动作	1364			
11365	主角读书动作	1365			
11367	主角宣讲动作	1367			
11368	主角看信动作	1368			
11369	主角蛮族舞蹈	1369			
11371	主角开伞芭蕉扇	1371			
11372	主角收伞芭蕉扇	1372			
11373	主角赶猪动作	1373			
